front,back,unidad,materia,submateria,tipo,nivel
¿Qué es la regulación de la conducta humana?,Es el conjunto de sistemas normativos que buscan ordenar la vida social y resolver conflictos.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REGULACION_CONDUCTA,CIVIL,BASICO
¿Cuál es la función primaria del Derecho?,Establecer un orden social justo que permita la convivencia pacífica y el desarrollo humano.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REGULACION_CONDUCTA,CIVIL,BASICO
¿Por qué el hombre es un ser social?,Por su naturaleza gregaria y la necesidad de cooperación para satisfacer necesidades básicas.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REGULACION_CONDUCTA,CIVIL,BASICO
¿Qué es una norma de conducta?,Regla que prescribe un comportamiento bajo el supuesto de que el hombre es un ser libre y consciente.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REGULACION_CONDUCTA,CIVIL,BASICO
¿Qué es la anomia social?,Situación de ausencia de normas o degradación del orden social que dificulta la convivencia.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REGULACION_CONDUCTA,CIVIL,BASICO
¿Qué son las normas de trato social?,"Reglas de cortesía, etiqueta o decoro que regulan la convivencia en grupos determinados.",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REGULACION_CONDUCTA,CIVIL,BASICO
¿Cuál es la sanción típica de la norma moral?,El remordimiento de conciencia o sanción interna del propio sujeto.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REGULACION_CONDUCTA,CIVIL,BASICO
¿Qué busca el ordenamiento jurídico?,Coordinar las conductas de los individuos para lograr la paz y la seguridad jurídica.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REGULACION_CONDUCTA,CIVIL,BASICO
Diferencia entre normas morales y jurídicas según su origen.,Las morales son autónomas (surgen del sujeto) y las jurídicas son heterónomas (impuestas por terceros).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REGULACION_CONDUCTA,CIVIL,INTERMEDIO
¿Qué significa que una norma sea bilateral?,Que impone un deber a un sujeto y correlativamente faculta a otro para exigir su cumplimiento.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REGULACION_CONDUCTA,CIVIL,INTERMEDIO
Diferencia entre normas de trato social y jurídicas.,Las de trato social tienen una sanción social difusa; las jurídicas tienen una sanción coactiva institucionalizada.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REGULACION_CONDUCTA,CIVIL,INTERMEDIO
¿En qué consiste la exterioridad de la norma jurídica?,"En que el Derecho regula principalmente la conducta externa, sin perjuicio de valorar la intención en ciertos casos.",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REGULACION_CONDUCTA,CIVIL,INTERMEDIO
¿Qué es la coercibilidad en el sistema normativo?,La posibilidad legítima de aplicar la fuerza socialmente organizada ante el incumplimiento.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REGULACION_CONDUCTA,CIVIL,INTERMEDIO
Relación entre sociedad y Derecho según el aforismo latino.,"'Ubi societas, ibi ius': donde hay sociedad, hay Derecho, pues toda convivencia requiere reglas.",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REGULACION_CONDUCTA,CIVIL,INTERMEDIO
¿Por qué el Derecho es un sistema de control social?,"Porque orienta conductas, previene conflictos y provee mecanismos para su resolución pacífica.",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REGULACION_CONDUCTA,CIVIL,INTERMEDIO
Analice la importancia del orden social para la libertad individual.,El orden social provee el marco de seguridad necesario para que los individuos ejerzan su libertad sin interferencias arbitrarias.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REGULACION_CONDUCTA,CIVIL,AVANZADO
Crítica a la distinción absoluta entre moral y Derecho.,"Aunque distintos, el Derecho suele recoger mínimos éticos de la moral social para asegurar su legitimidad y obediencia.",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REGULACION_CONDUCTA,CIVIL,AVANZADO
Relación entre la paz social y el monopolio de la fuerza.,El Derecho busca la paz prohibiendo la justicia por mano propia y concentrando la fuerza en el Estado.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REGULACION_CONDUCTA,CIVIL,AVANZADO
¿Cómo influye el cambio social en la regulación de la conducta?,El Derecho es dinámico; debe adaptarse a las nuevas realidades y valoraciones sociales para mantener su eficacia.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REGULACION_CONDUCTA,CIVIL,AVANZADO
Analice la eficacia de las normas de trato social en la cohesión.,"Aunque no coactivas, las normas de trato facilitan la interacción diaria y refuerzan el sentido de pertenencia grupal.",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,REGULACION_CONDUCTA,CIVIL,AVANZADO
¿Cuál es la etimología de la palabra Derecho?,"Proviene del latín 'directum', que significa lo que está conforme a la regla o lo que no se desvía.",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CONCEPTO_DERECHO,CIVIL,BASICO
¿Qué es el Derecho Positivo?,"Conjunto de normas jurídicas vigentes en un lugar y tiempo determinado, dictadas por autoridad competente.",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CONCEPTO_DERECHO,CIVIL,BASICO
¿Qué es el Derecho Natural?,Conjunto de principios universales e inmutables derivados de la naturaleza humana o la razón.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CONCEPTO_DERECHO,CIVIL,BASICO
¿Qué es el Derecho Objetivo?,El conjunto de normas o reglas de conducta que componen el ordenamiento jurídico.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CONCEPTO_DERECHO,CIVIL,BASICO
¿Qué es el Derecho Subjetivo?,La facultad o poder que el Derecho objetivo otorga a un sujeto para obrar o exigir algo.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CONCEPTO_DERECHO,CIVIL,BASICO
¿Qué es la justicia según Ulpiano?,La constante y perpetua voluntad de dar a cada uno lo suyo ('Iustitia est constans et perpetua voluntas ius suum cuique tribuendi').,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CONCEPTO_DERECHO,CIVIL,BASICO
¿Cuál es el fin último del Derecho?,La realización de la justicia y el bien común en la sociedad.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CONCEPTO_DERECHO,CIVIL,BASICO
¿Qué es la seguridad jurídica?,La certeza que tienen los sujetos sobre la vigencia y aplicación de las normas y sus consecuencias.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CONCEPTO_DERECHO,CIVIL,BASICO
¿Qué es el Bien Común?,Conjunto de condiciones sociales que permiten a los miembros de la comunidad alcanzar su mayor perfección posible.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CONCEPTO_DERECHO,CIVIL,BASICO
¿Qué es el iusnaturalismo?,Doctrina que afirma la existencia de leyes superiores a la voluntad humana que el Derecho positivo debe respetar.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CONCEPTO_DERECHO,CIVIL,BASICO
Diferencia entre Derecho Positivo y Derecho Natural.,"El positivo es histórico, variable y created by the human; el natural es eterno, universal y racional.",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CONCEPTO_DERECHO,CIVIL,INTERMEDIO
Relación entre Derecho y Moral en la doctrina clásica.,"La Moral se ocupa del bien individual (interioridad), mientras el Derecho busca el bien social (exterioridad).",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CONCEPTO_DERECHO,CIVIL,INTERMEDIO
¿En qué consiste la justicia distributiva?,En el reparto de cargas y beneficios entre los miembros de la sociedad según sus méritos y necesidades.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CONCEPTO_DERECHO,CIVIL,INTERMEDIO
¿Qué es la justicia conmutativa?,La que rige las relaciones de intercambio entre particulares buscando la igualdad o equivalencia.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CONCEPTO_DERECHO,CIVIL,INTERMEDIO
Acepción de 'Derecho' como ciencia jurídica.,"Se refiere al estudio, interpretación y enseñanza del fenómeno jurídico por parte de los juristas.",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CONCEPTO_DERECHO,CIVIL,INTERMEDIO
¿Cuál es el fundamento de validez del Derecho para el iuspositivismo?,La conformidad con las reglas de creación establecidas en una norma superior (la Constitución).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CONCEPTO_DERECHO,CIVIL,INTERMEDIO
¿Qué es el Derecho Público?,Conjunto de normas que regulan la organización del Estado y sus relaciones con los particulares actuando con imperio.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CONCEPTO_DERECHO,CIVIL,INTERMEDIO
¿Qué es el Derecho Privado?,Conjunto de normas que regulan las relaciones entre particulares en un plano de igualdad y coordinación.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CONCEPTO_DERECHO,CIVIL,INTERMEDIO
¿Qué es la equidad natural?,Criterio de justicia aplicado al caso concreto para atemperar el rigor de la ley o llenar sus vacíos.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CONCEPTO_DERECHO,CIVIL,INTERMEDIO
Crítica de Kelsen al Derecho Natural.,Kelsen argumenta que el Derecho Natural es ideológico y que solo el Derecho Positivo puede ser objeto de ciencia jurídica.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,CONCEPTO_DERECHO,CIVIL,AVANZADO
