afirmacion,respuesta,explicacion,rama,libro,titulo,materia,dificultad
"Los derechos reales y los derechos personales son especies de bienes corporales.",false,"Art. 576 CC: son especies de bienes INCORPORALES. Los bienes corporales tienen un ser real y se perciben por los sentidos. Los derechos (reales y personales) son incorporales.",DERECHO_CIVIL,LIBRO_II,TITULO_I,De las varias clases de bienes,1
"Del derecho real nacen las acciones reales, que pueden dirigirse contra cualquier persona.",true,"Art. 577 inc. 2 CC: de los derechos reales nacen acciones reales, que se dirigen contra quien quiera que perturbe el derecho. Son acciones erga omnes, a diferencia de las personales.",DERECHO_CIVIL,LIBRO_II,TITULO_I,De las varias clases de bienes,1
"Los árboles son siempre bienes inmuebles por adherencia.",false,"Son inmuebles por adherencia mientras adhieren al suelo por sus raíces (art. 568). Separados del suelo, pasan a ser muebles. Y vendidos antes de la separación, se reputan muebles por anticipación (art. 571).",DERECHO_CIVIL,LIBRO_II,TITULO_I,De las varias clases de bienes,2
"Los animales destinados permanentemente al cultivo de un fundo son inmuebles por destinación.",true,"Art. 570 CC: las cosas muebles destinadas permanentemente al uso, cultivo y beneficio de un inmueble se reputan inmuebles. Los animales de labranza califican como inmuebles por destinación.",DERECHO_CIVIL,LIBRO_II,TITULO_I,De las varias clases de bienes,2
"El dominio es un derecho real que puede ejercerse sin ningún tipo de limitación.",false,"Art. 582 CC: el dominio se ejerce 'no siendo contra la ley o contra derecho ajeno'. Tiene dos límites expresos: la ley y el derecho de terceros. Además, la CPR establece la función social de la propiedad.",DERECHO_CIVIL,LIBRO_II,TITULO_II,Del dominio,1
"La compraventa es un modo de adquirir el dominio.",false,"La compraventa es un TÍTULO traslaticio de dominio, no un modo. El modo es la tradición. En Chile rige el sistema dualista título + modo: la compraventa obliga a transferir, la tradición efectúa la transferencia.",DERECHO_CIVIL,LIBRO_II,TITULO_II,Del dominio,1
"En los modos de adquirir originarios, el adquirente recibe el derecho del dueño anterior.",false,"En los modos originarios (ocupación, accesión, prescripción), el derecho nace nuevo en el adquirente, sin derivar de un antecesor. En los derivativos (tradición, sucesión) sí se recibe del anterior titular.",DERECHO_CIVIL,LIBRO_II,TITULO_II,Del dominio,2
"En Chile existen inmuebles sin dueño (res nullius) que cualquiera puede ocupar.",false,"Art. 590 CC: todas las tierras sin otro dueño pertenecen al Estado. No existen inmuebles vacantes en Chile. Solo los muebles pueden ser res nullius o res derelictae, adquiribles por ocupación.",DERECHO_CIVIL,LIBRO_II,TITULO_III,De los bienes nacionales,2
"El mar territorial es bien nacional de uso público.",true,"Art. 593 CC: el mar adyacente hasta 12 millas marinas es mar territorial y de dominio nacional. Su uso corresponde a todos los habitantes de la República.",DERECHO_CIVIL,LIBRO_II,TITULO_III,De los bienes nacionales,1
"Los bienes fiscales se rigen por las mismas reglas que los bienes nacionales de uso público.",false,"Los bienes fiscales (del Estado) se rigen por las normas del derecho privado en cuanto a su administración y enajenación. Los bienes nacionales de uso público son inalienables, imprescriptibles e inembargables.",DERECHO_CIVIL,LIBRO_II,TITULO_III,De los bienes nacionales,2
"La alta mar es un bien nacional de uso público.",false,"Art. 585 CC: la alta mar es una cosa común a todos los hombres (res communis omnium), no un bien nacional de uso público. No es susceptible de dominio por ninguna nación.",DERECHO_CIVIL,LIBRO_II,TITULO_I,De las varias clases de bienes,2
"La renta de un arrendamiento es un fruto civil de la cosa arrendada.",true,"Art. 647 CC: los frutos civiles son las utilidades equivalentes al uso y goce de la cosa. El precio del arrendamiento es un fruto civil por excelencia.",DERECHO_CIVIL,LIBRO_II,TITULO_II,Del dominio,1
"Sobre las cosas incorporales hay también una especie de propiedad según el art. 583 CC.",true,"Art. 583 CC permite aplicar la noción de propiedad a los derechos. El usufructuario es 'dueño' de su derecho de usufructo. Esto extiende la garantía constitucional de propiedad a los derechos.",DERECHO_CIVIL,LIBRO_II,TITULO_II,Del dominio,2
"Las cosas fungibles son las que se destruyen por el primer uso.",false,"Las fungibles son las que pueden ser reemplazadas por otras del mismo género, cantidad y calidad (art. 575). Las que se destruyen por el primer uso son las consumibles. Son clasificaciones distintas aunque coincidan a veces (el dinero es fungible y consumible).",DERECHO_CIVIL,LIBRO_II,TITULO_I,De las varias clases de bienes,2
