termino,definicion,rama,libro,titulo,materia,dificultad
"Ley","Declaración de la voluntad soberana que, manifestada en la forma prescrita por la Constitución, manda, prohíbe o permite (art. 1 CC).",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_I,De la Ley,1
"Costumbre según la ley","Práctica reiterada y uniforme que constituye derecho solo en los casos en que la ley se remite expresamente a ella (art. 2 CC). Es el sistema adoptado por el Código Civil chileno.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_I,De la Ley,2
"Promulgación","Acto por el cual el Presidente de la República certifica la existencia de la ley, fija su texto auténtico y ordena su cumplimiento. Se materializa mediante decreto promulgatorio (art. 6 CC).",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_II,Promulgación de la Ley,1
"Publicación de la ley","Acto por el cual se da a conocer la ley a los habitantes. Se realiza mediante su inserción en el Diario Oficial, desde cuya fecha se entiende conocida de todos y es obligatoria (art. 7 CC).",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_II,Promulgación de la Ley,1
"Parentesco por consanguinidad","Relación de familia que existe entre dos personas que descienden una de la otra o de un mismo progenitor, en cualquiera de sus grados (art. 28 CC).",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_V,Definición de varias palabras de uso frecuente,1
"Parentesco por afinidad","Relación que existe entre una persona que está o ha estado casada y los consanguíneos de su marido o mujer. La línea y grado se determinan por los de consanguinidad (art. 31 CC).",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_V,Definición de varias palabras de uso frecuente,1
"Infante o niño","Todo el que no ha cumplido siete años (art. 26 CC). Es absolutamente incapaz según el art. 1447 CC.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_V,Definición de varias palabras de uso frecuente,1
"Impúber","El varón que no ha cumplido catorce años y la mujer que no ha cumplido doce años (art. 26 CC). Son absolutamente incapaces según el art. 1447 CC.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_V,Definición de varias palabras de uso frecuente,1
"Menor adulto","El que ha dejado de ser impúber (varón mayor de 14, mujer mayor de 12) y no ha cumplido dieciocho años (art. 26 CC). Son relativamente incapaces según el art. 1447 CC.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_V,Definición de varias palabras de uso frecuente,1
"Dolo","Intención positiva de inferir injuria a la persona o propiedad de otro (art. 44 inc. final CC). Es un concepto transversal: vicio del consentimiento, agravante de responsabilidad contractual y elemento de la responsabilidad extracontractual.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_V,Definición de varias palabras de uso frecuente,1
"Culpa grave o lata","Aquella que consiste en no manejar los negocios ajenos con aquel cuidado que aun las personas negligentes y de poca prudencia suelen emplear en sus negocios propios (art. 44 CC). Equivale al dolo en materias civiles.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_V,Definición de varias palabras de uso frecuente,2
"Culpa leve","Falta de aquella diligencia y cuidado que los hombres emplean ordinariamente en sus negocios propios. Culpa o descuido sin otra calificación significa culpa leve (art. 44 CC). El patrón es el buen padre de familia.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_V,Definición de varias palabras de uso frecuente,2
"Culpa levísima","Falta de aquella esmerada diligencia que un hombre juicioso emplea en la administración de sus negocios importantes (art. 44 CC). Es el grado más exigente de cuidado.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_V,Definición de varias palabras de uso frecuente,2
"Fuerza mayor o caso fortuito","El imprevisto a que no es posible resistir (art. 45 CC). Requiere dos elementos: imprevisibilidad e irresistibilidad. Ejemplos legales: naufragio, terremoto, apresamiento de enemigos, actos de autoridad.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_V,Definición de varias palabras de uso frecuente,1
"Caución","Cualquiera obligación que se contrae para la seguridad de otra obligación propia o ajena. Son especies de caución la fianza, la hipoteca y la prenda (art. 46 CC).",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_V,Definición de varias palabras de uso frecuente,1
"Plazo fatal","Aquel en que la ley emplea las expresiones 'en' o 'dentro de', significando que el derecho se extingue por el solo ministerio de la ley al vencimiento del plazo, sin necesidad de declaración judicial (art. 49 CC).",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_V,Definición de varias palabras de uso frecuente,2
"Derogación expresa","Forma de derogación en que la nueva ley declara expresamente que deroga la ley anterior, identificándola (art. 52 CC).",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_VI,Derogación de las Leyes,1
"Derogación tácita","Forma de derogación que se produce cuando la nueva ley contiene disposiciones que no pueden conciliarse con las de la ley anterior. Solo alcanza a las disposiciones incompatibles (arts. 52 y 53 CC).",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_VI,Derogación de las Leyes,1
