pregunta,respuesta,rama,libro,titulo,materia,dificultad
"¿Cómo define el art. 1 CC la ley?","La ley es una declaración de la voluntad soberana que, manifestada en la forma prescrita por la Constitución, manda, prohíbe o permite.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_I,De la Ley,1
"¿Cuáles son las tres funciones que puede cumplir la ley según el art. 1 CC?","Mandar, prohibir o permitir.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_I,De la Ley,1
"¿Constituye la costumbre derecho en Chile? ¿Bajo qué condición?","No constituye derecho sino en los casos en que la ley se remite a ella (art. 2 CC).",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_I,De la Ley,1
"¿A quién corresponde interpretar la ley de un modo generalmente obligatorio según el art. 3 CC?","Solo al legislador, mediante una ley interpretativa. Las sentencias judiciales solo tienen fuerza obligatoria respecto de las causas en que actualmente se pronunciaren (efecto relativo).",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_I,De la Ley,2
"¿Qué efecto tienen las sentencias judiciales según el art. 3 CC?","Efecto relativo: no tienen fuerza obligatoria sino respecto de las causas en que actualmente se pronunciaren.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_I,De la Ley,1
"¿Qué establece el art. 4 CC sobre la relación entre el Código Civil y los códigos especiales?","Las disposiciones de los Códigos de Comercio, de Minería y demás especiales se aplicarán con preferencia a las del Código Civil. Es el principio de especialidad.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_I,De la Ley,2
"¿Qué deber impone el art. 5 CC a la Corte Suprema y las Cortes de Apelaciones?","Dar cuenta al Presidente de la República, en el mes de marzo de cada año, de las dudas y dificultades en la inteligencia y aplicación de las leyes, y de los vacíos que noten en ellas.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_I,De la Ley,2
"¿Desde cuándo obliga la ley según el art. 6 CC?","Desde que ha sido promulgada en conformidad a la Constitución Política y publicada de acuerdo con los preceptos legales.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_II,Promulgación de la Ley,1
"¿Cómo se realiza la publicación de la ley según el art. 7 CC?","Mediante su inserción en el Diario Oficial. Desde la fecha de éste se entenderá conocida de todos y será obligatoria.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_II,Promulgación de la Ley,1
"¿Cuál es la fecha de la ley para todos los efectos legales según el art. 7 CC?","La fecha de su publicación en el Diario Oficial, salvo que la propia ley establezca reglas diferentes sobre su publicación o fecha de entrada en vigencia.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_II,Promulgación de la Ley,2
"¿Qué diferencia existe entre promulgación y publicación de la ley?","La promulgación es el acto por el cual el Presidente de la República certifica la existencia de la ley y ordena su cumplimiento. La publicación es el medio por el cual la ley se da a conocer, insertándola en el Diario Oficial (art. 7 CC).",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_II,Promulgación de la Ley,2
