pregunta,respuesta,rama,libro,titulo,materia,dificultad
"¿Qué es la propiedad fiduciaria según el art. 733 CC?","La que está sujeta al gravamen de pasar a otra persona, por el hecho de verificarse una condición. La constitución de la propiedad fiduciaria se llama fideicomiso.",DERECHO_CIVIL,LIBRO_II,TITULO_VIII,De las limitaciones del dominio y primeramente de la propiedad fiduciaria,1
"¿Cuáles son los elementos del fideicomiso?","1) Una cosa susceptible de fideicomiso (mueble o inmueble), 2) Tres partes: constituyente, propietario fiduciario y fideicomisario, 3) Una condición de cuyo cumplimiento depende la restitución al fideicomisario.",DERECHO_CIVIL,LIBRO_II,TITULO_VIII,De las limitaciones del dominio y primeramente de la propiedad fiduciaria,2
"¿Quiénes son las partes en el fideicomiso?","1) Constituyente: quien constituye el fideicomiso (por acto entre vivos o testamento), 2) Propietario fiduciario: quien recibe la cosa con la obligación de restituirla, 3) Fideicomisario: quien recibirá la cosa si se cumple la condición.",DERECHO_CIVIL,LIBRO_II,TITULO_VIII,De las limitaciones del dominio y primeramente de la propiedad fiduciaria,2
"¿Puede el fideicomisario faltar al momento de constituirse el fideicomiso?","Sí. El art. 737 CC permite que el fideicomisario no exista al momento de la constitución, pero debe esperarse que exista. Ej: dejar la propiedad al primer hijo que nazca de Pedro.",DERECHO_CIVIL,LIBRO_II,TITULO_VIII,De las limitaciones del dominio y primeramente de la propiedad fiduciaria,2
"¿Qué plazo máximo tiene la condición en el fideicomiso según el art. 739 CC?","La condición debe cumplirse dentro de 5 años desde la delación de la propiedad fiduciaria. Si no se cumple en ese plazo, el fideicomiso se extingue y el propietario fiduciario consolida su dominio.",DERECHO_CIVIL,LIBRO_II,TITULO_VIII,De las limitaciones del dominio y primeramente de la propiedad fiduciaria,2
"¿Puede haber fideicomiso sucesivo según el art. 745 CC?","No. Se prohíbe constituir dos o más fideicomisos sucesivos. Si se constituyen, solo valdrá el primero. Esto evita que la propiedad quede inmovilizada indefinidamente.",DERECHO_CIVIL,LIBRO_II,TITULO_VIII,De las limitaciones del dominio y primeramente de la propiedad fiduciaria,2
"¿Cómo se constituye el fideicomiso sobre inmuebles?","Por acto entre vivos (escritura pública inscrita en el CBR) o por testamento. El art. 735 CC exige inscripción cuando recae sobre inmuebles.",DERECHO_CIVIL,LIBRO_II,TITULO_VIII,De las limitaciones del dominio y primeramente de la propiedad fiduciaria,2
"¿Qué es el usufructo según el art. 764 CC?","Derecho real que consiste en la facultad de gozar de una cosa con cargo de conservar su forma y sustancia, y de restituirla a su dueño, si la cosa no es fungible; o con cargo de volver igual cantidad y calidad del mismo género, o de pagar su valor, si la cosa es fungible.",DERECHO_CIVIL,LIBRO_II,TITULO_IX,Del derecho de usufructo,1
"¿Cuáles son las partes en el usufructo?","1) Nudo propietario: conserva la propiedad pero sin goce. 2) Usufructuario: tiene el uso y goce de la cosa ajena, con cargo de restituir.",DERECHO_CIVIL,LIBRO_II,TITULO_IX,Del derecho de usufructo,1
"¿Cuáles son las facultades del usufructuario?","1) Usar la cosa (ius utendi), 2) Gozar de la cosa: percibir frutos naturales y civiles (ius fruendi). NO tiene la facultad de disponer de la cosa (enajenarla), que pertenece al nudo propietario.",DERECHO_CIVIL,LIBRO_II,TITULO_IX,Del derecho de usufructo,1
"¿Cuáles son las características del usufructo?","1) Es derecho real (art. 577), 2) Es temporal: dura hasta el plazo fijado o la muerte del usufructuario (art. 765), 3) Es intransmisible por causa de muerte (art. 773), 4) Recae sobre cosa ajena.",DERECHO_CIVIL,LIBRO_II,TITULO_IX,Del derecho de usufructo,2
"¿Cuál es la duración máxima del usufructo según el art. 770 CC?","Si se constituye a favor de persona natural: dura toda su vida (máximo). Si se constituye a favor de persona jurídica: no puede pasar de 30 años.",DERECHO_CIVIL,LIBRO_II,TITULO_IX,Del derecho de usufructo,2
"¿Cómo se constituye el usufructo según el art. 766 CC?","1) Por ley (usufructo legal: ej. patria potestad sobre bienes del hijo), 2) Por testamento, 3) Por donación, venta u otro acto entre vivos, 4) Por prescripción.",DERECHO_CIVIL,LIBRO_II,TITULO_IX,Del derecho de usufructo,2
"¿Qué obligaciones tiene el usufructuario?","1) Confeccionar inventario solemne de los bienes (art. 775), 2) Rendir caución de conservación y restitución (art. 775), 3) Conservar la forma y sustancia de la cosa, 4) Restituir la cosa al término del usufructo, 5) Pagar las expensas ordinarias de conservación.",DERECHO_CIVIL,LIBRO_II,TITULO_IX,Del derecho de usufructo,2
"¿Puede el usufructuario arrendar o ceder su usufructo?","Puede ceder el ejercicio de su derecho (arrendar la cosa), pero no puede enajenar ni transmitir el usufructo mismo, que es intransmisible por causa de muerte (art. 793 CC).",DERECHO_CIVIL,LIBRO_II,TITULO_IX,Del derecho de usufructo,2
"¿Cuáles son las causales de extinción del usufructo según el art. 806 CC?","1) Llegada del plazo o muerte del usufructuario, 2) Resolución del derecho del constituyente, 3) Consolidación (reunión del usufructo con la nuda propiedad), 4) Renuncia del usufructuario, 5) Destrucción completa de la cosa, 6) Sentencia judicial.",DERECHO_CIVIL,LIBRO_II,TITULO_IX,Del derecho de usufructo,2
"¿Qué diferencia hay entre usufructo y fideicomiso?","En el usufructo coexisten dos derechos simultáneos: nuda propiedad + usufructo. En el fideicomiso hay un solo dominio sujeto a condición resolutoria. El usufructuario tiene goce; el fiduciario tiene dominio sujeto a restitución condicional.",DERECHO_CIVIL,LIBRO_II,TITULO_IX,Del derecho de usufructo,3
"¿Qué son los derechos de uso y habitación según el art. 811 CC?","El derecho de uso es un derecho real que consiste en la facultad de gozar de una parte limitada de las utilidades y productos de una cosa. Si se refiere a una casa y a la utilidad de morar en ella, se llama derecho de habitación.",DERECHO_CIVIL,LIBRO_II,TITULO_X,Del derecho de uso y de habitación,1
"¿Cuáles son las diferencias entre usufructo y uso/habitación?","1) El usufructo da derecho a TODOS los frutos; el uso solo a una parte limitada. 2) El usufructo puede cederse y arrendarse; el uso y habitación son personalísimos e intransferibles (art. 819). 3) El usufructo puede recaer sobre cualquier bien; la habitación solo sobre una casa.",DERECHO_CIVIL,LIBRO_II,TITULO_X,Del derecho de uso y de habitación,2
"¿Los derechos de uso y habitación son transferibles?","No. Son derechos personalísimos e intransferibles. No pueden cederse, arrendarse ni transmitirse (art. 819 CC).",DERECHO_CIVIL,LIBRO_II,TITULO_X,Del derecho de uso y de habitación,1
"¿Qué es una servidumbre según el art. 820 CC?","Un gravamen impuesto sobre un predio en utilidad de otro predio de distinto dueño. El predio que sufre el gravamen se llama sirviente; el que reporta la utilidad, dominante.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,1
"¿Cuáles son los elementos de toda servidumbre?","1) Dos predios de distinto dueño, 2) Un gravamen que pesa sobre el predio sirviente, 3) Una utilidad para el predio dominante, 4) Relación de vecindad entre los predios.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,1
"¿Cómo se clasifican las servidumbres según su origen?","1) Naturales: provienen de la natural situación de los predios (ej: servidumbre de libre escurrimiento de aguas, art. 833), 2) Legales: impuestas por la ley (ej: medianería, acueducto, tránsito), 3) Voluntarias: constituidas por voluntad de las partes (art. 880).",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,2
"¿Cómo se clasifican las servidumbres según su ejercicio?","1) Continuas: se ejercen sin necesidad de un hecho actual del hombre (ej: acueducto, vista), 2) Discontinuas: requieren un hecho actual del hombre (ej: servidumbre de tránsito). Esta clasificación es relevante para la prescripción.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,2
"¿Cómo se clasifican las servidumbres según sus señales?","1) Aparentes: las que están continuamente a la vista (ej: un camino, una ventana, un acueducto visible), 2) Inaparentes: las que no se conocen por una señal exterior (ej: prohibición de elevar un muro más allá de cierta altura).",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,2
"¿Qué servidumbres son susceptibles de prescripción adquisitiva?","Solo las servidumbres continuas y aparentes pueden adquirirse por prescripción de 5 años (art. 882 CC). Las discontinuas e inaparentes solo pueden constituirse por título.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,3
"¿Qué es la servidumbre de tránsito según el art. 847 CC?","Si un predio se halla destituido de toda comunicación con el camino público por la interposición de otros predios, el dueño del primero tendrá derecho para imponer a los otros la servidumbre de tránsito, indemnizando el valor del terreno.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,2
"¿Qué es la medianería según el art. 851 CC?","Servidumbre legal que tiene por objeto determinar las relaciones de vecindad entre propietarios de predios colindantes. La pared medianera pertenece en común a los dueños de los predios que separa.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,2
"¿Qué es la servidumbre de acueducto?","El derecho que tiene el dueño de un predio para conducir aguas por el predio vecino, a su costa, indemnizando al dueño del predio sirviente. Es una servidumbre legal continua y aparente.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,2
"¿Cuáles son las características de las servidumbres?","1) Son derechos reales (art. 577), 2) Son accesorias al predio (no pueden separarse de él), 3) Son inseparables del predio dominante, 4) Son indivisibles, 5) Son perpetuas (salvo pacto en contrario), 6) Limitan el dominio del predio sirviente.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,2
"¿Cómo se constituyen las servidumbres voluntarias según el art. 880 CC?","Por título (escritura pública inscrita en el CBR para inmuebles). También pueden adquirirse por prescripción las servidumbres continuas y aparentes (5 años, art. 882). Y por sentencia judicial en el caso de las legales.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,2
"¿Cuáles son las causales de extinción de las servidumbres según el art. 885 CC?","1) Por resolución del derecho del constituyente, 2) Por llegada del plazo o condición, 3) Por confusión (reunión de ambos predios en un solo dueño), 4) Por renuncia del dueño del predio dominante, 5) Por prescripción extintiva (3 años de no uso), 6) Por imposibilidad de ejercerla.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,2
"¿En qué plazo prescriben las servidumbres por no uso según el art. 885 Nº 5 CC?","Por haberse dejado de gozar durante 3 años. En las discontinuas, se cuenta desde el último acto de goce; en las continuas, desde que se haya ejecutado un acto contrario a la servidumbre.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,3
"¿Qué es la servidumbre de luz según el art. 873 CC?","La que tiene por objeto dar luz a un espacio cerrado y techado. Se distingue de la servidumbre de vista, que permite mirar al predio vecino a través de ventanas o balcones.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,2
"¿Qué diferencia hay entre servidumbre de luz y servidumbre de vista?","La de luz solo permite el paso de claridad sin poder mirar al vecino (ventanas con reja y vidrio fijo). La de vista permite mirar al predio vecino (ventanas que se abren, balcones). La de vista es más gravosa para el sirviente.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,2
"¿Qué son las servidumbres prediales a diferencia de las personales?","Las servidumbres prediales (art. 820) gravan un predio en beneficio de OTRO predio. Las servidumbres personales (usufructo, uso, habitación) benefician a una PERSONA. El CC regula las prediales en el Título XI.",DERECHO_CIVIL,LIBRO_II,TITULO_XI,De las servidumbres,2
