textoConBlancos,blancos_json,explicacion,rama,libro,titulo,materia,dificultad
"Las sentencias solo tienen fuerza obligatoria en la causa en que se pronunciaron. Esto se llama efecto {1} (art. {2} CC).","[{""id"":1,""correcta"":""relativo"",""opciones"":[""relativo"",""absoluto"",""general"",""universal""]},{""id"":2,""correcta"":""3"",""opciones"":[""3"",""1"",""5"",""10""]}]","Art. 3 CC: efecto relativo. No hay precedente vinculante general en Chile.",DERECHO_CIVIL,CODIGO_CIVIL,TITULO_PRELIMINAR,Del efecto relativo,1
"La sentencia tiene tres partes: {1} (hechos), considerativa (derecho) y {2} (decisión).","[{""id"":1,""correcta"":""expositiva"",""opciones"":[""expositiva"",""narrativa"",""introductoria"",""descriptiva""]},{""id"":2,""correcta"":""resolutiva"",""opciones"":[""resolutiva"",""ejecutiva"",""definitiva"",""conclusiva""]}]","Art. 170 CPC: expositiva + considerativa + resolutiva. Tres partes obligatorias.",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,De la estructura,1
"El voto {1} discrepa del resultado de la mayoría. El voto de {2} concurre pero por razones distintas.","[{""id"":1,""correcta"":""disidente"",""opciones"":[""disidente"",""prevencion"",""mayoria"",""abstencion""]},{""id"":2,""correcta"":""prevencion"",""opciones"":[""prevencion"",""disidente"",""conformidad"",""adhesion""]}]","Disidente = desacuerdo con resultado. Prevención = acuerdo con resultado pero diferente fundamentación.",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,Del voto disidente,2
"El recurso de {1} de jurisprudencia es exclusivo de materia {2} y se interpone ante la CS.","[{""id"":1,""correcta"":""unificacion"",""opciones"":[""unificacion"",""casacion"",""apelacion"",""nulidad""]},{""id"":2,""correcta"":""laboral"",""opciones"":[""laboral"",""civil"",""penal"",""familia""]}]","Art. 483 CT: recurso específico del derecho laboral para uniformar criterios de la CS.",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,De la unificacion,2
"En El Diario se otorga XP por {1} artículos, no por {2}. Tres artículos leídos por semana dan bonificación.","[{""id"":1,""correcta"":""leer"",""opciones"":[""leer"",""publicar"",""votar"",""compartir""]},{""id"":2,""correcta"":""publicar"",""opciones"":[""publicar"",""leer"",""comentar"",""citar""]}]","Diseño deliberado: XP por lectura incentiva audiencia y calidad, no volumen de publicación.",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,INTEGRACION,De la integracion,2
"Las sentencias del TC de {1} tienen efecto erga omnes (art. 94 CPR). Las de {2} solo efecto inter partes.","[{""id"":1,""correcta"":""inconstitucionalidad"",""opciones"":[""inconstitucionalidad"",""inaplicabilidad"",""nulidad"",""ilegalidad""]},{""id"":2,""correcta"":""inaplicabilidad"",""opciones"":[""inaplicabilidad"",""inconstitucionalidad"",""casacion"",""apelacion""]}]","Art. 93 N°7 (inconstitucionalidad: erga omnes) vs. art. 93 N°6 (inaplicabilidad: inter partes).",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,Del TC,3
"La sana crítica se basa en tres pilares: principios de la {1}, máximas de {2} y conocimientos científicamente afianzados.","[{""id"":1,""correcta"":""logica"",""opciones"":[""logica"",""moral"",""equidad"",""costumbre""]},{""id"":2,""correcta"":""experiencia"",""opciones"":[""experiencia"",""autoridad"",""tradicion"",""jurisprudencia""]}]","Tres pilares: lógica + experiencia + ciencia. El juez valora libremente PERO debe fundamentar.",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,De la valoracion,2
"El cambio de jurisprudencia se llama {1}. La CS {2} está obligada a seguir sus propios precedentes.","[{""id"":1,""correcta"":""overruling"",""opciones"":[""overruling"",""stare decisis"",""obiter dictum"",""ratio decidendi""]},{""id"":2,""correcta"":""NO"",""opciones"":[""NO"",""SI"",""SIEMPRE"",""NUNCA""]}]","No hay stare decisis en Chile. La CS puede cambiar de criterio fundamentadamente (overruling).",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,Del cambio,2
"La cosa juzgada requiere triple {1}: mismas partes, mismo {2} y misma causa de pedir (art. 177 CPC).","[{""id"":1,""correcta"":""identidad"",""opciones"":[""identidad"",""mayoria"",""unanimidad"",""conformidad""]},{""id"":2,""correcta"":""objeto"",""opciones"":[""objeto"",""tribunal"",""procedimiento"",""abogado""]}]","Art. 177 CPC: triple identidad para la excepción de cosa juzgada.",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,De la cosa juzgada,2
"La prueba legal {1} asigna valor predeterminado a cada prueba. La sana {2} permite valoración libre con fundamentación.","[{""id"":1,""correcta"":""tasada"",""opciones"":[""tasada"",""libre"",""critica"",""judicial""]},{""id"":2,""correcta"":""critica"",""opciones"":[""critica"",""tasada"",""legal"",""privada""]}]","Tasada = CPC civil (valor predeterminado). Sana crítica = familia, laboral, penal (libre con fundamento).",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,De la valoracion,2
"La casación en el {1} permite a la CS fijar la correcta interpretación de la ley (art. {2} CPC).","[{""id"":1,""correcta"":""fondo"",""opciones"":[""fondo"",""forma"",""hecho"",""derecho""]},{""id"":2,""correcta"":""767"",""opciones"":[""767"",""768"",""764"",""770""]}]","Art. 767 CPC: casación en el fondo por infracción de ley. De facto uniforma jurisprudencia.",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,De la unificacion,3
"La {1} judicial interpreta la ley para el caso concreto. La interpretación {2} la hace el legislador con efecto general.","[{""id"":1,""correcta"":""interpretacion"",""opciones"":[""interpretacion"",""casacion"",""apelacion"",""sentencia""]},{""id"":2,""correcta"":""autentica"",""opciones"":[""autentica"",""judicial"",""doctrinal"",""privada""]}]","Art. 3 CC: judicial = relativa. Auténtica = general (ley interpretativa del legislador).",DERECHO_PROCESAL_CIVIL,MODULO_DIARIO,JURISPRUDENCIA,De la interpretacion,2
