pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"Los actos judiciales no contenciosos son aquellos en que:","Según la ley requieren intervención del juez y no se promueve contienda entre partes (art. 817 CPC)","Siempre hay dos partes en conflicto","Solo se tramitan ante notario","No requieren intervención judicial alguna",0,"Art. 817 CPC: definición legal. Sin contienda entre partes. El juez interviene por mandato legal, no para resolver un conflicto.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,1
"En los actos no contenciosos, el tribunal aprecia la prueba:","Prudencialmente, sin sujeción a las reglas de la prueba legal tasada (art. 819 CPC)","Según la prueba legal tasada estricta","Según la sana crítica obligatoriamente","Solo con instrumento público",0,"Art. 819 CPC: mayor libertad probatoria. El juez valora prudencialmente, sin las reglas rígidas del sistema de prueba tasada.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"Si se formula oposición por legítimo contradictor en un acto no contencioso:","El asunto se torna contencioso y se tramita según el procedimiento que corresponda (art. 823 CPC)","El asunto se archiva","Se rechaza la oposición automáticamente","Se remite a un tribunal arbitral",0,"Art. 823 CPC: la oposición transforma la naturaleza del asunto. El mismo tribunal sigue conociendo pero ahora bajo reglas contenciosas.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"Las resoluciones negativas en actos no contenciosos:","Pueden ser modificadas de oficio por el tribunal (art. 821 CPC)","Son inapelables y definitivas","Producen cosa juzgada material","Requieren recurso de casación para modificarse",0,"Art. 821 CPC: las negativas son modificables de oficio. Las afirmativas, una vez firmes, no se modifican sin recurso.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"La posesión efectiva de herencias intestadas actualmente se tramita ante:","El Servicio de Registro Civil e Identificación (Ley 19.903)","El tribunal civil competente","El notario del domicilio","La Corte de Apelaciones",0,"Ley 19.903 (desde 2003): las intestadas van al Registro Civil. Solo las testamentarias se tramitan ante tribunal como acto no contencioso.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_IV,De la posesión efectiva,2
"La posesión efectiva de herencias testamentarias se tramita ante:","El tribunal civil competente como acto judicial no contencioso","El Servicio de Registro Civil","Un notario","La Contraloría General",0,"CPC Libro IV + Ley 19.903: las testamentarias siguen siendo acto judicial no contencioso ante el tribunal.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_IV,De la posesión efectiva,2
"El inventario solemne se practica:","Con las solemnidades legales ante un ministro de fe, describiendo detalladamente los bienes (art. 858 CPC)","Mediante lista privada del interesado","Solo ante notario público","Sin formalidades por cualquier persona",0,"Art. 858 CPC: formalidades legales + ministro de fe. El inventario solemne tiene valor de instrumento público.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_VII,Del inventario solemne,2
"La herencia yacente se declara cuando:","Transcurridos 15 días desde la apertura de la sucesión, no se ha aceptado ni hay albacea (art. 885 CPC + art. 1240 CC)","El heredero rechaza expresamente la herencia","Hay un solo heredero","Los herederos son menores de edad",0,"Art. 1240 CC + 885 CPC: sin aceptación ni albacea después de 15 días. Se designa curador de herencia yacente para administrar.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_V,De la herencia yacente,2
"El cambio de nombre según la Ley 17.344 requiere:","Publicación de extracto en el Diario Oficial + plazo de 30 días para oposición","Solo presentar la solicitud al tribunal","Autorización del Registro Civil","Consentimiento de los padres en todos los casos",0,"Ley 17.344: publicación obligatoria para dar publicidad. Si hay oposición en 30 días, el asunto se torna contencioso.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"¿Cuántas veces puede una persona solicitar cambio de nombre según la Ley 17.344?","Por una sola vez en la vida (regla general)","Las veces que quiera","Hasta dos veces","Cada 5 años",0,"Ley 17.344: restricción de una sola vez como regla general. Excepción: rectificaciones por errores o identidad de género.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"La información para perpetua memoria busca:","Conservar declaraciones de testigos sobre hechos que podrían perderse (art. 909 CPC)","Declarar la muerte presunta de una persona","Cambiar el nombre de una persona","Rectificar partidas del Registro Civil",0,"Art. 909 CPC: preservar prueba testimonial para el futuro. Ej: testigos ancianos que podrían fallecer antes de un juicio.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_XIII,De la información para perpetua memoria,2
"El fiscal judicial (Ministerio Público judicial) interviene en actos no contenciosos:","Cuando la ley lo ordene, emitiendo dictamen no vinculante que el tribunal debe considerar (art. 820 CPC)","Siempre en todos los actos no contenciosos","Solo cuando las partes lo piden","Nunca: no tiene rol en jurisdicción voluntaria",0,"Art. 820 CPC: intervención obligatoria en ciertos casos (incapaces, interés público). Su dictamen orienta pero no obliga al juez.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"La muerte presunta requiere:","Declaración judicial con publicaciones, plazos especiales y citación del desaparecido (arts. 80-94 CC)","Solo declaración administrativa del Registro Civil","Certificado de defunción","Acuerdo de los herederos",0,"Arts. 80-94 CC: procedimiento no contencioso con requisitos estrictos: publicaciones en el Diario Oficial, plazos de espera, intervención del defensor de ausentes.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"Las resoluciones afirmativas en actos no contenciosos:","Son apelables y, una vez firmes, no pueden modificarse de oficio","Pueden revocarse de oficio como las negativas","Son siempre inapelables","Producen cosa juzgada material",0,"Art. 821-822 CPC: las afirmativas firmes son estables. Las negativas sí pueden modificarse de oficio. Distinción clave del régimen.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"La designación de curador ad litem procede cuando:","El incapaz necesita representación judicial y su representante legal tiene conflicto de interés o está ausente","Solo en juicios de familia","Solo para mayores de edad","Siempre que haya un menor de edad en juicio",0,"Art. 494 CC: el curador ad litem representa al incapaz exclusivamente en el juicio específico. No es tutor ni curador general.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"Los actos no contenciosos producen:","Cosa juzgada formal (no material): pueden revisarse si cambian las circunstancias","Cosa juzgada material definitiva","Ningún efecto jurídico permanente","Efecto solo entre las partes como en juicio contencioso",0,"Cosa juzgada formal: la resolución es estable mientras no cambien las circunstancias. No hay cosa juzgada material porque no hay contienda.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
