pregunta,respuesta,rama,libro,titulo,materia,dificultad
"¿Qué establece el art. 1545 CC sobre la fuerza obligatoria del contrato?","Todo contrato legalmente celebrado es una ley para los contratantes, y no puede ser invalidado sino por su consentimiento mutuo o por causas legales. Es el principio 'pacta sunt servanda'.",DERECHO_CIVIL,LIBRO_IV,TITULO_XII,Del efecto de las obligaciones,1
"¿Qué establece el art. 1546 CC sobre la buena fe contractual?","Los contratos deben ejecutarse de buena fe, y por consiguiente obligan no solo a lo que en ellos se expresa, sino a todas las cosas que emanan precisamente de la naturaleza de la obligación, o que por la ley o la costumbre pertenecen a ella.",DERECHO_CIVIL,LIBRO_IV,TITULO_XII,Del efecto de las obligaciones,1
"¿Qué es la mora del deudor?","El retardo culpable en el cumplimiento de la obligación, unido al requerimiento o interpelación del acreedor. Art. 1551 CC establece tres formas de constituir en mora al deudor.",DERECHO_CIVIL,LIBRO_IV,TITULO_XII,Del efecto de las obligaciones,1
"¿Cuáles son las formas de constituir en mora al deudor según el art. 1551 CC?","1) Cuando no cumple dentro del término estipulado (mora automática: el solo vencimiento del plazo), 2) Cuando la cosa no ha podido ser dada o ejecutada sino dentro de cierto espacio de tiempo y el deudor lo ha dejado pasar, 3) En los demás casos, solo por requerimiento judicial (regla general).",DERECHO_CIVIL,LIBRO_IV,TITULO_XII,Del efecto de las obligaciones,2
"¿Qué es la indemnización de perjuicios?","La suma de dinero que el deudor debe pagar al acreedor para reparar el daño causado por el incumplimiento o cumplimiento tardío de la obligación. Comprende daño emergente y lucro cesante (art. 1556 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XII,Del efecto de las obligaciones,1
"¿Qué es el daño emergente y el lucro cesante según el art. 1556 CC?","Daño emergente: pérdida efectivamente sufrida por el acreedor (disminución patrimonial). Lucro cesante: ganancia que el acreedor dejó de obtener a causa del incumplimiento (beneficio frustrado).",DERECHO_CIVIL,LIBRO_IV,TITULO_XII,Del efecto de las obligaciones,1
"¿Cuáles son los requisitos de la indemnización de perjuicios?","1) Incumplimiento de la obligación (total o parcial), 2) Perjuicio al acreedor, 3) Relación de causalidad entre incumplimiento y perjuicio, 4) Mora del deudor (si la obligación es positiva), 5) Imputabilidad: dolo o culpa del deudor.",DERECHO_CIVIL,LIBRO_IV,TITULO_XII,Del efecto de las obligaciones,2
"¿Qué es el caso fortuito o fuerza mayor según el art. 45 CC?","El imprevisto a que no es posible resistir, como un naufragio, un terremoto, los actos de autoridad ejercidos por un funcionario público, etc. Exime de responsabilidad al deudor (art. 1547 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XII,Del efecto de las obligaciones,1
"¿Cómo se gradúa la culpa según el art. 44 CC?","1) Culpa grave o lata: no manejar los negocios ajenos con aquel cuidado que aun las personas negligentes emplean. Equivale al dolo. 2) Culpa leve: falta de aquella diligencia que un hombre juicioso emplea. 3) Culpa levísima: falta de aquella esmerada diligencia que un hombre juicioso emplea en sus negocios importantes.",DERECHO_CIVIL,LIBRO_IV,TITULO_XII,Del efecto de las obligaciones,2
"¿De qué culpa responde el deudor según el art. 1547 CC?","Depende de a quién beneficia el contrato: 1) Beneficia solo al acreedor: el deudor responde de culpa grave (ej: depósito), 2) Beneficia a ambas partes: responde de culpa leve (regla general, ej: compraventa), 3) Beneficia solo al deudor: responde de culpa levísima (ej: comodato).",DERECHO_CIVIL,LIBRO_IV,TITULO_XII,Del efecto de las obligaciones,2
"¿Qué son los derechos auxiliares del acreedor?","Derechos que protegen el patrimonio del deudor para asegurar el cumplimiento: 1) Medidas conservativas, 2) Acción oblicua o subrogatoria (art. 2466), 3) Acción pauliana o revocatoria (art. 2468), 4) Beneficio de separación.",DERECHO_CIVIL,LIBRO_IV,TITULO_XII,Del efecto de las obligaciones,2
