pregunta,respuesta,rama,libro,titulo,materia,dificultad
"¿Cuáles son las fuentes de las obligaciones según el art. 1437 CC?","1) Contrato o convención, 2) Cuasicontrato, 3) Delito, 4) Cuasidelito, 5) La ley. Las obligaciones nacen de la concurrencia real de la voluntad de dos o más personas (contrato), de un hecho voluntario lícito (cuasicontrato), de un hecho ilícito doloso (delito), de un hecho ilícito culposo (cuasidelito), o de la sola disposición de la ley.",DERECHO_CIVIL,LIBRO_IV,TITULO_I,Definiciones,1
"¿Qué es una obligación?","Vínculo jurídico entre dos personas (acreedor y deudor) en virtud del cual el deudor se encuentra en la necesidad jurídica de dar, hacer o no hacer algo a favor del acreedor.",DERECHO_CIVIL,LIBRO_IV,TITULO_I,Definiciones,1
"¿Qué es un contrato según el art. 1438 CC?","Acto por el cual una parte se obliga para con otra a dar, hacer o no hacer alguna cosa. Cada parte puede ser una o muchas personas.",DERECHO_CIVIL,LIBRO_IV,TITULO_I,Definiciones,1
"¿Cómo se clasifican los contratos según el número de partes obligadas (art. 1439 CC)?","1) Unilaterales: una sola parte se obliga (ej: donación, comodato, depósito), 2) Bilaterales o sinalagmáticos: ambas partes se obligan recíprocamente (ej: compraventa, arrendamiento).",DERECHO_CIVIL,LIBRO_IV,TITULO_I,Definiciones,1
"¿Cómo se clasifican los contratos según su utilidad (art. 1440 CC)?","1) Gratuitos o de beneficencia: la utilidad es solo para una parte (ej: donación, comodato), 2) Onerosos: tiene por objeto la utilidad de ambos contratantes, gravándose cada uno a beneficio del otro (ej: compraventa).",DERECHO_CIVIL,LIBRO_IV,TITULO_I,Definiciones,1
"¿Cómo se clasifican los contratos onerosos (art. 1441 CC)?","1) Conmutativos: las prestaciones se miran como equivalentes (ej: compraventa a precio justo), 2) Aleatorios: la equivalencia depende de una contingencia incierta de ganancia o pérdida (ej: contrato de seguro, juego).",DERECHO_CIVIL,LIBRO_IV,TITULO_I,Definiciones,2
"¿Qué es un contrato real, solemne y consensual (art. 1443 CC)?","Real: se perfecciona por la entrega de la cosa (ej: comodato, mutuo). Solemne: requiere formalidades especiales para su perfeccionamiento (ej: compraventa de inmueble). Consensual: se perfecciona por el solo consentimiento (ej: compraventa de muebles).",DERECHO_CIVIL,LIBRO_IV,TITULO_I,Definiciones,1
"¿Qué es un contrato principal y uno accesorio (art. 1442 CC)?","Principal: subsiste por sí mismo sin necesidad de otra convención (ej: compraventa). Accesorio: tiene por objeto asegurar el cumplimiento de una obligación principal, de manera que no pueda subsistir sin ella (ej: hipoteca, fianza, prenda).",DERECHO_CIVIL,LIBRO_IV,TITULO_I,Definiciones,1
"¿Cómo se clasifican las obligaciones según su objeto?","1) De dar: transferir dominio o constituir derecho real. 2) De hacer: ejecutar un hecho positivo. 3) De no hacer: abstenerse de un hecho que podría lícitamente realizar.",DERECHO_CIVIL,LIBRO_IV,TITULO_I,Definiciones,1
"¿Cómo se clasifican las obligaciones según la determinación del objeto?","1) De especie o cuerpo cierto: recae sobre una cosa individual y determinada. El deudor debe conservarla hasta la entrega. 2) De género: recae sobre un individuo indeterminado de un género determinado (ej: 100 quintales de trigo). El deudor cumple entregando cualquier individuo del género de calidad mediana.",DERECHO_CIVIL,LIBRO_IV,TITULO_I,Definiciones,2
