pregunta,respuesta,rama,libro,titulo,materia,dificultad
"¿Qué es el juicio ordinario de mayor cuantía?","El procedimiento de aplicación general y supletoria del CPC (Libro II). Se aplica siempre que no exista procedimiento especial. Se estructura en períodos: discusión, conciliación, prueba, sentencia.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_I,Del juicio ordinario,1
"¿Qué es la demanda?","Acto procesal del demandante por el cual ejercita la acción y formula su pretensión ante el tribunal. Es el escrito que da inicio al juicio ordinario. Debe cumplir los requisitos del art. 254 CPC.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_I,Del juicio ordinario,1
"¿Cuáles son los requisitos de la demanda según el art. 254 CPC?","1) Designación del tribunal, 2) Nombre, domicilio y profesión del demandante y demandado, 3) Exposición clara de los hechos y fundamentos de derecho, 4) Enunciación precisa de las peticiones (parte petitoria). Además: patrocinio y poder (Ley 18.120).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_I,Del juicio ordinario,1
"¿Puede el tribunal rechazar de oficio la demanda?","Solo si no cumple los tres primeros requisitos del art. 256 CPC (designación del tribunal, individualización de las partes, peticiones). No puede rechazarla por deficiencias de fondo. El art. 256 es facultativo ('podrá').",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_I,Del juicio ordinario,2
"¿Qué efectos produce la presentación de la demanda?","1) Queda abierta la instancia y nace la relación procesal, 2) Queda fijada la competencia del tribunal (radicación), 3) Se interrumpe la prescripción extintiva (art. 2518 CC, con matices), 4) Constituye en mora al deudor en ciertos casos.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_I,Del juicio ordinario,2
"¿Puede modificarse la demanda una vez presentada?","Antes de la contestación: puede ampliarse, rectificarse o enmendarse libremente (art. 261 CPC). Después de la contestación: no puede modificarse sustancialmente, solo en la réplica en ciertos aspectos (art. 312).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_I,Del juicio ordinario,2
"¿Qué es el emplazamiento en el juicio ordinario?","Acto procesal complejo: notificación legal de la demanda (personal, art. 40) + transcurso del plazo para contestar (15 días hábiles si es en la misma comuna). Es trámite esencial (art. 795 Nº 1 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_I,Del juicio ordinario,1
"¿Cuál es el plazo de emplazamiento en el juicio ordinario?","15 días hábiles si el demandado es notificado en la comuna del tribunal. +3 días (tabla de emplazamiento) si es en otra comuna del mismo territorio. Si es fuera del territorio jurisdiccional: 15 días + tabla de emplazamiento (art. 258-259 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_I,Del juicio ordinario,2
"¿Qué es la tabla de emplazamiento?","Tabla confeccionada cada 5 años por la Corte Suprema que fija un aumento de días según la distancia entre el lugar de notificación y el tribunal. Se agrega al plazo base de 15+3 días (art. 259 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_I,Del juicio ordinario,2
"¿Cuáles son las actitudes del demandado frente a la demanda?","1) Contestar la demanda (defenderse), 2) Oponer excepciones dilatorias (art. 303), 3) Reconvenir (contrademandar, art. 314), 4) Aceptar la demanda (allanarse), 5) No hacer nada (rebeldía).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_I,Del juicio ordinario,1
"¿Qué son las excepciones dilatorias según el art. 303 CPC?","Excepciones que se refieren a la corrección del procedimiento sin afectar el fondo de la acción deducida. Buscan subsanar vicios formales antes de entrar al fondo del asunto.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VI,De las excepciones dilatorias,1
"¿Cuáles son las excepciones dilatorias del art. 303 CPC?","1) Incompetencia del tribunal, 2) Falta de capacidad del demandante o personería de su mandatario, 3) Litis pendencia, 4) Ineptitud del libelo (demanda defectuosa), 5) Beneficio de excusión, 6) Todas las que se refieran a corrección del procedimiento.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VI,De las excepciones dilatorias,1
"¿Qué es la incompetencia del tribunal como excepción dilatoria?","La alegación del demandado de que el tribunal que conoce del juicio no es competente, ya sea por competencia absoluta (materia, fuero, cuantía) o relativa (territorio). Art. 303 Nº 1 CPC.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VI,De las excepciones dilatorias,2
"¿Qué es la litis pendencia?","Excepción dilatoria (art. 303 Nº 3 CPC) que alega la existencia de otro juicio pendiente entre las mismas partes, por la misma causa y sobre el mismo objeto. Evita sentencias contradictorias.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VI,De las excepciones dilatorias,2
"¿Qué es la ineptitud del libelo?","Excepción dilatoria (art. 303 Nº 4 CPC) que alega que la demanda no cumple con los requisitos del art. 254 CPC: falta de claridad en los hechos, ausencia de peticiones concretas, identificación defectuosa de las partes.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VI,De las excepciones dilatorias,2
"¿En qué oportunidad deben oponerse las excepciones dilatorias?","Dentro del término de emplazamiento y ANTES de contestar la demanda. Todas las dilatorias deben oponerse conjuntamente en un mismo escrito (art. 305 CPC). Si no se oponen en esta oportunidad, se pierden.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VI,De las excepciones dilatorias,2
"¿Cómo se tramitan las excepciones dilatorias?","Como incidentes (art. 307 CPC): traslado a la contraparte por 3 días + eventual prueba de 8 días. Se resuelven todas en una sola sentencia interlocutoria. Si se acogen, el demandante debe corregir el vicio antes de contestar.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VI,De las excepciones dilatorias,2
"¿Qué plazo tiene el demandado para contestar después de resueltas las excepciones dilatorias?","10 días desde la notificación de la resolución que rechaza las excepciones dilatorias o desde que se subsana el vicio (art. 308 CPC). No es el plazo original de 15 días.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VI,De las excepciones dilatorias,2
"¿Qué son las excepciones perentorias?","Las que atacan el fondo de la acción deducida, buscando la extinción total o parcial de la pretensión del demandante. Se oponen en la contestación de la demanda. Ej: pago, prescripción, nulidad, compensación.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VII,De la contestación de la demanda,1
"¿Qué excepciones pueden oponerse en cualquier estado del juicio según el art. 310 CPC?","1) Prescripción, 2) Cosa juzgada, 3) Transacción, 4) Pago efectivo de la deuda (con antecedente escrito). Son excepciones perentorias que por su gravedad pueden alegarse después de la contestación.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VII,De la contestación de la demanda,2
"¿Cuáles son los requisitos de la contestación de la demanda?","Art. 309 CPC: 1) Designación del tribunal, 2) Nombre, domicilio y profesión del demandado, 3) Excepciones que opone a la demanda, 4) Exposición clara de los hechos y fundamentos de derecho, 5) Peticiones concretas.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VII,De la contestación de la demanda,1
"¿Qué es el allanamiento?","Acto por el cual el demandado acepta las pretensiones del demandante en la contestación. Si el allanamiento es total y no hay hechos controvertidos, el tribunal puede citar a las partes a oír sentencia sin más trámite (art. 313 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VII,De la contestación de la demanda,2
"¿Qué es la reconvención según el art. 314 CPC?","La demanda que el demandado formula contra el demandante dentro del mismo juicio, en su escrito de contestación. Es una contrademanda que amplía el objeto del juicio.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VIII,De la reconvención,1
"¿Cuáles son los requisitos de la reconvención?","1) Formularse en el escrito de contestación (misma oportunidad), 2) Que el tribunal sea competente para conocer de la acción reconvencional, 3) Que la acción reconvencional se someta al mismo procedimiento (ordinario).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VIII,De la reconvención,2
"¿Cómo se tramita la reconvención?","Se tramita conjuntamente con la demanda principal (art. 316 CPC). El demandante tiene 15 días para contestar la reconvención. Réplica de la reconvención y dúplica siguen los plazos normales (6 días cada una).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VIII,De la reconvención,2
"¿Qué es la rebeldía o contumacia del demandado?","La situación procesal del demandado que, válidamente emplazado, no contesta la demanda dentro del plazo legal. El juicio continúa sin su participación activa. NO implica aceptación tácita de los hechos: el demandante debe probar igualmente.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VII,De la contestación de la demanda,1
"¿Qué son las excepciones mixtas del art. 304 CPC?","Las excepciones de cosa juzgada y transacción que, siendo perentorias por naturaleza (atacan el fondo), pueden oponerse y tramitarse como dilatorias (antes de contestar). Si son de lato conocimiento, se reservan para la sentencia definitiva.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_VI,De las excepciones dilatorias,3
