pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"Según el art. 1 CC, la ley es:","Una declaración de la voluntad soberana que, manifestada en la forma prescrita por la Constitución, manda, prohíbe o permite","Un acuerdo entre los poderes del Estado que regula la conducta humana","Una resolución del poder legislativo que se aplica a todos los ciudadanos","Un mandato del Presidente de la República aprobado por el Congreso",0,"El art. 1 CC define la ley con tres elementos: 1) declaración de voluntad soberana, 2) manifestada en la forma prescrita por la Constitución, 3) que manda, prohíbe o permite. Esta definición distingue la ley de otros actos normativos.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_I,De la Ley,1
"¿Cuándo constituye derecho la costumbre en Chile según el art. 2 CC?","Solo en los casos en que la ley se remite a ella","Siempre que sea una práctica reiterada y uniforme","Cuando es reconocida por los tribunales en al menos tres sentencias","Nunca, porque Chile tiene un sistema de derecho escrito",0,"Chile sigue un sistema de costumbre según la ley (secundum legem). La costumbre solo constituye derecho cuando la ley expresamente se remite a ella, como ocurre en el art. 1546 CC (buena fe contractual) y extensamente en el Código de Comercio.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_I,De la Ley,1
"¿Qué alcance tienen las sentencias judiciales según el art. 3 CC?","Solo tienen fuerza obligatoria respecto de las causas en que actualmente se pronunciaren","Tienen fuerza obligatoria general cuando emanan de la Corte Suprema","Son obligatorias para todos los tribunales inferiores al que dictó la sentencia","Tienen fuerza de ley cuando son confirmadas por la Corte de Apelaciones",0,"El art. 3 CC consagra el efecto relativo de las sentencias judiciales. A diferencia del sistema anglosajón de precedentes, en Chile las sentencias solo obligan en el caso concreto. Solo el legislador puede interpretar la ley de modo generalmente obligatorio.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_I,De la Ley,2
"¿Cómo se da a conocer la ley según el art. 7 CC?","Mediante su inserción en el Diario Oficial","Mediante su lectura pública en el Congreso Nacional","Mediante su publicación en al menos dos diarios de circulación nacional","Mediante notificación personal a todos los habitantes",0,"La publicación en el Diario Oficial cumple una doble función: 1) desde esa fecha se entiende conocida de todos (ficción legal), y 2) desde esa fecha es obligatoria. Excepcionalmente, la propia ley puede establecer reglas diferentes.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_II,Promulgación de la Ley,1
"La promulgación de la ley tiene por objeto:","Certificar la existencia de la ley y ordenar su cumplimiento","Dar a conocer la ley a todos los habitantes del territorio","Iniciar el debate legislativo sobre el proyecto de ley","Someter la ley al control de constitucionalidad del Tribunal Constitucional",0,"Promulgación y publicación son actos distintos. La promulgación (acto del Presidente) certifica que la ley existe y ordena cumplirla. La publicación (inserción en el Diario Oficial) la da a conocer y la hace obligatoria.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_II,Promulgación de la Ley,2
"El art. 8 CC establece que nadie podrá alegar ignorancia de la ley después de su entrada en vigencia. Esto constituye:","Una presunción de derecho que no admite prueba en contrario","Una presunción simplemente legal que puede desvirtuarse","Una ficción legal que puede ceder ante prueba fehaciente","Un principio general que admite excepciones por analfabetismo",0,"Se trata de una presunción de derecho (iuris et de iure): no admite prueba en contrario. Aunque en la realidad nadie conoce todas las leyes, el ordenamiento no puede funcionar si se permite alegar ignorancia como excusa.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_III,Efectos de la Ley,2
"Según el art. 9 CC, ¿puede la ley tener efecto retroactivo?","No, la ley solo puede disponer para lo futuro y no tendrá jamás efecto retroactivo","Sí, pero solo cuando lo declara expresamente el legislador","Sí, cuando se trata de leyes de orden público","No, salvo que la Corte Suprema lo autorice",0,"El art. 9 CC consagra el principio de irretroactividad. Sin embargo, esta norma obliga al juez pero no al legislador, quien tiene rango constitucional y puede dictar leyes retroactivas con ciertos límites (derechos adquiridos, garantías constitucionales).",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_III,Efectos de la Ley,2
"¿Cuál es la sanción general para los actos prohibidos por la ley según el art. 10 CC?","La nulidad, salvo que la ley designe expresamente otro efecto","La inexistencia jurídica del acto","La inoponibilidad frente a terceros","Una multa proporcional al valor del acto",0,"El art. 10 establece como regla general la nulidad, pero admite que la propia ley puede establecer una sanción distinta. Ejemplos: art. 1796 (compraventa entre cónyuges no separados judicialmente) cuya sanción es nulidad absoluta por objeto ilícito.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_III,Efectos de la Ley,2
"Según el art. 12 CC, para que un derecho pueda renunciarse se requiere que:","Solo mire al interés individual del renunciante y que no esté prohibida su renuncia","Sea un derecho patrimonial y que el renunciante sea mayor de edad","El juez lo autorice previa audiencia del Ministerio Público","Conste por escritura pública y se inscriba en el registro correspondiente",0,"El art. 12 exige dos requisitos copulativos: 1) que el derecho mire solo al interés individual del renunciante (no derechos de orden público o que involucren intereses de terceros), y 2) que la renuncia no esté prohibida por ley.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_III,Efectos de la Ley,1
"¿A quiénes obliga la ley chilena según el art. 14 CC?","A todos los habitantes de la República, incluidos los extranjeros","Solo a los ciudadanos chilenos con residencia en el territorio","A todos los chilenos, incluso los que residen en el extranjero","Solo a las personas domiciliadas en Chile",0,"El art. 14 consagra el principio de territorialidad de la ley: obliga a todos los habitantes, sin distinción de nacionalidad. El factor determinante es la habitación en el territorio, no la nacionalidad ni el domicilio.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_III,Efectos de la Ley,1
