pregunta,respuesta,rama,libro,titulo,materia,dificultad
"¿Quiénes son los auxiliares de la administración de justicia?","Funcionarios que colaboran con los tribunales en el ejercicio de la función jurisdiccional. Principales: 1) Fiscales judiciales, 2) Defensores públicos, 3) Relatores, 4) Secretarios, 5) Receptores, 6) Notarios, 7) Conservadores, 8) Archiveros (art. 350 COT).",DERECHO_ORGANICO,COT,TITULO_XI,De los auxiliares,1
"¿Qué son los fiscales judiciales?","Funcionarios del PJ que representan el interés general de la sociedad ante los tribunales superiores. Emiten dictámenes (vistas) en ciertos asuntos. Pueden integrar salas de CA/CS cuando falta un ministro (art. 350-364 COT).",DERECHO_ORGANICO,COT,TITULO_XI,De los fiscales judiciales,1
"¿Qué son los defensores públicos?","Funcionarios del PJ encargados de representar y defender a los incapaces, ausentes y demás personas que la ley determine, cuando carecen de representante legal. No confundir con la Defensoría Penal Pública (art. 365-371 COT).",DERECHO_ORGANICO,COT,TITULO_XI,De los defensores públicos,1
"¿Qué son los relatores?","Funcionarios de las CA y CS encargados de dar cuenta de los asuntos a la sala (relación), revisar los expedientes y certificar hechos procesales. Son esenciales para la vista de la causa (art. 372-378 COT).",DERECHO_ORGANICO,COT,TITULO_XI,De los relatores,1
"¿Qué son los secretarios de tribunal?","Ministros de fe encargados de autorizar las resoluciones del tribunal, custodiar los expedientes, dar cuenta de los escritos presentados y certificar actuaciones. Pueden subrogar al juez si son abogados (art. 379-389 COT).",DERECHO_ORGANICO,COT,TITULO_XI,De los secretarios,1
"¿Qué son los receptores judiciales?","Ministros de fe encargados de practicar las notificaciones, los embargos, el retiro de especies y demás diligencias fuera del tribunal. Son los brazos ejecutores del tribunal fuera de la sede (art. 390-393 COT).",DERECHO_ORGANICO,COT,TITULO_XI,De los receptores,1
"¿Qué son los notarios?","Ministros de fe encargados de autorizar escrituras públicas, protocolizar documentos, dar fe de hechos, autorizar firmas y practicar inventarios. Ejercen funciones fuera del PJ pero están regulados por el COT (art. 399-445 COT).",DERECHO_ORGANICO,COT,TITULO_XI,De los notarios,1
"¿Qué son los conservadores de bienes raíces?","Ministros de fe encargados de los registros de propiedad, hipotecas y gravámenes, interdicciones y prohibiciones de enajenar y de comercio. Llevan el sistema registral inmobiliario chileno (art. 446-452 COT).",DERECHO_ORGANICO,COT,TITULO_XI,De los conservadores,1
"¿Qué registros lleva el conservador de bienes raíces?","Tres registros principales: 1) Registro de Propiedad (transferencias de dominio), 2) Registro de Hipotecas y Gravámenes, 3) Registro de Interdicciones y Prohibiciones de Enajenar (art. 31 Reglamento del CBR).",DERECHO_ORGANICO,COT,TITULO_XI,De los conservadores,2
"¿Qué son los archiveros judiciales?","Funcionarios encargados de custodiar los procesos terminados y demás documentos que la ley ordene archivar. Facilitan acceso a expedientes antiguos (art. 453-456 COT).",DERECHO_ORGANICO,COT,TITULO_XI,De los archiveros,2
"¿Qué son las implicancias?","Causales de inhabilidad que afectan a un juez para conocer de un determinado asunto por existir un vínculo o interés personal grave. Son de ORDEN PÚBLICO: el juez DEBE declararse inhabilitado de oficio (art. 195 COT).",DERECHO_ORGANICO,COT,TITULO_XII,De las implicancias,1
"¿Qué son las recusaciones?","Causales de inhabilidad menos graves que las implicancias. El juez PUEDE declararse inhabilitado, pero si no lo hace, la PARTE interesada debe alegarla. Son de orden privado (art. 196 COT).",DERECHO_ORGANICO,COT,TITULO_XII,De las recusaciones,1
"¿Cuál es la diferencia esencial entre implicancia y recusación?","Implicancia: de ORDEN PÚBLICO, el juez DEBE inhabilitarse de oficio. Si no lo hace, comete delito (prevaricación). Recusación: de ORDEN PRIVADO, la parte debe alegarla. Si no la alega, se entiende renunciada.",DERECHO_ORGANICO,COT,TITULO_XII,De las implicancias y recusaciones,1
"¿Cuáles son las principales causales de implicancia del art. 195 COT?","1) Ser parte o tener interés personal en el juicio, 2) Ser cónyuge, conviviente o pariente (consanguinidad hasta 2° grado) de alguna parte, 3) Haber sido abogado de alguna parte, 4) Haber declarado como testigo, 5) Haber dictado sentencia como juez inferior.",DERECHO_ORGANICO,COT,TITULO_XII,De las implicancias,2
"¿Cuáles son las principales causales de recusación del art. 196 COT?","1) Parentesco (consanguinidad hasta 4° grado o afinidad hasta 2°), 2) Tener el juez amistad íntima o enemistad manifiesta con alguna parte, 3) Ser acreedor/deudor de alguna parte, 4) Ser el juez ascendiente/descendiente del abogado de alguna parte.",DERECHO_ORGANICO,COT,TITULO_XII,De las recusaciones,2
"¿Qué efecto tiene la implicancia sobre el juez?","El juez queda legalmente inhabilitado para conocer del asunto. DEBE declararse de oficio. Si no lo hace y falla, la sentencia es nula y el juez incurre en responsabilidad penal (prevaricación, art. 224 CP).",DERECHO_ORGANICO,COT,TITULO_XII,De las implicancias,2
"¿Qué efecto tiene la recusación sobre el juez?","El juez PUEDE inhabilitarse voluntariamente. Si no lo hace, la parte afectada puede recusarlo ante el tribunal. Si la parte no lo hace, se entiende renunciada la causal. No genera prevaricación.",DERECHO_ORGANICO,COT,TITULO_XII,De las recusaciones,2
"¿Cómo se tramita la recusación?","Se promueve como incidente ante el tribunal. La parte debe invocar la causal específica del art. 196 COT y probarla. Se resuelve antes de seguir conociendo del asunto. Recurso: apelación (art. 113-128 CPC).",DERECHO_ORGANICO,COT,TITULO_XII,De las recusaciones,2
"¿Qué es la recusación amistosa?","Antes de promover formalmente la recusación, la parte puede pedir al juez que se inhabilite voluntariamente (recusación amistosa o de cortesía, art. 124 CPC). Si el juez acepta, se inhabilita sin incidente.",DERECHO_ORGANICO,COT,TITULO_XII,De las recusaciones,2
"¿Qué es la recusación sin expresión de causa contra abogados integrantes?","Derecho de cada parte de recusar a un abogado integrante SIN necesidad de invocar causal. Puede ejercerse una vez por cada parte en cada recurso (art. 198 COT). Es un mecanismo especial.",DERECHO_ORGANICO,COT,TITULO_XII,De las recusaciones,2
"¿Las implicancias y recusaciones aplican solo a los jueces?","No. También aplican a funcionarios auxiliares: secretarios, relatores, peritos, y otros funcionarios que intervienen en el proceso. Buscan garantizar imparcialidad en toda la administración de justicia.",DERECHO_ORGANICO,COT,TITULO_XII,De las implicancias y recusaciones,2
"¿Qué funciones cumple el notario según el COT?","1) Autorizar escrituras públicas, 2) Protocolizar documentos, 3) Dar fe de hechos presenciados, 4) Autorizar firmas, 5) Guardar y conservar escrituras en protocolo, 6) Otorgar copias autorizadas (art. 399-401 COT).",DERECHO_ORGANICO,COT,TITULO_XI,De los notarios,2
"¿Qué es la escritura pública?","Instrumento público otorgado ante notario e incorporado a su protocolo. Debe cumplir solemnidades legales. Hace plena fe (art. 403 COT + art. 1699 CC). Es título ejecutivo (art. 434 Nº 2 CPC).",DERECHO_ORGANICO,COT,TITULO_XI,De los notarios,1
"¿Qué es el protocolo notarial?","Registro público donde el notario inserta las escrituras públicas y los documentos protocolizados, en orden cronológico. Cada año se forma un nuevo protocolo que se cierra y envía al archivero (art. 429 COT).",DERECHO_ORGANICO,COT,TITULO_XI,De los notarios,2
