pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"La regla de radicación del art. 109 COT establece que:","Radicado el asunto ante tribunal competente, no se altera la competencia por causa sobreviniente","El tribunal puede cambiar en cualquier momento","Las partes pueden trasladar la causa libremente","La radicación depende de la cuantía",0,"Art. 109 COT: fijeza. Una vez radicada, la competencia es definitiva. Cambio de domicilio, adquisición de fuero posterior, etc., no la alteran.",DERECHO_ORGANICO,COT,TITULO_VII,De la radicación,1
"La regla del grado del art. 110 COT significa que:","Fijada la competencia de 1ª instancia, queda automáticamente determinada la de 2ª instancia (tribunal de apelación)","Las partes eligen el tribunal de apelación","El tribunal de 1ª instancia decide quién conoce la apelación","No existe segunda instancia",0,"Art. 110 COT: el tribunal de alzada se determina automáticamente por la jerarquía. Es de orden público e inmodificable.",DERECHO_ORGANICO,COT,TITULO_VII,Del grado,1
"La regla de extensión del art. 111 COT permite al tribunal conocer de:","Todas las incidencias, reconvención y compensación que se promuevan en el asunto principal","Solo la demanda principal","Solo los incidentes de nulidad","Solo las medidas precautorias",0,"Art. 111 COT: lo accesorio sigue a lo principal. El tribunal competente para el fondo conoce también de todo lo conexo.",DERECHO_ORGANICO,COT,TITULO_VII,De la extensión,1
"La regla de prevención del art. 112 COT establece que:","Si dos tribunales son competentes, el primero que comienza a conocer previene (excluye a los demás)","Ambos tribunales conocen simultáneamente","El tribunal de mayor jerarquía tiene preferencia","Las partes eligen cuál tribunal conoce",0,"Art. 112 COT: prevención = el primero excluye al segundo. Evita duplicidad de conocimiento sobre el mismo asunto.",DERECHO_ORGANICO,COT,TITULO_VII,De la prevención,1
"La ejecución de las resoluciones corresponde:","Al tribunal que las pronunció en primera o única instancia (art. 113 COT)","Al tribunal de segunda instancia siempre","A la Corte Suprema","Al tribunal que elija el ejecutante",0,"Art. 113 COT: el que dictó la sentencia ejecuta. Lógica: conoce mejor el caso. Excepciones en art. 114.",DERECHO_ORGANICO,COT,TITULO_VII,De la ejecución,1
"La declinatoria de competencia se promueve ante:","El mismo tribunal que está conociendo del asunto, pidiéndole que se declare incompetente (art. 101 CPC)","El tribunal que se cree competente","La Corte de Apelaciones directamente","La Corte Suprema",0,"Art. 101 CPC: declinatoria = ante el MISMO tribunal. Inhibitoria = ante OTRO tribunal. Son excluyentes.",DERECHO_ORGANICO,COT,TITULO_VII,De la declinatoria,1
"La inhibitoria de competencia se promueve ante:","El tribunal que se cree competente, pidiéndole que oficie al que conoce para que se inhiba (art. 102 CPC)","El mismo tribunal que está conociendo","La Corte de Apelaciones","El Ministerio Público",0,"Art. 102 CPC: se pide al tribunal que se cree competente que reclame la causa al que está conociendo.",DERECHO_ORGANICO,COT,TITULO_VII,De la inhibitoria,1
"La inhibitoria y la declinatoria son:","Vías excluyentes: la parte debe elegir una u otra, no ambas simultáneamente (art. 101 CPC)","Complementarias: pueden usarse juntas","Idénticas en su tramitación","Recursos procesales contra la sentencia",0,"Art. 101 CPC: incompatibilidad. Si se elige una vía, se cierra la otra. Evita doble impugnación.",DERECHO_ORGANICO,COT,TITULO_VII,De las cuestiones de competencia,2
"Una contienda positiva de competencia se produce cuando:","Dos tribunales se consideran COMPETENTES para conocer del mismo asunto","Dos tribunales se declaran INCOMPETENTES","Las partes discrepan sobre el procedimiento","Un tribunal quiere conocer de oficio",0,"Contienda positiva = ambos quieren conocer. Contienda negativa = ninguno quiere. Se resuelven por el superior común.",DERECHO_ORGANICO,COT,TITULO_VII,De las contiendas de competencia,2
"Las contiendas de competencia entre tribunales de distintas CA las resuelve:","La Corte Suprema (art. 191 COT)","La CA de Santiago","El tribunal más antiguo","El Senado",0,"Art. 191 COT: si dependen de la misma CA = esa CA resuelve. Si de distintas CA = la CS.",DERECHO_ORGANICO,COT,TITULO_VII,De las contiendas de competencia,2
