termino,definicion,rama,libro,titulo,materia,dificultad
"Sentencia definitiva","La que pone fin a la instancia resolviendo la cuestión o asunto objeto del juicio. Debe contener parte expositiva, considerativa y resolutiva (arts. 158, 170 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,1
"Sentencia interlocutoria","La que falla un incidente estableciendo derechos permanentes (1er grado) o resuelve un trámite que sirve de base para una sentencia definitiva o interlocutoria (2° grado). Art. 158 CPC.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,1
"Auto","Resolución que recae en un incidente sin establecer derechos permanentes a favor de las partes. Se diferencia de la interlocutoria por la ausencia de derechos permanentes (art. 158 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,2
"Decreto o providencia","Resolución que solo tiene por objeto determinar o arreglar la substanciación del proceso, sin resolver incidentes ni servir de base para otra sentencia. Ej: 'traslado', 'téngase presente' (art. 158 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,1
"Desasimiento del tribunal","Efecto de la sentencia definitiva o interlocutoria notificada: el tribunal que la dictó no puede alterarla ni modificarla. Excepciones: aclaración, rectificación y complementación (art. 182 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,1
"Cosa juzgada","Efecto de las sentencias definitivas e interlocutorias firmes que impide volver a discutir lo ya resuelto. Se manifiesta como acción (ejecutar) y excepción (impedir nuevo juicio). Arts. 175-177 CPC.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,1
"Acción de cosa juzgada","Derecho de la parte que obtuvo sentencia favorable para exigir su cumplimiento forzado. Permite ejecutar lo resuelto mediante juicio ejecutivo (art. 176 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,1
"Excepción de cosa juzgada","Defensa que impide un nuevo juicio sobre la misma materia ya resuelta. Requiere triple identidad: personas, cosa pedida y causa de pedir. Puede alegarla cualquiera de las partes (art. 177 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,1
"Triple identidad","Requisitos copulativos de la excepción de cosa juzgada: 1) identidad legal de personas, 2) identidad de cosa pedida, 3) identidad de causa de pedir (art. 177 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,2
"Causa de pedir","El fundamento inmediato del derecho deducido en juicio (art. 177 CPC). No se confunde con la cosa pedida (beneficio jurídico). Ej: dolo, error, fuerza son causas de pedir distintas para anular un contrato.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,2
"Sentencia firme o ejecutoriada","La que no puede ser modificada por recurso alguno. Tres hipótesis del art. 174 CPC según si procede recurso, si se interpuso o no, y desde cuándo se cuenta.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,2
"Sentencia que causa ejecutoria","La que puede cumplirse pese a existir recursos pendientes concedidos en el solo efecto devolutivo (sin efecto suspensivo). Se ejecuta provisionalmente.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,2
