termino,definicion,rama,libro,titulo,materia,dificultad
"Juicio ejecutivo","Procedimiento compulsivo para obtener el cumplimiento forzado de una obligación de dar, hacer o no hacer, basado en un título ejecutivo. Es juicio de ejecución, no de declaración. CPC Libro III.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,1
"Título ejecutivo","Documento al que la ley atribuye suficiencia para exigir cumplimiento forzado. Taxativos: art. 434 CPC (sentencia firme, escritura pública, instrumento privado reconocido, pagaré, cheque, etc.).",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,1
"Gestión preparatoria de la vía ejecutiva","Procedimiento previo para crear o completar un título ejecutivo imperfecto. Ej: reconocimiento de firma (art. 435), confesión de deuda, notificación de protesto, avaluación por perito.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"Mandamiento de ejecución y embargo","Resolución judicial (interlocutoria) que ordena: 1) requerir de pago al deudor, 2) embargar bienes si no paga, 3) designar depositario. Contenido: art. 443 CPC.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,1
"Requerimiento de pago","Actuación del receptor que intima al deudor a pagar la obligación en el acto. Si paga, el juicio termina. Si no paga, se procede inmediatamente al embargo (art. 443 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,1
"Embargo","Actuación judicial por la cual se individualizan y retienen bienes del deudor para asegurar el pago de la obligación. Se practica inmediatamente si el deudor no paga al ser requerido.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,1
"Excepciones del art. 464 CPC","Defensas taxativas (18) que el ejecutado puede oponer dentro de 4 días desde el requerimiento. Incluyen: incompetencia, falsedad del título, pago, prescripción, cosa juzgada, nulidad, etc.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"Sentencia de pago","La que ordena pagar al acreedor con lo embargado cuando es dinero o la especie debida. Se paga directamente sin necesidad de remate (art. 472 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"Sentencia de remate","La que ordena vender los bienes embargados en pública subasta para obtener dinero y pagar al acreedor. Procede cuando lo embargado no es dinero ni la especie debida.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"Cuaderno ejecutivo","Cuaderno principal del juicio ejecutivo donde se tramita la demanda, las excepciones y la sentencia. Funciona en paralelo con el cuaderno de apremio.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"Cuaderno de apremio","Cuaderno paralelo donde se materializa el embargo, la realización (venta) de bienes y el pago al acreedor. Funciona simultáneamente con el cuaderno ejecutivo.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
"Bienes inembargables","Bienes excluidos del embargo por el art. 445 CPC y leyes especiales: remuneraciones (parcialmente), bienes domésticos, libros profesionales, pensiones alimenticias, bienes destinados al culto.",DERECHO_PROCESAL_CIVIL,LIBRO_III,TITULO_I,Del juicio ejecutivo,2
