model,id,own_rama,own_hits,target_rama,target_hits,ratio,excerpt,civil_hits,procesal_hits,organico_hits
flashcard,cmno43uvh0097os0zx0m4q4er,DERECHO_PROCESAL_CIVIL,1,DERECHO_CIVIL,4,4.00,"¿Qué diferencia hay entre las excepciones del art. 234 CPC (cumplimiento incidental) y las del art. 464 CPC (juicio ejecutivo)? Las del art. 234 son 7 y más restringidas: pago, remisión, esperas, nova",4,1,0
mcq,cmno43v3f009aos0zhiwwabpi,DERECHO_PROCESAL_CIVIL,1,DERECHO_CIVIL,4,4.00,"Las excepciones del art. 234 CPC en el cumplimiento incidental son: 18 excepciones, igual que en el juicio ejecutivo 7 excepciones taxativas: pago, remisión, esperas, novación, compensación, transacci",4,1,0
definicion,cmno43tzo008ros0zgi1z8e9m,DERECHO_PROCESAL_CIVIL,1,DERECHO_CIVIL,4,4.00,"Excepciones del art. 234 CPC Defensas taxativas del ejecutado en el cumplimiento incidental: pago, remisión, concesión de esperas, novación, compensación, transacción, y pérdida del carácter ejecutori",4,1,0
flashcard,cmno43uaq008xos0zj93z9b8u,DERECHO_PROCESAL_CIVIL,2,DERECHO_CIVIL,4,2.00,¿Cuáles son las excepciones que puede oponer el ejecutado en el cumplimiento incidental (art. 234 CPC)? Son taxativas: (1) Pago de la deuda. (2) Remisión de la deuda. (3) Concesión de esperas o prórro,4,2,0
mcq,cmn172y8i007up50zen82gu07,DERECHO_PROCESAL_CIVIL,0,DERECHO_CIVIL,3,0.00,"En los interdictos posesorios el tribunal: Ordena la inscripción del dominio Declara quién es el dueño Resuelve sobre la prescripción adquisitiva No discute dominio, solo posesión. Protección rápida d",3,0,0
mcq,cmn17dmry007hy40zfiv7mo5p,DERECHO_ORGANICO,0,DERECHO_PROCESAL_CIVIL,3,0.00,Contra la sentencia del TOP procede: Recurso de apelación Recurso de reposición Recurso de casación en la forma Recurso de nulidad ante la CA o CS (arts. 372-387 CPP) Arts. 372-387 CPP: nulidad por ca,0,3,0
flashcard,cmn172vq6006rp50z0fkrt7jl,DERECHO_PROCESAL_CIVIL,1,DERECHO_CIVIL,2,2.00,"¿Cuándo procede el juicio sumario? 1) Cuando la acción requiere tramitación rápida por su naturaleza (art. 680 inc. 1 CPC), 2) En los casos expresamente enumerados en el art. 680 inc. 2 (depósito nece",2,1,0
flashcard,cmn172qct004fp50zmlp8dt52,DERECHO_PROCESAL_CIVIL,1,DERECHO_CIVIL,2,2.00,¿Cómo se tramitan las tercerías de prelación y pago? Como incidentes del juicio ejecutivo (art. 524 CPC): traslado 3 días + eventual prueba 8 días. Son más simples que las de dominio/posesión.,2,1,0
flashcard,cmn172wqf0075p50zckc5l4gt,DERECHO_PROCESAL_CIVIL,1,DERECHO_CIVIL,2,2.00,"¿Cómo se tramitan los interdictos posesorios? Procedimiento sumario especial: demanda → audiencia (5° día) → prueba (8 días) → sentencia. No se discute dominio, solo posesión. El tribunal puede decret",2,1,0
mcq,cmn1741lb00n5p50zc1bsl7wh,DERECHO_PROCESAL_CIVIL,1,DERECHO_CIVIL,2,2.00,El abandono del procedimiento NO procede en: Juicios sumarios Juicios de arrendamiento Juicios ordinarios de mayor cuantía Juicios de quiebra (concursal) ni en procedimientos ejecutivos de realización,2,1,1
mcq,cmn3wkiz3021z310zg0f2m7iq,DERECHO_CIVIL,1,DERECHO_ORGANICO,2,2.00,"La subrogación legal opera: Solo por acuerdo De PLENO DERECHO en 6 casos del art. 1610. Ej: codeudor que paga, fiador, tercer poseedor Solo por testamento Solo por sentencia Art. 1610: 6 casos de subr",1,0,2
mcq,cmn172yur0083p50zkzdgahqz,DERECHO_PROCESAL_CIVIL,1,DERECHO_CIVIL,2,2.00,El juicio sumario del art. 680 inc. 2 Nº 6 CPC cubre: Solo interdictos posesorios Los casos en que la ley ordene proceder sumariamente o breve y sumariamente Solo comodato precario Solo depósito neces,2,1,0
mcq,cmn172rb8004vp50zc3tgzfi6,DERECHO_PROCESAL_CIVIL,1,DERECHO_CIVIL,2,2.00,"Las cuatro tercerías del juicio ejecutivo son: Dominio, posesión, prelación y pago Solo prelación y pago Dominio, evicción, prelación y pago Solo dominio y posesión Arts. 518-529 CPC: cuatro tipos tax",2,1,0
trueFalse,cmn16ppue00udfp0z60j6b5lz,DERECHO_CIVIL,1,DERECHO_PROCESAL_CIVIL,2,2.00,El poseedor de buena fe no debe restituir los frutos percibidos antes de la contestación de la demanda reivindicatoria. Art. 907 inc. 3 CC: el poseedor de buena fe hace suyos los frutos percibidos ant,1,2,0
trueFalse,cmn172sz8005kp50z5cwzavtr,DERECHO_PROCESAL_CIVIL,3,DERECHO_CIVIL,2,0.67,"Las cuatro tercerías del juicio ejecutivo son: dominio, posesión, prelación y pago. Arts. 518-529 CPC: cuatro tipos taxativos. Dominio y posesión atacan el embargo; prelación y pago atacan el producto",2,3,0
