pregunta,respuesta,rama,libro,titulo,materia,dificultad
"¿Qué es el estado civil según el art. 304 CC?","La calidad de un individuo, en cuanto le habilita para ejercer ciertos derechos o contraer ciertas obligaciones civiles.",DERECHO_CIVIL,LIBRO_I,TITULO_XVII,De las pruebas del estado civil,1
"¿Cuáles son las fuentes del estado civil?","1) La ley (ej: mayoría de edad), 2) Hechos jurídicos (nacimiento, muerte), 3) Actos jurídicos (matrimonio), 4) Sentencias judiciales (divorcio, adopción).",DERECHO_CIVIL,LIBRO_I,TITULO_XVII,De las pruebas del estado civil,2
"¿Cuáles son las características del estado civil?","1) Toda persona lo tiene, 2) Es uno e indivisible, 3) Es permanente (no se pierde mientras no se adquiera otro), 4) Es de orden público (irrenunciable), 5) Produce efectos erga omnes, 6) No es susceptible de posesión.",DERECHO_CIVIL,LIBRO_I,TITULO_XVII,De las pruebas del estado civil,2
"¿Cuáles son los principales medios de prueba del estado civil según los arts. 305-309 CC?","1) Partidas del Registro Civil (medio principal, art. 305), 2) Otros documentos auténticos (art. 309), 3) Declaraciones de testigos presenciales (art. 309), 4) Posesión notoria del estado civil (art. 310-313).",DERECHO_CIVIL,LIBRO_I,TITULO_XVII,De las pruebas del estado civil,2
"¿Qué es la posesión notoria del estado civil de casado según el art. 310 CC?","Consiste en haberse tratado los supuestos cónyuges como marido y mujer en sus relaciones domésticas y sociales. Requiere al menos 5 años continuos y notoriedad.",DERECHO_CIVIL,LIBRO_I,TITULO_XVII,De las pruebas del estado civil,2
"¿Quiénes tienen derecho a pedir alimentos según el art. 321 CC?","1) El cónyuge, 2) Los descendientes, 3) Los ascendientes, 4) Los hermanos, 5) El donante (cuando hizo donación cuantiosa), 6) El adoptado y el adoptante (Ley 19.620).",DERECHO_CIVIL,LIBRO_I,TITULO_XVIII,De los alimentos que se deben por ley a ciertas personas,1
"¿Qué diferencia hay entre alimentos congruos y alimentos necesarios según el art. 323 CC?","Los alimentos congruos habilitan al alimentario para subsistir modestamente de un modo correspondiente a su posición social. Los alimentos necesarios dan lo estrictamente indispensable para la subsistencia.",DERECHO_CIVIL,LIBRO_I,TITULO_XVIII,De los alimentos que se deben por ley a ciertas personas,1
"¿Qué tipo de alimentos se deben a los descendientes y al cónyuge?","Alimentos congruos (art. 323 inc. 1 CC). A los hermanos solo se deben alimentos necesarios (art. 326 inc. 2).",DERECHO_CIVIL,LIBRO_I,TITULO_XVIII,De los alimentos que se deben por ley a ciertas personas,2
"¿Hasta qué edad se deben alimentos a los hijos según el art. 332 CC?","Los alimentos se deben hasta que el hijo cumpla 21 años, salvo que esté estudiando una profesión u oficio, caso en que se extienden hasta los 28 años. Son indefinidos si el hijo está afectado por una incapacidad física o mental.",DERECHO_CIVIL,LIBRO_I,TITULO_XVIII,De los alimentos que se deben por ley a ciertas personas,1
"¿Cuáles son los requisitos para tener derecho a alimentos?","1) Necesidad del alimentario (no puede subsistir por sí mismo), 2) Capacidad económica del alimentante, 3) Título legal que establezca la obligación (parentesco, matrimonio, donación), 4) Fuente legal que los establezca (art. 321).",DERECHO_CIVIL,LIBRO_I,TITULO_XVIII,De los alimentos que se deben por ley a ciertas personas,2
"¿Cuál es el orden de precedencia de los obligados a dar alimentos según el art. 326 CC?","1) El donante (por donación cuantiosa), 2) El cónyuge, 3) Los descendientes (más próximo primero), 4) Los ascendientes (más próximo primero), 5) Los hermanos.",DERECHO_CIVIL,LIBRO_I,TITULO_XVIII,De los alimentos que se deben por ley a ciertas personas,2
"¿Pueden renunciarse los alimentos futuros según el art. 334 CC?","No. El derecho de pedir alimentos no puede transmitirse por causa de muerte, ni venderse o cederse de modo alguno, ni renunciarse. Son irrenunciables, intransferibles e intransmisibles.",DERECHO_CIVIL,LIBRO_I,TITULO_XVIII,De los alimentos que se deben por ley a ciertas personas,1
"¿Qué ocurre con las pensiones alimenticias atrasadas según el art. 336 CC?","Las pensiones alimenticias atrasadas pueden renunciarse y transmitirse. La irrenunciabilidad solo se refiere al derecho de alimentos futuro, no a las cuotas ya devengadas.",DERECHO_CIVIL,LIBRO_I,TITULO_XVIII,De los alimentos que se deben por ley a ciertas personas,3
"¿Pueden modificarse los alimentos fijados por sentencia?","Sí. La sentencia que fija alimentos no produce cosa juzgada material en cuanto al monto: puede modificarse si cambian las circunstancias del alimentante o del alimentario (variación de necesidades o facultades).",DERECHO_CIVIL,LIBRO_I,TITULO_XVIII,De los alimentos que se deben por ley a ciertas personas,2
"¿Qué son las guardas según el art. 338 CC?","Cargos impuestos a ciertas personas a favor de aquellos que no pueden dirigirse a sí mismos o administrar competentemente sus negocios, y que no se hallan bajo potestad de padre o madre que pueda darles protección.",DERECHO_CIVIL,LIBRO_I,TITULO_XIX,De las tutelas y curadurías en general,1
"¿Cuántos tipos de guardas reconoce el CC?","Dos: 1) Tutelas: para los impúberes (menores de 14 el varón, menores de 12 la mujer), 2) Curadurías (curatelas): para menores adultos, disipadores y dementes.",DERECHO_CIVIL,LIBRO_I,TITULO_XIX,De las tutelas y curadurías en general,1
"¿Qué diferencia hay entre tutela y curaduría?","La tutela se da a los impúberes. La curaduría se da a los menores adultos que carecen de padre o madre que ejerza patria potestad, a los que por prodigalidad han sido puestos en interdicción, y a los dementes y sordomudos que no pueden darse a entender.",DERECHO_CIVIL,LIBRO_I,TITULO_XIX,De las tutelas y curadurías en general,2
"¿Cuáles son las clases de curadurías según el art. 343 CC?","1) Curadurías generales: comprenden la persona y bienes del pupilo (dementes, sordomudos, menores adultos), 2) Curadurías de bienes: solo bienes (herencia yacente, ausentes), 3) Curadurías adjuntas: complementan la patria potestad, 4) Curadurías especiales: para un negocio particular.",DERECHO_CIVIL,LIBRO_I,TITULO_XIX,De las tutelas y curadurías en general,2
"¿Cómo se clasifican las guardas según su origen?","1) Testamentarias: designadas por testamento del padre o madre (art. 354), 2) Legítimas: designadas por la ley a falta de testamentaria (art. 367), 3) Dativas: designadas por el juez a falta de las anteriores (art. 370).",DERECHO_CIVIL,LIBRO_I,TITULO_XIX,De las tutelas y curadurías en general,2
"¿Quiénes son incapaces de ejercer guardas según el art. 497 CC?","Entre otros: 1) Los ciegos y sordos, 2) Los mudos, 3) Los dementes, 4) Los fallidos, 5) Los condenados a pena aflictiva, 6) Los que carecen de domicilio en la República, 7) Los que no saben leer ni escribir.",DERECHO_CIVIL,LIBRO_I,TITULO_XIX,De las tutelas y curadurías en general,2
"¿Qué obligaciones tiene el guardador respecto de los bienes del pupilo?","1) Confeccionar inventario solemne de los bienes del pupilo (art. 374), 2) Rendir caución para asegurar su administración (art. 374), 3) Administrar los bienes con la diligencia de un buen padre de familia, 4) Rendir cuentas de su administración al término de la guarda.",DERECHO_CIVIL,LIBRO_I,TITULO_XIX,De las tutelas y curadurías en general,2
"¿Qué es la interdicción por demencia?","El decreto judicial que declara a una persona demente e incapaz de administrar sus bienes, sometiéndola a curaduría. Se publica en el Diario Oficial y debe inscribirse para ser oponible a terceros.",DERECHO_CIVIL,LIBRO_I,TITULO_XXV,De la curaduría del demente,2
