termino,definicion,rama,libro,titulo,materia,dificultad
"Radicación","Regla del art. 109 COT: radicado el asunto ante tribunal competente, la competencia no se altera por causa sobreviniente. Fijeza de la competencia. Excepciones: acumulación de autos, compromiso.",DERECHO_ORGANICO,COT,TITULO_VII,De la radicación,1
"Grado","Regla del art. 110 COT: fijada la competencia de 1ª instancia, queda automáticamente determinada la de 2ª instancia. De orden público: las partes no eligen el tribunal de alzada.",DERECHO_ORGANICO,COT,TITULO_VII,Del grado,1
"Extensión","Regla del art. 111 COT: el tribunal competente para el asunto principal conoce también de todos sus incidentes, reconvención y compensación. Lo accesorio sigue a lo principal.",DERECHO_ORGANICO,COT,TITULO_VII,De la extensión,1
"Prevención","Regla del art. 112 COT: si dos o más tribunales son competentes (competencia acumulativa), el primero que comienza a conocer previene y excluye a los demás.",DERECHO_ORGANICO,COT,TITULO_VII,De la prevención,1
"Ejecución","Regla del art. 113 COT: las resoluciones se ejecutan por el tribunal que las pronunció en primera o única instancia. Excepciones en art. 114 (materia penal).",DERECHO_ORGANICO,COT,TITULO_VII,De la ejecución,1
"Declinatoria","Incidente ante el MISMO tribunal que conoce, pidiéndole que se declare incompetente. Se tramita como excepción dilatoria (art. 101 CPC). Excluyente con la inhibitoria.",DERECHO_ORGANICO,COT,TITULO_VII,De la declinatoria,1
"Inhibitoria","Incidente ante el tribunal que se CREE COMPETENTE, pidiéndole que oficie al que conoce para que se inhiba y remita la causa (art. 102 CPC). Excluyente con la declinatoria.",DERECHO_ORGANICO,COT,TITULO_VII,De la inhibitoria,1
"Contienda positiva","Conflicto en que dos tribunales se consideran COMPETENTES para el mismo asunto. Se resuelve por el superior jerárquico común (arts. 190-193 COT).",DERECHO_ORGANICO,COT,TITULO_VII,De las contiendas de competencia,2
"Contienda negativa","Conflicto en que dos tribunales se declaran INCOMPETENTES para el mismo asunto. Se resuelve por el superior común. Nadie puede excusarse (inexcusabilidad).",DERECHO_ORGANICO,COT,TITULO_VII,De las contiendas de competencia,2
"Competencia acumulativa","Situación en que dos o más tribunales son igualmente competentes para conocer del mismo asunto. Se resuelve por la regla de prevención (art. 112 COT): el primero excluye.",DERECHO_ORGANICO,COT,TITULO_VII,De la prevención,2
"Cuestión de competencia","Incidente promovido por una parte para impugnar la competencia del tribunal. Dos vías excluyentes: declinatoria (al mismo) o inhibitoria (al otro). Art. 101 CPC.",DERECHO_ORGANICO,COT,TITULO_VII,De las cuestiones de competencia,1
"Acumulación de autos","Excepción a la radicación: reunión de varios juicios conexos ante un solo tribunal para evitar sentencias contradictorias (art. 92 CPC). Lo accesorio se acumula al principal.",DERECHO_ORGANICO,COT,TITULO_VII,De la radicación,2
