model,id,own_rama,target_rama,aplica,confidence,razon
flashcard,cmnnwzjc705i2540zrlhbeqr0,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,El ejercicio aborda instituciones del COT que son esenciales para el CPC.
definicion,cmnnwzitk05hs540zlnnaqr1t,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,false,high,"El análisis previo a la demanda es específico del CPC, no del COT."
flashcard,cmnnwxtuf04l2540z19i6yhe6,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,false,high,El ejercicio se centra en el CPC y no aborda aspectos del COT.
flashcard,cmnnww6do03pc540zelskch9r,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,false,high,El ejercicio se centra en el CPC y no aborda temas del COT de manera sustancial.
flashcard,cmnnwxl7t04gl540znrhfjkv4,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,false,high,"El ejercicio se centra en el proceso civil, sin abordar aspectos orgánicos."
flashcard,cmnnwxxz204nb540zll2ka49s,DERECHO_ORGANICO,DERECHO_CIVIL,false,high,La competencia de tribunales de familia es específica y no se relaciona sustancialmente con el CC.
flashcard,cmnnwzjfx05i4540z81bx6z8q,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,El ejercicio menciona reglas del COT que son relevantes en el proceso civil.
flashcard,cmno43uvh0097os0zx0m4q4er,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,false,high,"El ejercicio se centra en excepciones procesales, sin relación sustancial con el CC."
flashcard,cmn3wjx1p01q9310z2frlxk9j,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,Las excepciones mencionadas también son relevantes en el ámbito del Derecho Civil.
mcq,cmno43v3f009aos0zhiwwabpi,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,false,high,"El ejercicio se centra en excepciones procesales, sin relación sustancial con el CC."
mcq,cmnnwylpp0502540zhknebv42,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,"El ejercicio trata sobre diligencias del juicio ejecutivo, relevante en ambas ramas."
definicion,cmno43tzo008ros0zgi1z8e9m,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,false,high,Las excepciones son específicas del CPC y no tienen sustancia en el CC.
flashcard,cmno43uaq008xos0zj93z9b8u,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,false,high,Las excepciones son específicas del CPC y no se aplican directamente al CC.
flashcard,cmnnwyr42052w540z9iw2ahkd,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,La compraventa de inmuebles es un tema del CC y su proceso en el CPC es relevante.
flashcard,cmn3who2a00je310zg8iea9l4,DERECHO_CIVIL,DERECHO_PROCESAL_CIVIL,true,high,"El ejercicio trata sobre nulidad procesal, que es un tema del CPC."
flashcard,cmnnwxu7d04l9540zolloq16g,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,La inhabilitación y recusación se regulan en el COT y son relevantes en el CPC.
flashcard,cmnnwuri102y6540z6bevrp85,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,"Las excepciones mencionadas son relevantes en ambas ramas, afectan obligaciones en CC y CPC."
flashcard,cmnnwvugv03j3540zyij6sn72,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,La posesión efectiva y sus inscripciones son temas del CC y CPC.
flashcard,cmnnwykvd04zm540zkt2hrr48,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,"Los receptores son esenciales para las notificaciones en el CPC, conectando ambas ramas."
flashcard,cmnnwyp4b051t540zm628a6x7,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,La compraventa de inmuebles es un tema relevante en ambas ramas.
flashcard,cmnnwtgci029s540zzq01dt42,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,false,high,"El ejercicio se centra en la contienda de competencia, propio del CPC."
mcq,cmnnwus7n02yk540zn7qflqcs,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,Las excepciones limitadas son conceptos del Derecho Civil aplicables en el proceso civil.
mcq,cmn3wjxx701qq310zej6fxo01,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,"La acción reivindicatoria es un tema del CC y CPC, ya que trata sobre derechos reales."
mcq,cmnnwtgwq02a3540z01u8hw34,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,false,high,"El ejercicio se centra en la contienda de competencia, propio del CPC."
mcq,cmnnwylm20500540zvru9fwek,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,La tradición y la inscripción son conceptos clave en ambos códigos.
definicion,cmnnwtfhg029b540znhexuoqk,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,false,high,"La contienda de competencia es un tema específico del CPC, sin sustancia en COT."
flashcard,cmnnwsqxl01w4540zpsf6xy1z,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,"Los niveles de capacidad son relevantes en ambos códigos, civil y procesal."
flashcard,cmnnwzfjw05g2540z8tavbr5f,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,El ejercicio aborda la conexión entre CPC y COT sobre competencia y admisibilidad.
flashcard,cmnnwvpj203gd540z573hh1ns,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,Los actos judiciales no contenciosos también se relacionan con el CC en temas de jurisdicción voluntaria.
flashcard,cmnnwwt0z041g540z635lccar,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,El ejercicio menciona temas civiles que son relevantes en ambas ramas.
flashcard,cmnnwwxav043r540zt8dkea9i,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,La nulidad por incompetencia afecta tanto al COT como al CPC en juicios.
flashcard,cmnnwvuim03j4540z0ceqsbtz,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,La muerte presunta y posesión efectiva son temas del Derecho Civil y Procesal.
flashcard,cmnnwwqla0404540zb2dwppnq,DERECHO_ORGANICO,DERECHO_CIVIL,false,high,El ejercicio se centra en procedimientos del COT sin relación sustancial al CC.
flashcard,cmnnwwcyv03sw540zauega4b1,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,false,high,El ejercicio se centra en excepciones del CPC sin relación sustancial al COT.
mcq,cmn17e1uh00djy40z3xbat086,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,La declinatoria es un concepto que pertenece tanto al COT como al CPC.
mcq,cmno43h5k001vos0zcoof9v4d,DERECHO_ORGANICO,DERECHO_PROCESAL_CIVIL,true,high,"El patrocinio y poder son conceptos relevantes en ambos ámbitos, COT y CPC."
