front,back,unidad,materia,submateria,tipo,nivel
¿Cuál es la etimología de la palabra ley?,"Deriva del latín lex, proveniente de legere (elegir o leer).",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,BASICO
Definición de ley del Art. 1 CC,"Declaración de voluntad soberana que, manifestada en forma prescrita por la CPR, manda, prohíbe o permite.",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,BASICO
Crítica de Planiol a la definición legal de ley,Cuestiona que no define la ley por su esencia de regla social obligatoria sino por su origen formal.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,INTERMEDIO
Diferencia entre ley en sentido material y formal,Material: norma general; Formal: acto emanado del legislador siguiendo el proceso constitucional.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,INTERMEDIO
Concepto de voluntad soberana,Refiere al poder del Estado que reside en la nación y se ejerce a través de sus representantes.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,AVANZADO
¿Cuál es la etimología de la palabra ley? (Profundización 1),"Deriva del latín lex, proveniente de legere (elegir o leer).",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,BASICO
Definición de ley del Art. 1 CC (Profundización 1),"Declaración de voluntad soberana que, manifestada en forma prescrita por la CPR, manda, prohíbe o permite.",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,BASICO
Crítica de Planiol a la definición legal de ley (Profundización 1),Cuestiona que no define la ley por su esencia de regla social obligatoria sino por su origen formal.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,INTERMEDIO
Diferencia entre ley en sentido material y formal (Profundización 1),Material: norma general; Formal: acto emanado del legislador siguiendo el proceso constitucional.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,INTERMEDIO
Concepto de voluntad soberana (Profundización 1),Refiere al poder del Estado que reside en la nación y se ejerce a través de sus representantes.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,AVANZADO
¿Cuál es la etimología de la palabra ley? (Profundización 2),"Deriva del latín lex, proveniente de legere (elegir o leer).",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,BASICO
Definición de ley del Art. 1 CC (Profundización 2),"Declaración de voluntad soberana que, manifestada en forma prescrita por la CPR, manda, prohíbe o permite.",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,BASICO
Crítica de Planiol a la definición legal de ley (Profundización 2),Cuestiona que no define la ley por su esencia de regla social obligatoria sino por su origen formal.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,INTERMEDIO
Diferencia entre ley en sentido material y formal (Profundización 2),Material: norma general; Formal: acto emanado del legislador siguiendo el proceso constitucional.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,INTERMEDIO
Concepto de voluntad soberana (Profundización 2),Refiere al poder del Estado que reside en la nación y se ejerce a través de sus representantes.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,AVANZADO
¿Cuál es la etimología de la palabra ley? (Profundización 3),"Deriva del latín lex, proveniente de legere (elegir o leer).",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,BASICO
Definición de ley del Art. 1 CC (Profundización 3),"Declaración de voluntad soberana que, manifestada en forma prescrita por la CPR, manda, prohíbe o permite.",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,BASICO
Crítica de Planiol a la definición legal de ley (Profundización 3),Cuestiona que no define la ley por su esencia de regla social obligatoria sino por su origen formal.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,INTERMEDIO
Diferencia entre ley en sentido material y formal (Profundización 3),Material: norma general; Formal: acto emanado del legislador siguiendo el proceso constitucional.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,INTERMEDIO
Concepto de voluntad soberana (Profundización 3),Refiere al poder del Estado que reside en la nación y se ejerce a través de sus representantes.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,AVANZADO
¿Cuál es la etimología de la palabra ley? (Profundización 4),"Deriva del latín lex, proveniente de legere (elegir o leer).",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,BASICO
Definición de ley del Art. 1 CC (Profundización 4),"Declaración de voluntad soberana que, manifestada en forma prescrita por la CPR, manda, prohíbe o permite.",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,BASICO
Crítica de Planiol a la definición legal de ley (Profundización 4),Cuestiona que no define la ley por su esencia de regla social obligatoria sino por su origen formal.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,INTERMEDIO
Diferencia entre ley en sentido material y formal (Profundización 4),Material: norma general; Formal: acto emanado del legislador siguiendo el proceso constitucional.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,INTERMEDIO
Concepto de voluntad soberana (Profundización 4),Refiere al poder del Estado que reside en la nación y se ejerce a través de sus representantes.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,AVANZADO
¿Cuál es la etimología de la palabra ley? (Profundización 5),"Deriva del latín lex, proveniente de legere (elegir o leer).",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,ORIGEN_DEFINICION_LEY,CIVIL,BASICO
