model,id,own_rama,target_rama,aplica,confidence,razon
definicion,cmnnwzitk05hs540zlnnaqr1t,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"Jurisdicción, competencia absoluta/relativa, implicancia y recusación son instituciones sustanciales del COT. El análisis previo a demanda es aplicación práctica de normas orgánicas."
flashcard,cmnnwxtuf04l2540z19i6yhe6,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,Integración es institución de COT (arts. 196-198). Define estructura y funcionamiento de tribunales colegiados. CPC solo aplica procedimentalmente estos principios.
flashcard,cmnnww6do03pc540zelskch9r,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"Territorialidad, exhortos, competencia nacional y prórroga son institutos fundamentales del COT. El ejercicio trata estructura orgánica y competencia territorial de tribunales, materia sustancial del "
flashcard,cmnnwxl7t04gl540znrhfjkv4,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"El ejercicio estructura la organización judicial chilena (tribunales ordinarios, especiales, arbitrales, auxiliares, implicancias, recusaciones). Estos temas son sustancia del COT, no solo del CPC."
flashcard,cmnnwxxz204nb540zll2ka49s,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"Los temas sustantivos (alimentos, filiación, patria potestad, separación, divorcio, bienes familiares) son regulados por CC. COT solo define competencia; CC define derechos y obligaciones."
flashcard,cmnnwtgci029s540zzq01dt42,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"Contienda de competencia es institución procesal regulada sustancialmente en COT (arts. 187-192), que establece competencia de Cortes para resolver conflictos entre tribunales. CPC solo remite a COT."
mcq,cmnnwtgwq02a3540z01u8hw34,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"Contienda de competencia es institución sustancial del COT (arts. 191-192). El ejercicio trata competencia jurisdiccional y su resolución, temas centrales de COT, no solo procedimiento."
definicion,cmnnwtfhg029b540znhexuoqk,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"Contienda de competencia es institución procesal regulada sustancialmente en COT (arts. 187-192), que establece procedimiento, tribunales competentes y resolución. CPC solo remite a COT."
flashcard,cmnnwwqla0404540zb2dwppnq,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,La determinación de cuantía en asuntos sin valor pecuniario es sustancial en ambas ramas: COT regula competencia y procedimiento; CC define qué materias son insusceptibles de apreciación (estado civil
flashcard,cmnnwwcyv03sw540zauega4b1,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"Las bases de la administración de justicia (territorialidad, pasividad, publicidad, etc.) son principios fundamentales del COT. El ejercicio trata sustancialmente ambas ramas."
mcq,cmnnwwr5f040f540zf88n5gja,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"Asuntos no susceptibles de apreciación pecuniaria (estado civil, filiación, validez testamento) son materias sustanciales del CC. La clasificación de cuantía afecta procedimiento en CPC pero los derec"
trueFalse,cmnnwwrnp040p540z97ssj1pv,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"Estado civil, filiación y validez de testamento son instituciones sustanciales del CC. Su clasificación como mayor cuantía en COT depende de su naturaleza civil, no solo procesal."
trueFalse,cmnnwwkyz03x3540z31c84rds,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"El estado civil es materia de orden público e indisponibilidad regulada en CC arts. 1, 8, 12. La prohibición de transigir sobre estado civil es sustancia compartida entre COT y CC."
definicion,cmnnwx50m047y540zlqdyt8zu,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"Competencia relativa en no contenciosos regula procedimientos civiles (muerte presunta, cambio nombre, inventario, sucesión) que son institutos sustantivos del CC. COT y CC se complementan."
flashcard,cmnnwwsq2041a540z2u3aagdb,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"La determinación de competencia por naturaleza de la pretensión es regla fundamental en CC (arts. 1-3, 104-112) y COT. Ambas ramas sustancialmente tratan cómo clasificar pretensiones civiles."
