pregunta,respuesta,rama,libro,titulo,materia,dificultad
"¿Cuáles son las reglas generales de competencia del COT?","Cinco reglas: 1) Radicación o fijeza (art. 109), 2) Grado o jerarquía (art. 110), 3) Extensión (art. 111), 4) Prevención o inexcusabilidad (art. 112), 5) Ejecución (art. 113-114). Se aplican una vez determinada la competencia absoluta y relativa.",DERECHO_ORGANICO,COT,TITULO_VII,De las reglas de competencia,1
"¿Qué es la regla de radicación o fijeza según el art. 109 COT?","Radicado con arreglo a la ley el conocimiento de un negocio ante tribunal competente, no se alterará esta competencia por causa sobreviniente. Una vez que el tribunal comienza a conocer válidamente, conserva la competencia.",DERECHO_ORGANICO,COT,TITULO_VII,De la radicación,1
"¿Qué significa que la competencia no se altera por causa sobreviniente?","Que hechos posteriores al inicio del juicio no cambian el tribunal. Ej: si el demandado cambia de domicilio durante el juicio, no se traslada la causa. Si una parte adquiere fuero después, no eleva la competencia.",DERECHO_ORGANICO,COT,TITULO_VII,De la radicación,2
"¿Qué es la regla del grado o jerarquía según el art. 110 COT?","Una vez fijada la competencia de un tribunal de primera instancia, queda automáticamente determinada la del tribunal de segunda instancia que conocerá por vía de apelación. No se puede elegir el tribunal de alzada.",DERECHO_ORGANICO,COT,TITULO_VII,Del grado,1
"¿Qué significa que la regla del grado es de orden público?","Que las partes no pueden alterar el tribunal de segunda instancia. Si el Juzgado de Letras de Valparaíso conoce en primera instancia, la apelación va necesariamente a la CA de Valparaíso. Es automático e inmodificable.",DERECHO_ORGANICO,COT,TITULO_VII,Del grado,2
"¿Qué es la regla de extensión según el art. 111 COT?","El tribunal competente para conocer de un asunto lo es también para conocer de todas las incidencias que en él se promuevan, incluyendo la reconvención y la compensación (cuestiones accesorias al asunto principal).",DERECHO_ORGANICO,COT,TITULO_VII,De la extensión,1
"¿Qué abarca la extensión de la competencia?","1) Incidentes (cuestiones accesorias), 2) Reconvención (contrademanda), 3) Compensación (excepción perentoria), 4) Medidas precautorias, 5) Ejecución de la sentencia. Lo accesorio sigue la suerte de lo principal.",DERECHO_ORGANICO,COT,TITULO_VII,De la extensión,2
"¿Qué es la regla de prevención o inexcusabilidad según el art. 112 COT?","Cuando según las reglas de competencia dos o más tribunales son competentes para conocer de un mismo asunto, ninguno de ellos puede excusarse. El que primero haya comenzado a conocer previene en el conocimiento (excluye a los demás).",DERECHO_ORGANICO,COT,TITULO_VII,De la prevención,1
"¿Qué significa prevenir en el conocimiento?","Que el primer tribunal que comienza a conocer válidamente del asunto adquiere competencia exclusiva: los demás tribunales igualmente competentes quedan excluidos. Evita que dos tribunales conozcan lo mismo.",DERECHO_ORGANICO,COT,TITULO_VII,De la prevención,2
"¿Qué es la regla de ejecución según los arts. 113-114 COT?","La ejecución de las resoluciones corresponde a los tribunales que las hubieren pronunciado en primera o única instancia. El mismo tribunal que dictó la sentencia ejecuta lo juzgado.",DERECHO_ORGANICO,COT,TITULO_VII,De la ejecución,1
