model,id,rule,old_rama,old_libro,old_titulo,new_rama,new_titulo,esIntegrador,note
flashcard,cmn3wgpn5001f310znaiqjzox,R8,DERECHO_CIVIL,LEY_17336,TITULO_I,DERECHO_CIVIL,TITULO_I,false,sin match — revisar manualmente
flashcard,cmn3wh8a900bc310zd5u1kqsi,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wgppb001g310z51t3hgu9,R8,DERECHO_CIVIL,LEY_17336,TITULO_I,DERECHO_CIVIL,TITULO_I,false,sin match — revisar manualmente
flashcard,cmn3wgpr4001h310z5bidxbrv,R8,DERECHO_CIVIL,LEY_17336,TITULO_I,DERECHO_CIVIL,TITULO_I,false,sin match — revisar manualmente
flashcard,cmn3wgpt1001i310zqrmc0c8t,R8,DERECHO_CIVIL,LEY_17336,TITULO_I,DERECHO_CIVIL,TITULO_I,false,sin match — revisar manualmente
flashcard,cmn3wgpuu001j310zosx0oaaw,R8,DERECHO_CIVIL,LEY_17336,TITULO_II,DERECHO_CIVIL,TITULO_II,false,sin match — revisar manualmente
flashcard,cmn3wjmxc01kv310zf6z2s1jy,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_III,DERECHO_PROCESAL_CIVIL,LIBRO_III,false,sin match — revisar manualmente
flashcard,cmn3wjn0501kw310zjaiy5o18,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_III,DERECHO_PROCESAL_CIVIL,LIBRO_III,false,sin match — revisar manualmente
flashcard,cmn3wgpwp001k310zppdhcywj,R8,DERECHO_CIVIL,LEY_17336,TITULO_III,DERECHO_CIVIL,TITULO_III,false,sin match — revisar manualmente
flashcard,cmn3wgpyh001l310zsm6m20nr,R8,DERECHO_CIVIL,LEY_17336,TITULO_III,DERECHO_CIVIL,TITULO_III,false,sin match — revisar manualmente
flashcard,cmn3wgq0b001m310z9wxf33gl,R8,DERECHO_CIVIL,LEY_17336,TITULO_III,DERECHO_CIVIL,TITULO_III,false,sin match — revisar manualmente
flashcard,cmn3wgq23001n310zt106xv8s,R8,DERECHO_CIVIL,LEY_17336,TITULO_III,DERECHO_CIVIL,TITULO_III,false,sin match — revisar manualmente
flashcard,cmn3wgq3w001o310zmgy1iouw,R8,DERECHO_CIVIL,LEY_17336,TITULO_III,DERECHO_CIVIL,TITULO_III,false,sin match — revisar manualmente
flashcard,cmn3wjn2a01kx310zt05j5xph,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_III,DERECHO_PROCESAL_CIVIL,LIBRO_III,false,sin match — revisar manualmente
flashcard,cmn3wjr7w01n4310zc9ekj1e6,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_III,DERECHO_PROCESAL_CIVIL,LIBRO_III,false,sin match — revisar manualmente
flashcard,cmn3wgq5q001p310zq0mthr0d,R8,DERECHO_CIVIL,LEY_17336,TITULO_III,DERECHO_CIVIL,TITULO_III,false,sin match — revisar manualmente
flashcard,cmn3wgq9c001r310zb16muq34,R8,DERECHO_CIVIL,LEY_17336,TITULO_V,DERECHO_CIVIL,TITULO_V,false,sin match — revisar manualmente
flashcard,cmn3wjxeg01qg310zya4l5a21,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wjxg901qh310z6xbsr48t,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_II,DERECHO_PROCESAL_CIVIL,LIBRO_II,false,sin match — revisar manualmente
flashcard,cmn3wgqd0001t310ze0t4f0hl,R8,DERECHO_CIVIL,LEY_17336,TITULO_I,DERECHO_CIVIL,TITULO_I,false,sin match — revisar manualmente
flashcard,cmn3wgqeu001u310zk0tciwxg,R8,DERECHO_CIVIL,LEY_17336,TITULO_III,DERECHO_CIVIL,TITULO_III,false,sin match — revisar manualmente
flashcard,cmn3wjr9q01n5310zlp7pbh6m,R8,DERECHO_PROCESAL_CIVIL,CPC,LIBRO_III,DERECHO_PROCESAL_CIVIL,LIBRO_III,false,sin match — revisar manualmente
flashcard,cmn3wgqgp001v310z3tsamxl0,R8,DERECHO_CIVIL,LEY_17336,TITULO_III,DERECHO_CIVIL,TITULO_III,false,sin match — revisar manualmente
flashcard,cmn3wgqij001w310zjcf0qsuy,R8,DERECHO_CIVIL,LEY_17336,TITULO_I,DERECHO_CIVIL,TITULO_I,false,sin match — revisar manualmente
flashcard,cmn3wgqma001y310zyjqfvq3i,R8,DERECHO_CIVIL,LEY_17336,TITULO_IV,DERECHO_CIVIL,TITULO_IV,false,sin match — revisar manualmente
flashcard,cmn3wgqpz0020310zapo5zu36,R8,DERECHO_CIVIL,LEY_17336,TITULO_I,DERECHO_CIVIL,TITULO_I,false,sin match — revisar manualmente
