pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"El arrendamiento según el art. 1915 CC puede ser:","De cosas, de servicios o de confección de obra material","Solo de bienes inmuebles","Solo de servicios profesionales","Solo de cosas muebles",0,"Art. 1915 CC: tres especies. El más frecuente es el de cosas (se cede el goce a cambio de renta).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXVI,Del contrato de arrendamiento,1
"El arrendatario es respecto de la cosa arrendada:","Mero tenedor: reconoce dominio ajeno y tiene derecho personal de goce","Poseedor: tiene ánimo de señor y dueño","Dueño: adquiere dominio por el contrato","Usufructuario: tiene derecho real de goce",0,"El arrendatario es mero tenedor (art. 714 CC). Su derecho es personal (crédito contra el arrendador), no real. No puede reivindicar ni prescribir.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXVI,Del contrato de arrendamiento,1
"¿Puede el arrendatario subarrendar sin autorización?","No, salvo que el arrendador lo autorice expresamente (art. 1946 CC)","Sí, siempre que mantenga la renta original","Sí, porque es un derecho inherente al arrendamiento","Solo en arriendos superiores a 5 años",0,"Art. 1946 CC: el arrendatario no puede ceder el arriendo ni subarrendar sin consentimiento del arrendador.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXVI,Del contrato de arrendamiento,1
"El mandato según el art. 2116 CC es:","Un contrato en que una persona confía la gestión de negocios a otra, que se hace cargo por cuenta y riesgo de la primera","Un acto unilateral de apoderamiento","Un contrato real que se perfecciona por la entrega del poder","Un contrato solemne que requiere escritura pública",0,"Art. 2116 CC: es contrato consensual (se perfecciona por aceptación). La aceptación puede ser expresa o tácita (ejecutar el encargo).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIX,Del mandato,1
"El mandato general confiere al mandatario facultades de:","Administración, pero NO de disposición (art. 2132 CC)","Administración y disposición sin límite","Solo representación judicial","Solo actos de conservación",0,"Art. 2132 CC: el mandato general autoriza actos de administración. Para disponer (vender, hipotecar, donar) se requiere poder especial con mención expresa.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIX,Del mandato,2
"El mandato termina por:","Revocación del mandante, renuncia del mandatario, muerte de cualquiera, entre otras causales del art. 2163","Solo por mutuo acuerdo","Solo por muerte del mandante","Solo por cumplimiento del encargo",0,"Art. 2163 CC: múltiples causales de terminación. La revocación del mandante y la muerte son las más frecuentes. Es esencialmente revocable.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIX,Del mandato,1
"El mandante puede revocar el mandato:","A su arbitrio, en cualquier tiempo (art. 2165 CC)","Solo con justa causa y autorización judicial","Solo si el mandatario incumple sus obligaciones","Solo al vencimiento del plazo pactado",0,"Art. 2165 CC: la revocación es libre y discrecional. Es consecuencia del carácter intuitu personae (basado en confianza) del mandato.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIX,Del mandato,1
"La sociedad según el art. 2053 CC forma:","Una persona jurídica distinta de los socios individualmente considerados","Solo un patrimonio común sin personalidad jurídica","Una comunidad de bienes sin personalidad","Un contrato sin efectos patrimoniales propios",0,"Art. 2053 CC: la sociedad forma persona jurídica. Tiene patrimonio propio, puede contratar, demandar y ser demandada independientemente de los socios.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXVIII,De la sociedad,1
"Los elementos esenciales de la sociedad son:","Aporte, participación en utilidades, contribución a pérdidas y affectio societatis","Solo el aporte de capital","Aporte y participación en utilidades sin necesidad de affectio","Solo el acuerdo de voluntades",0,"Sin estos cuatro elementos no hay sociedad. La affectio societatis distingue a la sociedad de otros contratos de colaboración.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXVIII,De la sociedad,2
"En la sociedad colectiva CIVIL, los socios responden:","Ilimitadamente pero a prorrata (no solidariamente, salvo pacto)","Solidariamente por ley","Solo hasta el monto de su aporte","No responden personalmente por deudas sociales",0,"En la colectiva civil: responsabilidad ilimitada pero simplemente conjunta. En la colectiva COMERCIAL: responsabilidad ilimitada Y solidaria (art. 370 C. Com.).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXVIII,De la sociedad,3
"La sociedad civil colectiva es:","Consensual: se perfecciona por el solo consentimiento","Solemne: requiere escritura pública","Real: requiere la entrega de los aportes","Siempre solemne sin importar si es civil o comercial",0,"La sociedad CIVIL colectiva es consensual (art. 2053 CC). La COMERCIAL colectiva es solemne (escritura pública + inscripción, art. 350 C. Com.).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXVIII,De la sociedad,2
"El arrendamiento de cosas es un contrato de tracto sucesivo. Esto significa que:","Las obligaciones se cumplen periódicamente a lo largo del tiempo","Se ejecuta en un solo acto instantáneo","Solo produce efectos después de terminado","Se renueva automáticamente cada año",0,"Tracto sucesivo: las prestaciones se repiten en el tiempo (pago mensual de renta, goce continuo de la cosa). A diferencia de la compraventa que es de ejecución instantánea.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXVI,Del contrato de arrendamiento,2
"Si el mandatario actúa a nombre propio (sin representación):","Se obliga personalmente y el mandante no queda obligado frente a terceros","El mandante queda obligado directamente","El acto es nulo por falta de representación","El tercero puede elegir a quién demandar",0,"Art. 2151 CC: si el mandatario actúa a nombre propio, se obliga personalmente. El mandante no es parte frente al tercero. La relación mandante-mandatario es interna.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIX,Del mandato,2
