pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"Las fuentes de las obligaciones según el art. 1437 CC son:","Contrato, cuasicontrato, delito, cuasidelito y la ley","Solo contrato y ley","Contrato, delito y sentencia judicial","Ley, costumbre y jurisprudencia",0,"Art. 1437 CC: cinco fuentes clásicas. La doctrina moderna agrega la declaración unilateral de voluntad y el enriquecimiento sin causa.",DERECHO_CIVIL,LIBRO_IV,TITULO_I,Definiciones,1
"Un contrato unilateral según el art. 1439 CC es aquel en que:","Una sola parte se obliga para con otra que no contrae obligación alguna","Hay una sola parte involucrada","No produce efectos jurídicos","Se celebra por una sola persona",0,"Art. 1439 CC: unilateral = una parte se obliga. Bilateral = ambas partes se obligan recíprocamente. No confundir con acto jurídico unilateral.",DERECHO_CIVIL,LIBRO_IV,TITULO_I,Definiciones,1
"La compraventa es un contrato:","Bilateral, oneroso y generalmente consensual (solemne si es de inmuebles)","Unilateral y gratuito","Real y solemne siempre","Unilateral y oneroso",0,"La compraventa genera obligaciones recíprocas (bilateral), utilidad para ambos (oneroso), y se perfecciona por el consentimiento en muebles (consensual) o por escritura pública en inmuebles (solemne).",DERECHO_CIVIL,LIBRO_IV,TITULO_I,Definiciones,1
"Un contrato real se perfecciona por:","La tradición o entrega de la cosa","El solo consentimiento de las partes","La escritura pública","La inscripción en un registro público",0,"Art. 1443 CC: el contrato real requiere la entrega de la cosa para perfeccionarse. Ej: comodato, mutuo, depósito, prenda civil.",DERECHO_CIVIL,LIBRO_IV,TITULO_I,Definiciones,1
"Las obligaciones naturales del art. 1470 CC se caracterizan porque:","No dan acción para exigir su cumplimiento, pero cumplidas, autorizan a retener lo pagado","Son exactamente iguales a las civiles","Dan acción pero no excepción","Se extinguen automáticamente por el transcurso del tiempo",0,"Art. 1470 CC: obligación natural = sin acción (no puede demandarse) + con excepción (cumplida, se retiene lo pagado). Es un vínculo jurídico imperfecto.",DERECHO_CIVIL,LIBRO_IV,TITULO_III,De las obligaciones civiles y de las meramente naturales,2
"La condición resolutoria tácita del art. 1489 CC:","Va envuelta en todo contrato bilateral y permite pedir resolución o cumplimiento con indemnización","Solo opera en contratos unilaterales","Debe pactarse expresamente para existir","Opera solo en la compraventa",0,"Art. 1489 CC: en todo contrato bilateral va envuelta la condición de no cumplirse por uno de los contratantes lo pactado. No requiere pacto expreso.",DERECHO_CIVIL,LIBRO_IV,TITULO_IV,De las obligaciones condicionales,1
"La solidaridad pasiva permite al acreedor:","Demandar el total de la deuda a cualquiera de los codeudores solidarios","Demandar solo la cuota de cada codeudor","Demandar solo al codeudor más solvente previa excusión de los demás","Demandar la mitad a cada codeudor",0,"Art. 1514 CC: el acreedor puede dirigirse contra todos los deudores solidarios conjuntamente, o contra cualquiera de ellos a su arbitrio, por el total de la deuda.",DERECHO_CIVIL,LIBRO_IV,TITULO_IX,De las obligaciones solidarias,1
"La solidaridad NO se presume. Sus fuentes son:","La ley, el testamento o la convención","Solo la ley","Solo el contrato","La ley y la costumbre",0,"Art. 1511 CC: la solidaridad debe ser expresamente declarada. Puede tener origen legal, testamentario o convencional. En la duda, la obligación es simplemente conjunta.",DERECHO_CIVIL,LIBRO_IV,TITULO_IX,De las obligaciones solidarias,2
"En la obligación alternativa, la elección corresponde:","Al deudor, salvo que se haya pactado lo contrario","Siempre al acreedor","Al juez en caso de desacuerdo","A ambas partes de común acuerdo",0,"Art. 1500 CC: la elección corresponde al deudor como regla general. Si se pacta, puede corresponder al acreedor.",DERECHO_CIVIL,LIBRO_IV,TITULO_VI,De las obligaciones alternativas,2
"La diferencia entre obligación alternativa y facultativa es:","En la alternativa se deben varias cosas disyuntivamente; en la facultativa se debe una pero se puede pagar con otra","No hay diferencia relevante","La alternativa es solo para bienes muebles","La facultativa requiere autorización judicial",0,"Art. 1499 vs. 1505 CC: alternativa = varias cosas en obligación; facultativa = una cosa en obligación + opción de pagar con otra.",DERECHO_CIVIL,LIBRO_IV,TITULO_VII,De las obligaciones facultativas,2
"La cláusula penal según el art. 1535 CC cumple las funciones de:","Avaluar anticipadamente los perjuicios, caucionar la obligación y sancionar el incumplimiento","Solo avaluar perjuicios","Solo sancionar al deudor moroso","Extinguir la obligación principal",0,"Triple función: 1) avalúo anticipado de perjuicios, 2) caución (garantía), 3) pena por incumplimiento. Es accesoria a la obligación principal.",DERECHO_CIVIL,LIBRO_IV,TITULO_XI,De las obligaciones con cláusula penal,2
"La cláusula penal enorme puede reducirse según el art. 1544 CC cuando:","En contratos conmutativos, la pena excede el doble de la obligación principal","Cualquier pena que las partes consideren excesiva","Solo si el juez lo ordena de oficio","Nunca: las partes son libres de fijar la pena",0,"Art. 1544 CC: la pena enorme puede rebajarse a lo justo. En conmutativos, el doble es el tope. En el mutuo, el máximo de interés legal.",DERECHO_CIVIL,LIBRO_IV,TITULO_XI,De las obligaciones con cláusula penal,3
"Las obligaciones de especie o cuerpo cierto imponen al deudor:","La obligación de conservar la cosa hasta la entrega con el cuidado debido","Ninguna obligación especial de cuidado","La obligación de asegurar la cosa contra todo riesgo","Solo la obligación de entregarla en cualquier estado",0,"Art. 1548 CC: el deudor de especie debe emplear el cuidado debido según la naturaleza de la obligación (culpa leve como regla). Si perece por caso fortuito, se extingue la obligación.",DERECHO_CIVIL,LIBRO_IV,TITULO_I,Definiciones,2
"En las obligaciones de género, el deudor cumple:","Entregando cualquier individuo del género de calidad a lo menos mediana","Entregando el individuo de peor calidad del género","Solo entregando el individuo que el acreedor elija","Entregando dinero equivalente al valor del género",0,"Art. 1509 CC: el deudor cumple entregando cualquier individuo del género de calidad a lo menos mediana. El género no perece (genera non pereunt).",DERECHO_CIVIL,LIBRO_IV,TITULO_VIII,De las obligaciones de género,1
"La condición suspensiva fallida produce como efecto:","Que la obligación se reputa no haber existido jamás","Que la obligación se convierte en pura y simple","Que el deudor debe indemnizar al acreedor","Que el juez puede establecer una condición sustituta",0,"Si la condición suspensiva falla, el derecho condicional se extingue retroactivamente. Se reputa que la obligación nunca nació.",DERECHO_CIVIL,LIBRO_IV,TITULO_IV,De las obligaciones condicionales,2
"El plazo se diferencia de la condición en que:","El plazo es un hecho futuro y cierto; la condición es un hecho futuro e incierto","El plazo es incierto y la condición es cierta","No hay diferencia práctica","El plazo solo afecta a obligaciones de dar",0,"Arts. 1473 y 1494 CC: condición = incertidumbre (¿ocurrirá?); plazo = certidumbre (ocurrirá, solo no se sabe cuándo).",DERECHO_CIVIL,LIBRO_IV,TITULO_V,De las obligaciones a plazo,1
