pregunta,respuesta,rama,libro,titulo,materia,dificultad
"¿Qué son los actos judiciales no contenciosos?","Aquellos que según la ley requieren intervención del juez y en que NO se promueve contienda alguna entre partes (art. 817 CPC). También llamados jurisdicción voluntaria o graciosa.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,1
"¿Cuál es la diferencia esencial entre jurisdicción contenciosa y voluntaria?","Contenciosa: existe un conflicto entre partes; el juez resuelve. Voluntaria: no hay conflicto; el juez interviene para dar certeza jurídica, autorizar actos o proteger intereses de incapaces.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,1
"¿Qué rol cumple el juez en los actos no contenciosos?","No resuelve conflictos sino que: 1) Da certeza jurídica (ej: posesión efectiva), 2) Autoriza actos que requieren intervención judicial (ej: venta de bienes del pupilo), 3) Protege intereses de incapaces o ausentes.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,1
"¿Pueden los actos no contenciosos transformarse en contenciosos?","Sí. Si se formula oposición por legítimo contradictor, el asunto se torna contencioso y se tramita conforme al procedimiento que corresponda (art. 823 CPC). El juez sigue conociendo.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"¿Qué estándar de prueba aplica en los actos no contenciosos?","El tribunal aprecia prudencialmente la prueba, sin sujeción a las reglas de la prueba legal tasada (art. 819 CPC). Mayor libertad que en los juicios contenciosos.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"¿Son apelables las resoluciones en actos no contenciosos?","Las resoluciones afirmativas (que acogen la solicitud) son apelables. Las negativas (que rechazan) son modificables de oficio por el tribunal (art. 821 CPC). Distinción clave.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"¿Puede el tribunal modificar de oficio las resoluciones negativas en actos no contenciosos?","Sí. Art. 821 CPC: las resoluciones negativas pueden revocarse o modificarse por el tribunal sin necesidad de recurso. Las afirmativas una vez firmes no se modifican salvo por recurso.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"¿Qué es la posesión efectiva?","Resolución judicial o administrativa que reconoce la calidad de heredero de una persona fallecida, permitiendo disponer de los bienes de la herencia. Si es testada: tribunal. Si es intestada: Registro Civil (desde Ley 19.903).",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_IV,De la posesión efectiva,1
"¿Quién otorga la posesión efectiva intestada actualmente?","El Servicio de Registro Civil e Identificación (Ley 19.903, desde 2003). Ya no es acto judicial no contencioso para herencias intestadas. Solo las testamentarias se tramitan ante el tribunal.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_IV,De la posesión efectiva,2
"¿Qué es el inventario solemne?","Diligencia que consiste en la enumeración y descripción detallada de los bienes de una persona, practicada con las solemnidades legales ante un ministro de fe (art. 858 CPC). Se usa en sucesiones, tutelas, etc.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_VII,Del inventario solemne,1
"¿Qué diferencia hay entre inventario solemne e inventario simple?","Solemne (art. 858 CPC): ante ministro de fe con las solemnidades legales, tiene valor probatorio pleno. Simple: lista privada de bienes sin formalidades, no tiene valor de instrumento público.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_VII,Del inventario solemne,2
"¿Qué es la tasación?","Acto no contencioso que determina el valor de los bienes, generalmente para efectos de partición, venta de bienes de incapaces o liquidación de sociedades conyugales. La hace un perito tasador (art. 895 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_VIII,De la tasación,2
"¿Qué es la declaración de herencia yacente?","Acto no contencioso por el cual el tribunal declara yacente la herencia cuando, transcurridos 15 días desde la apertura de la sucesión, no se ha aceptado ni existe albacea. Se designa curador de herencia yacente (art. 885 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_V,De la herencia yacente,2
"¿Qué es la habilitación para comparecer en juicio?","Acto no contencioso por el cual se autoriza a una persona para actuar en juicio cuando carece de representante legal o este está ausente, impedido o tiene conflicto de interés (art. 838 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_II,De la habilitación,2
"¿Qué es la autorización judicial para enajenar bienes del pupilo?","Acto no contencioso por el cual el juez autoriza al tutor o curador a vender, hipotecar o gravar bienes raíces del incapaz. Protege el patrimonio del pupilo (art. 393 CC en relación con CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"¿Qué es la información para perpetua memoria?","Acto no contencioso que permite obtener declaraciones de testigos sobre hechos que podrían perderse si no se fijan judicialmente. Busca conservar prueba para el futuro (art. 909 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_XIII,De la información para perpetua memoria,2
"¿Qué es la designación de curador ad litem?","Acto no contencioso por el cual el tribunal designa un representante judicial para un incapaz cuando su representante legal tiene conflicto de interés o está ausente (art. 494 CC + CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"¿Qué es la autorización para gravar o enajenar bienes de la mujer casada en sociedad conyugal?","Antes era acto no contencioso. Con las reformas (Ley 19.335 y Ley 19.947), la mujer tiene más autonomía patrimonial. El régimen actual permite pactar separación de bienes o participación en los gananciales.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,3
"¿Qué es la rectificación de partidas del Registro Civil?","Procedimiento para corregir errores en actas de nacimiento, matrimonio o defunción. Si es error manifiesto: vía administrativa. Si requiere prueba: acto judicial no contencioso (Ley 4.808, art. 17).",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"¿Qué es el cambio de nombre según la Ley 17.344?","Procedimiento judicial que permite a cualquier persona solicitar el cambio de sus nombres o apellidos por una sola vez en la vida. Se tramita como acto no contencioso ante el juez de letras del domicilio.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"¿Se requiere publicación en el Diario Oficial para el cambio de nombre?","Sí. La Ley 17.344 exige publicación de un extracto de la solicitud en el Diario Oficial para dar publicidad y permitir oposición de terceros dentro de 30 días.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"¿Qué es la muerte presunta?","Declaración judicial que presume la muerte de una persona que ha desaparecido y de quien no se tienen noticias. Procedimiento no contencioso con plazos especiales (arts. 80-94 CC). Requiere publicaciones y citación.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"¿Cuáles son los principales actos no contenciosos del CPC Libro IV?","1) Posesión efectiva (testamentaria), 2) Inventario solemne, 3) Tasación, 4) Herencia yacente, 5) Habilitación para comparecer, 6) Información para perpetua memoria, 7) Designación de curadores, 8) Muerte presunta, entre otros.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,1
"¿Qué intervención tiene el Ministerio Público judicial (fiscal judicial) en actos no contenciosos?","Debe ser oído cuando la ley lo ordene (ej: en asuntos que afecten a incapaces o al interés público). Su dictamen no es vinculante pero el tribunal debe considerarlo (art. 820 CPC).",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
