termino,definicion,rama,libro,titulo,materia,dificultad
"Arrendamiento","Contrato en que una parte concede el goce de una cosa, ejecuta una obra o presta un servicio, y la otra paga un precio determinado (art. 1915 CC). Bilateral, oneroso, consensual y de tracto sucesivo.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXVI,Del contrato de arrendamiento,1
"Renta","Precio que el arrendatario paga al arrendador por el goce de la cosa arrendada. Es la obligación principal del arrendatario (art. 1917 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXVI,Del contrato de arrendamiento,1
"Desahucio","Aviso anticipado que una de las partes da a la otra para poner fin al arrendamiento cuando no tiene plazo fijo. Su regulación depende de si el predio es urbano (Ley 18.101) o rústico.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXVI,Del contrato de arrendamiento,2
"Reparaciones locativas","Reparaciones menores que son de cargo del arrendatario, causadas por el uso normal de la cosa (ej: descalces de paredes, roturas de vidrios, reposición de cerraduras). Art. 1940 CC.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXVI,Del contrato de arrendamiento,2
"Mandato","Contrato en que una persona (mandante) confía la gestión de negocios a otra (mandatario), que los ejecuta por cuenta y riesgo de la primera. Consensual, generalmente oneroso e intuitu personae (art. 2116 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIX,Del mandato,1
"Mandato general","El que se confiere para todos los negocios del mandante. Solo autoriza actos de administración, no de disposición (art. 2130 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIX,Del mandato,2
"Mandato especial","El que se confiere para uno o más negocios determinados. Puede incluir facultades de disposición si se señalan expresamente (art. 2130 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXIX,Del mandato,2
"Sociedad","Contrato en que dos o más personas estipulan poner algo en común con miras a repartir los beneficios que resulten. Forma persona jurídica distinta de los socios (art. 2053 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXVIII,De la sociedad,1
"Affectio societatis","Intención de los socios de colaborar activamente, en plano de igualdad, para alcanzar el fin social. Elemento esencial que distingue a la sociedad de otros contratos.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXVIII,De la sociedad,2
"Sociedad colectiva","Aquella en que todos los socios administran por sí o por un mandatario elegido de común acuerdo. Responsabilidad ilimitada (a prorrata en civil, solidaria en comercial).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXVIII,De la sociedad,2
"Sociedad leonina","La que atribuye todos los beneficios a un socio o exime a uno de las pérdidas. Prohibida por el art. 2056 CC.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXVIII,De la sociedad,2
"Socio industrial","El que aporta su trabajo personal (industria) en vez de dinero o bienes. Si no se pacta su participación, le corresponde la misma que al socio de menor aporte (art. 2069 CC).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXVIII,De la sociedad,2
