model,id,rule,titulo,new_parrafo,note
flashcard,cmn16nren001bfp0z4sigxspm,P1,TP_1,,titulo sin párrafos
flashcard,cmn16nrjv001efp0zqw9c7y85,P1,TP_1,,titulo sin párrafos
flashcard,cmn16nrln001ffp0zrecoz2o9,P1,TP_1,,titulo sin párrafos
flashcard,cmn16nrnd001gfp0zixhs5c2j,P1,TP_1,,titulo sin párrafos
flashcard,cmn16nrp3001hfp0zrgkyw1ku,P1,TP_2,,titulo sin párrafos
flashcard,cmn16nruw001ifp0z1klyreyy,P1,TP_2,,titulo sin párrafos
flashcard,cmn16nrwn001jfp0zjaq1pfzu,P1,TP_2,,titulo sin párrafos
flashcard,cmn16nrye001kfp0z0o300mzn,P1,TP_2,,titulo sin párrafos
flashcard,cmn16ns05001lfp0z185uh3wm,P1,TP_3,,titulo sin párrafos
flashcard,cmn16ns1v001mfp0zsptwf3zt,P1,TP_3,,titulo sin párrafos
flashcard,cmn16ns3l001nfp0zfenvs6ev,P1,TP_3,,titulo sin párrafos
flashcard,cmn16ns9h001ofp0z8p412got,P1,TP_3,,titulo sin párrafos
flashcard,cmn16nsb7001pfp0z15xih0lx,P1,TP_3,,titulo sin párrafos
flashcard,cmn16nscx001qfp0z0x3fft0a,P1,TP_3,,titulo sin párrafos
flashcard,cmn16nsep001rfp0zrk9zt9wx,P1,TP_3,,titulo sin párrafos
flashcard,cmn16nsi4001tfp0zpwae4fpb,P1,TP_3,,titulo sin párrafos
flashcard,cmn16nsmd001ufp0z4t4fymvc,P1,TP_3,,titulo sin párrafos
flashcard,cmn16nso5001vfp0zayaz2u03,P1,TP_4,,titulo sin párrafos
flashcard,cmn16nspw001wfp0zm6yhj2ra,P1,TP_4,,titulo sin párrafos
flashcard,cmn16nsrn001xfp0zqsnolgux,P1,TP_4,,titulo sin párrafos
flashcard,cmn16ptfu00vpfp0zkiitkhdr,P1,LIII_T1,,titulo sin párrafos
flashcard,cmnnxdw0h00oqr30zgqmxtkon,P5,LIV_T32,,0 matches — ambiguo
flashcard,cmn16ntzi002cfp0zps1it67y,P1,TP_5,,titulo sin párrafos
flashcard,cmn16nt3f0021fp0zswqz687s,P1,TP_4,,titulo sin párrafos
flashcard,cmn16nt590022fp0zj0eq203f,P1,TP_4,,titulo sin párrafos
flashcard,cmn16nt730023fp0z5znqzc1y,P1,TP_5,,titulo sin párrafos
flashcard,cmn16nt9f0024fp0z1uwyxbb7,P1,TP_5,,titulo sin párrafos
flashcard,cmn16ntb50025fp0zj8omptjo,P1,TP_5,,titulo sin párrafos
flashcard,cmn16ntfi0026fp0zhkxl8v4j,P1,TP_5,,titulo sin párrafos
flashcard,cmn16ntha0027fp0zsiku5aaw,P1,TP_5,,titulo sin párrafos
flashcard,cmn16ntj30028fp0zmwntbx82,P1,TP_5,,titulo sin párrafos
flashcard,cmn16ntlr0029fp0zsobpi2kj,P1,TP_5,,titulo sin párrafos
flashcard,cmn16ntnj002afp0z5z7d28fk,P1,TP_5,,titulo sin párrafos
flashcard,cmn16nu1b002dfp0zmv5k8o9a,P1,TP_5,,titulo sin párrafos
flashcard,cmn16nu33002efp0zjg7fdqw1,P1,TP_5,,titulo sin párrafos
flashcard,cmn16nucj002ffp0zf0x67r5p,P1,TP_5,,titulo sin párrafos
flashcard,cmn16nuea002gfp0z08wdkxi6,P1,TP_5,,titulo sin párrafos
flashcard,cmn16nug2002hfp0zgy3tdeis,P1,TP_5,,titulo sin párrafos
flashcard,cmn16nuht002ifp0zg7on8v63,P1,TP_6,,titulo sin párrafos
flashcard,cmn16nun7002jfp0zt6smudi1,P1,TP_6,,titulo sin párrafos
flashcard,cmn16nuox002kfp0z1ait1oyj,P1,TP_6,,titulo sin párrafos
flashcard,cmn16o0uw0054fp0z3e9bvkn4,P5,LI_T1,,3 matches — ambiguo
flashcard,cmn16o0wm0055fp0zirsc8lm5,P4,LI_T1,LI_T1_P4,keyword match
flashcard,cmnnxdx4300p8r30zeubxxr8p,P1,LIV_T40,,titulo sin párrafos
flashcard,cmn16o16g0058fp0zrxi5hp5k,P4,LI_T1,LI_T1_P3,dominant keyword (5 vs 2)
flashcard,cmn16o19w005afp0z39g7926i,P5,LI_T1,,2 matches — ambiguo
flashcard,cmn16o1cl005bfp0z10lzkd07,P4,LI_T1,LI_T1_P3,dominant keyword (2 vs 1)
flashcard,cmn16o1ip005dfp0zu3rt0xjm,P5,LI_T1,,2 matches — ambiguo
flashcard,cmn16o1kg005efp0zg2gwfab8,P5,LI_T1,,4 matches — ambiguo
flashcard,cmn16o1m7005ffp0z7mnl3qzt,P5,LI_T1,,2 matches — ambiguo
flashcard,cmn16o1nx005gfp0z7wkxplw7,P5,LI_T2,,2 matches — ambiguo
flashcard,cmn16o1qb005hfp0zep6lgpna,P4,LI_T2,LI_T2_P1,dominant keyword (2 vs 1)
flashcard,cmn16o1s1005ifp0zvlietp3u,P5,LI_T2,,2 matches — ambiguo
flashcard,cmn16o21m005jfp0zjowdazzt,P5,LI_T2,,2 matches — ambiguo
flashcard,cmn16o23e005kfp0zem7id65l,P5,LI_T2,,0 matches — ambiguo
flashcard,cmn16o255005lfp0zj8gwjlk3,P4,LI_T2,LI_T2_P3,keyword match
flashcard,cmn16o26x005mfp0zob5z37tc,P5,LI_T2,,0 matches — ambiguo
flashcard,cmn16o2ga005nfp0znmyik86r,P3,LI_T2,LI_T2_P2,"override: ""muerte natural"""
flashcard,cmn16o2i1005ofp0z3gwb9ox0,P5,LI_T2,,2 matches — ambiguo
flashcard,cmn16o2js005pfp0zlbrk6yf4,P5,LI_T2,,0 matches — ambiguo
flashcard,cmn16o2lh005qfp0zuhuqb5aj,P3,LI_T2,LI_T2_P3,"override: ""muerte presunta"""
flashcard,cmn16o2qf005rfp0zkkt5okth,P3,LI_T2,LI_T2_P3,"override: ""muerte presunta"""
flashcard,cmn16o2s5005sfp0zm94szea5,P3,LI_T2,LI_T2_P3,"override: ""desaparecido"""
flashcard,cmn16o3f80063fp0znn66wj8g,P3,LI_T2,LI_T2_P3,"override: ""muerte presunta"""
flashcard,cmn16o3lb0065fp0zte9s619m,P4,LI_T1,LI_T1_P4,dominant keyword (4 vs 1)
flashcard,cmn16o3n10066fp0z55khnsp3,P4,LI_T1,LI_T1_P4,keyword match
flashcard,cmn16o3or0067fp0zzlo32b8a,P5,LI_T1,,3 matches — ambiguo
flashcard,cmn16o2xe005vfp0ztcvvhmyk,P3,LI_T2,LI_T2_P3,"override: ""muerte presunta"""
flashcard,cmn16o2z4005wfp0zox7m8x4z,P3,LI_T2,LI_T2_P3,"override: ""desaparecido"""
flashcard,cmn16o30u005xfp0zniiq0qe9,P3,LI_T2,LI_T2_P3,"override: ""desaparecido"""
