termino,definicion,rama,libro,titulo,materia,dificultad
"Competencia","Facultad de cada tribunal para conocer de los negocios que la ley le asigna (art. 108 COT). Es la medida o porción de jurisdicción de cada tribunal concreto.",DERECHO_ORGANICO,COT,TITULO_VII,De la competencia,1
"Competencia absoluta","La que determina la JERARQUÍA del tribunal competente. Factores: materia, fuero, cuantía. Improrrogable. De orden público (arts. 115-133 COT).",DERECHO_ORGANICO,COT,TITULO_VII,De la competencia absoluta,1
"Competencia relativa","La que determina el TRIBUNAL ESPECÍFICO dentro de una jerarquía. Factor: territorio. Prorrogable en asuntos civiles contenciosos (arts. 134-145 COT).",DERECHO_ORGANICO,COT,TITULO_VII,De la competencia relativa,1
"Factor materia","Naturaleza jurídica del asunto: civil, penal, laboral, familia, tributario. Primer factor de competencia absoluta. Determina la clase de tribunal.",DERECHO_ORGANICO,COT,TITULO_VII,De la competencia absoluta,1
"Factor fuero","Calidad o investidura de las personas litigantes que eleva la competencia a un tribunal de mayor jerarquía. Mayor (art. 50: ministro CA) y menor. No opera en penal.",DERECHO_ORGANICO,COT,TITULO_VII,De la competencia absoluta,2
"Factor cuantía","Valor de lo disputado. Civil: monto demandado o avalúo fiscal. Penal: pena asignada al delito. Si es indeterminada en civil: se reputa de mayor cuantía (art. 131 COT).",DERECHO_ORGANICO,COT,TITULO_VII,De la competencia absoluta,2
"Factor territorio","Lugar geográfico que determina el tribunal específico. Civil: domicilio del demandado. Inmuebles: lugar del bien. Penal: lugar del hecho. Familia: domicilio del demandado (con excepciones).",DERECHO_ORGANICO,COT,TITULO_VII,De la competencia relativa,1
"Prórroga de competencia","Acto por el cual las partes otorgan competencia territorial a un tribunal que naturalmente no la tiene. Solo en civil contencioso, misma jerarquía. Puede ser expresa o tácita (arts. 181-187 COT).",DERECHO_ORGANICO,COT,TITULO_VII,De la prórroga de competencia,1
"Prórroga expresa","Acuerdo explícito de las partes en contrato o acto posterior designando el tribunal competente. Ej: cláusula 'las partes fijan domicilio en Santiago' (art. 186 COT).",DERECHO_ORGANICO,COT,TITULO_VII,De la prórroga de competencia,2
"Prórroga tácita","Se produce cuando el demandante demanda ante tribunal incompetente territorialmente y el demandado contesta sin oponer excepción de incompetencia (art. 187 COT). Silencio = aceptación.",DERECHO_ORGANICO,COT,TITULO_VII,De la prórroga de competencia,2
"Incompetencia absoluta","Vicio insaneable: el tribunal puede declararla de oficio en cualquier momento. Las partes no pueden convalidarla. Es de orden público (materia, fuero o cuantía errados).",DERECHO_ORGANICO,COT,TITULO_VII,De la competencia,2
"Incompetencia relativa","Vicio saneable: solo el demandado puede alegarla mediante excepción dilatoria (art. 303 Nº 1 CPC). Si no la alega, se prorroga tácitamente. El tribunal NO la declara de oficio.",DERECHO_ORGANICO,COT,TITULO_VII,De la competencia,2
