afirmacion,respuesta,explicacion,rama,libro,titulo,materia,dificultad
"El cuasicontrato nace de un hecho ilícito del obligado.",false,"Art. 2284 CC: el cuasicontrato nace de un hecho voluntario LÍCITO. Si es ilícito, es delito (con dolo) o cuasidelito (con culpa), no cuasicontrato.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXXIV,De los cuasicontratos,1
"La agencia oficiosa requiere mandato previo del interesado.",false,"Art. 2286 CC: la agencia oficiosa es gestión SIN mandato. Si hay mandato previo, es contrato de mandato, no cuasicontrato.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXXIV,De los cuasicontratos,1
"Quien paga lo que no debe tiene acción de repetición para recuperar lo pagado.",true,"Art. 2295 CC: el que pagó lo que no debía tiene derecho a repetir (exigir la devolución). El que recibió de mala fe restituye con intereses y frutos.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXXIV,De los cuasicontratos,1
"En responsabilidad extracontractual, la culpa se presume y el demandado debe probar diligencia.",false,"Como regla general, la culpa NO se presume en responsabilidad extracontractual: la víctima debe probarla. Excepciones: presunciones de culpa por hecho ajeno (art. 2320), de las cosas (art. 2323) y de los animales (art. 2326).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXXV,De los delitos y cuasidelitos,2
"Los menores de 7 años son incapaces de delito o cuasidelito civil.",true,"Art. 2319 CC: los infantes (menores de 7) y los dementes son incapaces. No responden personalmente; responden sus padres o guardadores (art. 2320).",DERECHO_CIVIL,LIBRO_IV,TITULO_XXXV,De los delitos y cuasidelitos,1
"Si varias personas cometen un cuasidelito civil, cada una responde solo por su cuota.",false,"Art. 2317 CC: los coautores de delito o cuasidelito civil responden SOLIDARIAMENTE de todo perjuicio. La víctima puede cobrar el total a cualquiera.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXXV,De los delitos y cuasidelitos,1
"La responsabilidad por el hecho ajeno es una responsabilidad objetiva sin culpa.",false,"Art. 2320 CC: es responsabilidad por culpa PRESUNTA (in vigilando o in eligendo). El civilmente responsable puede eximirse probando que empleó la debida diligencia. No es objetiva.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXXV,De los delitos y cuasidelitos,2
"El daño moral es indemnizable en responsabilidad extracontractual.",true,"Art. 2329 CC y jurisprudencia unánime: todo daño se indemniza, incluyendo el moral (sufrimiento, aflicción, dolor). No se limita al daño patrimonial.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXXV,De los delitos y cuasidelitos,1
"La acción por responsabilidad extracontractual prescribe en 5 años.",false,"Art. 2332 CC: prescribe en 4 AÑOS contados desde la perpetración del acto. Es un plazo especial, más breve que la prescripción ordinaria de 5 años.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXXV,De los delitos y cuasidelitos,2
"Los créditos de primera clase tienen preferencia general sobre todos los bienes del deudor.",true,"Arts. 2472-2473 CC: la 1ª clase es de preferencia general (afecta todos los bienes del deudor). La 2ª y 3ª son de preferencia especial (solo sobre el bien gravado).",DERECHO_CIVIL,LIBRO_IV,TITULO_XLI,De la prelación de créditos,2
"Si el producto de la venta del inmueble hipotecado no alcanza para pagar el crédito, el saldo es crédito valista.",true,"Art. 2477 CC: la preferencia hipotecaria es especial (solo sobre el inmueble). El déficit pasa a ser crédito de 5ª clase y compite con los demás valistas.",DERECHO_CIVIL,LIBRO_IV,TITULO_XLI,De la prelación de créditos,2
"La prescripción extintiva de acciones ejecutivas es de 5 años.",false,"Art. 2515 CC: las acciones ejecutivas prescriben en 3 AÑOS. Pero subsisten como acciones ordinarias por 2 años más (total 5 años contando ambas).",DERECHO_CIVIL,LIBRO_IV,TITULO_XLII,De la prescripción,1
"Las prescripciones de corto tiempo se suspenden a favor de menores y dementes.",false,"Art. 2523 CC: las prescripciones de corto tiempo NO se suspenden. Solo se interrumpen (por pagaré o requerimiento), y la interrupción da paso a la prescripción ordinaria de 5 años.",DERECHO_CIVIL,LIBRO_IV,TITULO_XLII,De la prescripción,2
"La responsabilidad civil es independiente de la responsabilidad penal.",true,"Art. 2314 CC: la obligación de indemnizar es 'sin perjuicio de la pena'. Puede haber responsabilidad civil sin condena penal y viceversa. Son acciones independientes.",DERECHO_CIVIL,LIBRO_IV,TITULO_XXXV,De los delitos y cuasidelitos,1
