pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"Después de la Ley 19.585, la filiación se clasifica en:","Matrimonial, no matrimonial y adoptiva, con igualdad de derechos entre todos los hijos","Legítima, natural e ilegítima","Matrimonial (con más derechos) y no matrimonial (con menos derechos)","Biológica y adoptiva, sin otras distinciones",0,"La Ley 19.585 (1998) eliminó las categorías discriminatorias. Todos los hijos tienen los mismos derechos independientemente de si la filiación es matrimonial, no matrimonial o adoptiva.",DERECHO_CIVIL,LIBRO_I,TITULO_VII,De la filiación,1
"La filiación es matrimonial cuando:","Existe matrimonio entre los padres al tiempo de la concepción o del nacimiento del hijo","Los padres están casados al momento de la inscripción del nacimiento","El hijo es reconocido por ambos padres conjuntamente","Los padres conviven establemente al momento del nacimiento",0,"Art. 180 CC: filiación matrimonial si hay matrimonio al tiempo de la concepción O del nacimiento. También si los padres contraen matrimonio con posterioridad al nacimiento.",DERECHO_CIVIL,LIBRO_I,TITULO_VII,De la filiación,1
"La presunción de paternidad del marido del art. 184 CC es:","Una presunción simplemente legal que admite prueba en contrario","Una presunción de derecho que no admite prueba en contrario","Una ficción legal absoluta","Un hecho que el juez puede presumir libremente",0,"Art. 184 CC: se PRESUMEN hijos del marido los nacidos después del matrimonio y dentro de 300 días de su disolución. Es simplemente legal: puede destruirse por prueba en contrario (acción de impugnación).",DERECHO_CIVIL,LIBRO_I,TITULO_VII,De la filiación,2
"El reconocimiento voluntario de un hijo puede hacerse:","Ante el Oficial del RC, en escritura pública o en acto testamentario","Solo ante el Oficial del Registro Civil al inscribir el nacimiento","Solo por sentencia judicial","En documento privado firmado ante dos testigos",0,"Art. 187 CC: cuatro formas: 1) ante el Oficial del RC al inscribir nacimiento, 2) en acta ante cualquier Oficial del RC, 3) en escritura pública, 4) en acto testamentario.",DERECHO_CIVIL,LIBRO_I,TITULO_VII,De la filiación,1
"El reconocimiento voluntario de un hijo es:","Irrevocable una vez realizado","Revocable dentro de los 30 días siguientes","Revocable mientras el hijo no lo acepte","Revocable solo por sentencia judicial",0,"Art. 189 CC: el reconocimiento es irrevocable, aunque se contenga en un testamento revocado. Una vez hecho, no puede dejarse sin efecto por voluntad del reconociente.",DERECHO_CIVIL,LIBRO_I,TITULO_VII,De la filiación,2
"La negativa injustificada a someterse a prueba biológica (ADN) en juicio de filiación:","Hace presumir legalmente la paternidad o maternidad","No tiene consecuencia jurídica alguna","Constituye delito de desacato","Obliga al juez a ordenar la prueba por la fuerza",0,"Art. 199 CC: la negativa injustificada constituye una presunción grave (legal) en contra del renuente. Es un incentivo procesal para que se someta a la prueba.",DERECHO_CIVIL,LIBRO_I,TITULO_VIII,De las acciones de filiación,2
"La acción de reclamación de filiación del hijo es:","Imprescriptible durante toda su vida","Prescriptible en 5 años desde que alcanza la mayoría de edad","Prescriptible en 10 años desde el nacimiento","Caduca al cumplir 30 años",0,"Art. 195 CC: la acción de reclamación es imprescriptible e irrenunciable respecto del hijo. Puede ejercerla en cualquier momento de su vida.",DERECHO_CIVIL,LIBRO_I,TITULO_VIII,De las acciones de filiación,1
"La posesión notoria del estado civil de hijo requiere según el art. 200 CC:","Que el padre o madre lo haya tratado como hijo, proveyendo a su educación, durante al menos 5 años continuos","Que el hijo haya vivido con el padre o madre durante al menos 3 años","Que existan fotos y documentos que acrediten la relación","Sentencia judicial que declare la posesión notoria",0,"Art. 200 CC: la posesión notoria exige: 1) trato de hijo (nombre, educación, presentación), 2) duración mínima de 5 años continuos, 3) prueba por testimonios y antecedentes.",DERECHO_CIVIL,LIBRO_I,TITULO_VIII,De las acciones de filiación,2
"El cuidado personal de los hijos cuyos padres viven separados corresponde según el art. 225 CC:","A ambos padres de consuno, pudiendo acordar que lo ejerza uno o ambos en forma compartida","Automáticamente a la madre hasta los 7 años","Al padre que tenga mejor situación económica","Al padre que el juez designe sin considerar la opinión de los padres",0,"Art. 225 CC modificado por Ley 20.680: se eliminó la regla de preferencia materna. Rige la corresponsabilidad. Los padres acuerdan; a falta de acuerdo, decide el juez según el interés superior del niño.",DERECHO_CIVIL,LIBRO_I,TITULO_IX,De los derechos y obligaciones entre los padres y los hijos,1
"¿Qué principio rige la determinación del cuidado personal de los hijos?","El interés superior del niño","La preferencia materna","La situación económica del padre","La opinión exclusiva del hijo mayor de 12 años",0,"Art. 222 CC: el interés superior del hijo es el principio rector. Todos los criterios (estabilidad, apego, capacidad) se evalúan en función de lo más beneficioso para el niño.",DERECHO_CIVIL,LIBRO_I,TITULO_IX,De los derechos y obligaciones entre los padres y los hijos,1
