front,back,unidad,materia,submateria,tipo,nivel
¿Qué es el Derecho Civil?,Rama del Derecho privado formada por el conjunto de principios y preceptos jurídicos sobre la personalidad y las relaciones patrimoniales y de familia.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,BASICO
¿De dónde proviene el término 'Derecho Civil'?,"Proviene del latín 'ius civile', que en Roma era el derecho propio de los ciudadanos romanos.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,BASICO
¿Cuál es el contenido básico del Derecho Civil?,"Regula a la persona en sí misma, sus relaciones familiares y su patrimonio.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,BASICO
¿A qué rama pertenece el Derecho Civil?,"Pertenece al Derecho Privado, pues regula las relaciones de los particulares entre sí.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,BASICO
¿Qué es el Derecho Civil como 'Derecho Común'?,Aquel cuyas normas se aplican supletoriamente a todas las materias que no estén reguladas por leyes especiales.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,BASICO
¿Qué es el Derecho Civil como 'Derecho General'?,Aquel que regula las relaciones jurídicas de los hombres sin consideración a su profesión o estatus especial.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,BASICO
¿Qué comprende el Derecho de la Persona?,"Normas sobre el inicio y fin de la existencia, atributos de la personalidad y capacidad.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,BASICO
¿Qué comprende el Derecho de Familia?,Regula la organización de la familia y las relaciones entre sus miembros.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,BASICO
¿Qué comprende el Derecho Patrimonial?,"Relaciones económicas, incluyendo derechos reales, personales y sucesión por causa de muerte.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,BASICO
¿Cuál es la función del Derecho Civil en el sistema legal?,Servir de tronco común y proveer conceptos matrices para las demás ramas del Derecho.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,BASICO
Diferencie entre ius civile y ius gentium en Roma.,Ius civile era exclusivo para ciudadanos; ius gentium se aplicaba a extranjeros y se basaba en la equidad natural.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,INTERMEDIO
¿Por qué el Derecho Civil es el Derecho Privado Común?,Porque sus principios informan todo el derecho privado y se aplican ante vacíos en leyes especiales.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,INTERMEDIO
Explique la supletoriedad del Código Civil.,"Manifestación del carácter de derecho común, aplicándose a falta de norma en leyes especiales (Art. 4 y 13 CC).",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,INTERMEDIO
¿Cómo se desprendieron otras ramas del Derecho Civil?,"Por un proceso de especialización (ej. Mercantil, Laboral) debido a la complejidad de nuevas realidades sociales.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,INTERMEDIO
Relación entre Derecho Civil y Derecho Nacional.,"Tras la caída de Roma, el ius civile pasó a designar el derecho propio de cada nación (derecho nacional).",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,INTERMEDIO
¿Qué es el carácter 'general' del Derecho Civil frente al 'especial'?,General rige a todos; especial rige a grupos (ej. comerciantes) o materias (ej. minas).,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,INTERMEDIO
Estructura de la relación jurídica en el Derecho Civil.,Vínculo entre sujetos (activo y pasivo) regulado por la norma sobre un objeto determinado.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,INTERMEDIO
Importancia del Derecho Canónico en el Derecho Civil.,"Aportó elementos morales y espirituales, especialmente en la teoría del matrimonio y los contratos.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,INTERMEDIO
¿Cómo se manifiesta la unidad del Derecho Civil?,En la coherencia de sus principios transversales como la buena fe y la autonomía de la voluntad.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,INTERMEDIO
Critique la definición clásica de Derecho Civil.,"Se le critica que reduce el derecho a preceptos, ignorando la dimensión de valores y justicia material.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,AVANZADO
Analice el Derecho Civil como sistema de protección de la persona.,Busca resguardar la dignidad y autonomía del individuo en todas las etapas de su vida y relaciones.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,AVANZADO
¿Cómo influye la preeminencia del Derecho Civil en el Derecho Público?,"Aporta instituciones matrices (ej. personalidad jurídica, actos) que el Derecho Público suele adoptar.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,AVANZADO
Evalué el impacto del racionalismo en el contenido del Derecho Civil.,"Permitió organizar la materia de forma lógica y deductiva, centrada en la libertad individual.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,AVANZADO
Analice la función social del Derecho Civil contemporáneo.,"Transita de un individualismo extremo a la protección de partes débiles (consumidores, cónyuge débil).",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,AVANZADO
Relación entre la 'estática' y 'dinámica' patrimonial.,La estática protege la propiedad adquirida; la dinámica regula su circulación mediante obligaciones.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CONCEPTO_ORIGEN_DERECHO_CIVIL,CIVIL,AVANZADO
¿Qué es un Código?,"Cuerpo de leyes metódico, sistemático y orgánico que regula integralmente una rama del derecho.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,BASICO
¿Quién redactó el Código Civil chileno?,"Andrés Bello López, jurista venezolano-chileno.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,BASICO
¿En qué fecha se promulgó el Código Civil?,El 14 de diciembre de 1855.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,BASICO
¿Cuándo entró en vigencia el Código Civil?,El 1 de enero de 1857.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,BASICO
¿Cuál fue la principal fuente del Código Civil?,"El Derecho Romano, especialmente a través del Corpus Iuris Civilis y obras de Pothier.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,BASICO
Mencione un Código extranjero que influyó en Bello.,El Código Civil Francés de 1804 (Código Napoleón).,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,BASICO
¿Qué legislación española regía antes del Código?,"Las Siete Partidas, la Novísima Recopilación y leyes de Toro, entre otras.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,BASICO
¿Qué es la Comisión Revisora?,Grupo de juristas y políticos que revisó el proyecto final de Bello antes de su aprobación.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,BASICO
¿Cómo se aprobó el Código Civil en el Congreso?,Se aprobó en bloque (un solo artículo) dada la magnitud y calidad técnica de la obra.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,BASICO
Mencione una fuente doctrinaria francesa de Bello.,"Robert Joseph Pothier, cuyas obras sobre obligaciones fueron fundamentales.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,BASICO
¿Qué importancia tuvo Savigny en el Código?,Influyó en la sistemática y en las reglas de interpretación de la ley.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,BASICO
¿Cuál era el objetivo político de la codificación?,"Unificar la nación bajo una sola ley, desplazando la caótica legislación colonial española.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,BASICO
Diferencie entre Código y Recopilación.,Código es sistemático y deroga lo anterior; Recopilación es un índice cronológico que mantiene vigentes las leyes originales.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,INTERMEDIO
Explique la influencia de Florencio García Goyena.,Bello tomó elementos del Proyecto de Código Civil español de 1851 de este autor.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,INTERMEDIO
¿Cuáles fueron los proyectos previos al de 1855?,"Proyectos parciales (1841-1845), Proyecto de 1853 y Proyecto Inédito.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,INTERMEDIO
Influencia de las Siete Partidas en el Código.,"Presente en materias de familia y sucesiones, aunque Bello modernizó muchas soluciones.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,INTERMEDIO
¿Qué papel jugó la Ley de 1840?,Creó la Comisión de Legislación del Congreso que dio el impulso formal a la codificación.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,INTERMEDIO
Originalidad de Bello en el sistema de propiedad.,Creó un sistema de registro e inscripción para inmuebles ajeno al modelo francés.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,INTERMEDIO
¿Cómo influyó el Código de Luisiana?,Bello consultó su estructura por ser un derecho mixto (civil y común) adaptado a América.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,INTERMEDIO
Relación entre Bello y los comentaristas franceses.,"Utilizó obras de Delvincourt, Rogron y otros para interpretar el espíritu del Código Napoleón.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,INTERMEDIO
¿Por qué se aprobó 'en bloque' el Código?,Para evitar que discusiones parlamentarias de legos alteraran la unidad técnica y lógica de la obra.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,INTERMEDIO
¿Qué legislación española fue la última en regir?,"La Novísima Recopilación de 1805, que intentó ordenar el caos previo sin éxito.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,INTERMEDIO
Influencia del Derecho Canónico en el Código de Bello.,Se manifiesta en la regulación del matrimonio (originalmente indisoluble) y en principios morales.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,INTERMEDIO
Analice el eclecticismo de Andrés Bello.,"Armonizó fuentes romanas, españolas y francesas con pragmatismo, creando una síntesis original y no una copia.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,AVANZADO
¿Por qué el Código de Bello se considera una 'Constitución Civil'?,"Porque estableció las bases del orden social, la propiedad y la familia en la naciente República.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,AVANZADO
Crítica a la influencia de Pothier en el Código.,Se dice que Bello heredó confusiones conceptuales de Pothier entre objeto y causa.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,AVANZADO
Impacto de la codificación en la soberanía nacional.,Afirmó la independencia definitiva de Chile al dotarlo de leyes propias y modernas.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,AVANZADO
Evalué la adecuación del Código a la realidad de 1855.,Fue una obra de élite que buscó civilizar y estabilizar una sociedad agraria y conservadora.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,AVANZADO
Relación entre la técnica de Bello y el racionalismo.,"Su lenguaje es preciso, elegante y busca la plenitud hermética mediante definiciones legales.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,AVANZADO
Analice la vigencia del Código frente al paso del tiempo.,Su flexibilidad en principios generales ha permitido que sobreviva a cambios radicales mediante reformas parciales.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,CODIFICACION_CODIGO_CIVIL,CIVIL,AVANZADO
¿Cómo se divide el Código Civil?,"En un Mensaje, Título Preliminar, cuatro Libros y un Título Final.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,ESTRUCTURA_PROYECCION,CIVIL,BASICO
¿De qué trata el Libro II del Código?,"Trata de los bienes, y de su dominio, posesión, uso y goce.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,ESTRUCTURA_PROYECCION,CIVIL,BASICO
¿Cuál es el contenido del Libro III?,Trata de la sucesión por causa de muerte y de las donaciones entre vivos.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,ESTRUCTURA_PROYECCION,CIVIL,BASICO
¿Qué países adoptaron el Código de Bello?,Colombia y Ecuador de forma casi íntegra; influyó notablemente en el resto de Latinoamérica.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,ESTRUCTURA_PROYECCION,CIVIL,BASICO
¿Qué materias contiene el Título Preliminar?,"Trata de la ley, su definición, efectos, interpretación y derogación.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,ESTRUCTURA_PROYECCION,CIVIL,INTERMEDIO
Importancia del Mensaje del Código Civil.,Documento que explica los fundamentos y espíritu de la obra; es clave para la interpretación histórica.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,ESTRUCTURA_PROYECCION,CIVIL,INTERMEDIO
¿Qué establece el Título Final del Código?,El artículo final que declara la derogación de todas las leyes civiles anteriores a su vigencia.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,ESTRUCTURA_PROYECCION,CIVIL,INTERMEDIO
Relación entre la estructura de Bello y la de Justiniano.,"Bello sigue el plan de las Instituciones (personas, cosas, acciones), pero lo moderniza y expande.",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,ESTRUCTURA_PROYECCION,CIVIL,INTERMEDIO
Analice la proyección del Código en el Derecho Comparado.,Su prestigio técnico lo convirtió en el modelo de codificación racional para las jóvenes repúblicas americanas.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,ESTRUCTURA_PROYECCION,CIVIL,AVANZADO
¿Por qué el Libro IV es el más extenso y complejo?,Porque regula la autonomía privada en su máxima expresión: las obligaciones y los contratos.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,ESTRUCTURA_PROYECCION,CIVIL,AVANZADO
Principio de libre circulación de los bienes.,"Busca que la propiedad sea transferible libremente, evitando las vinculaciones de bienes (ej. mayorazgos).",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,PRINCIPIOS_FUNDAMENTALES,CIVIL,BASICO
Principio de protección de la propiedad privada.,Nadie puede ser privado de su propiedad sino por ley y previa indemnización (garantía constitucional y civil).,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,PRINCIPIOS_FUNDAMENTALES,CIVIL,BASICO
Principio de la autonomía de la voluntad.,Libertad de las personas para celebrar actos jurídicos y determinar sus efectos (Art. 1545).,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,PRINCIPIOS_FUNDAMENTALES,CIVIL,BASICO
Principio de la buena fe en el Código Civil.,"Estándar de conducta leal y honesta. Se presume, salvo prueba en contrario (Art. 707).",DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,PRINCIPIOS_FUNDAMENTALES,CIVIL,BASICO
Principio de reparación del enriquecimiento sin causa.,Nadie debe lucrarse injustamente a expensas de otro sin un motivo legal.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,PRINCIPIOS_FUNDAMENTALES,CIVIL,BASICO
Principio de protección de la apariencia jurídica.,Protege a quienes actúan basándose en una situación aparente legítima (ej. error común).,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,PRINCIPIOS_FUNDAMENTALES,CIVIL,BASICO
Principio de responsabilidad civil.,Todo aquel que causa un daño a otro debe repararlo (contractual o extracontractualmente).,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,PRINCIPIOS_FUNDAMENTALES,CIVIL,BASICO
Principio de protección de la familia.,Normas destinadas a asegurar la estabilidad familiar y el bienestar de sus miembros.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,PRINCIPIOS_FUNDAMENTALES,CIVIL,BASICO
¿Qué es la buena fe subjetiva?,La convicción interna de estar actuando conforme a derecho (relevante en posesión).,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,PRINCIPIOS_FUNDAMENTALES,CIVIL,BASICO
¿Qué es la buena fe objetiva?,El deber de actuar con rectitud en la ejecución de los contratos (Art. 1546).,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,PRINCIPIOS_FUNDAMENTALES,CIVIL,BASICO
Manifestación de la responsabilidad extracontractual.,Consagrada en el Art. 2314: 'El que ha cometido un delito o cuasidelito... es obligado a la indemnización'.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,PRINCIPIOS_FUNDAMENTALES,CIVIL,BASICO
Principio de mayor protección a la propiedad raíz.,Bello favoreció los bienes raíces exigiendo inscripción y solemnidades para su transferencia.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,PRINCIPIOS_FUNDAMENTALES,CIVIL,BASICO
Principio del interés superior del hijo.,Criterio rector en derecho de familia que prioriza el bienestar del menor sobre el de los padres.,DERECHO_CIVIL_1,EL_DERECHO_CIVIL_Y_CODIFICACION,PRINCIPIOS_FUNDAMENTALES,CIVIL,BASICO
