model,id,own_rama,target_rama,aplica,confidence,razon
flashcard,cmnnwzjc705i2540zrlhbeqr0,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"El ejercicio se centra en el análisis de instituciones fundamentales del COT (jurisdicción, competencia, implicancias) que son base para el proceso civil."
definicion,cmnnwzitk05hs540zlnnaqr1t,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"El análisis de jurisdicción, competencia (absoluta y relativa), arbitraje e implicancias/recusaciones son materias sustancialmente reguladas por el COT."
flashcard,cmnnwxtuf04l2540z19i6yhe6,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"La integración de tribunales colegiados es un tema central del COT, que regula la organización y funcionamiento de los tribunales, incluyendo su composición."
flashcard,cmnnww6do03pc540zelskch9r,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"El principio de territorialidad y las reglas de competencia (nacional, prórroga) son materias fundamentales del Código Orgánico de Tribunales."
flashcard,cmnnwxl7t04gl540znrhfjkv4,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,true,high,"El ejercicio describe la estructura y tipos de tribunales (ordinarios, especiales, arbitrales) y auxiliares, temas centrales del Código Orgánico de Tribunales."
flashcard,cmnnwxxz204nb540zll2ka49s,DERECHO_ORGANICO,DERECHO_CIVIL,true,high,"La competencia de los tribunales de familia abarca materias sustantivas del Derecho de Familia, que es una rama del Derecho Civil."
flashcard,cmnnwzjfx05i4540z81bx6z8q,DERECHO_PROCESAL_CIVIL,DERECHO_ORGANICO,,,503 status code (no body)
flashcard,cmno43uvh0097os0zx0m4q4er,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,,,429 status code (no body)
flashcard,cmn3wjx1p01q9310z2frlxk9j,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,true,high,"Varias excepciones (pago, novación, compensación, nulidad, prescripción, etc.) son modos de extinguir obligaciones o instituciones propias del Código Civil."
mcq,cmno43v3f009aos0zhiwwabpi,DERECHO_PROCESAL_CIVIL,DERECHO_CIVIL,,,429 status code (no body)
