pregunta,respuesta,rama,libro,titulo,materia,dificultad
"¿Cuáles son los tribunales creados por las reformas procesales?","1) Juzgados de Garantía (RPP, 2000), 2) Tribunales de Juicio Oral en lo Penal — TOP (RPP, 2000), 3) Juzgados de Familia (Ley 19.968, 2004), 4) Juzgados de Letras del Trabajo (Ley 20.087, 2008), 5) Juzgados de Cobranza Laboral y Previsional, 6) Tribunales Tributarios y Aduaneros (Ley 20.322, 2009).",DERECHO_ORGANICO,COT,TITULO_III,De los tribunales especiales,1
"¿Qué son los Juzgados de Garantía?","Tribunales unipersonales que conocen de las causas penales en la etapa de investigación y de ciertos procedimientos especiales. Garantizan los derechos del imputado durante la investigación del Ministerio Público (art. 14 COT).",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Garantía,1
"¿Cuáles son las principales funciones del Juez de Garantía?","1) Autorizar diligencias de investigación que afecten derechos fundamentales (interceptaciones, entradas, registros), 2) Resolver la formalización, 3) Decretar medidas cautelares (prisión preventiva), 4) Conocer del procedimiento abreviado y simplificado, 5) Dirigir la audiencia de preparación de juicio oral.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Garantía,2
"¿Los Juzgados de Garantía son unipersonales o colegiados?","Son unipersonales en su funcionamiento (un juez por audiencia), aunque pueden tener varios jueces en el mismo juzgado. Cada juez actúa individualmente en las causas que le corresponden (art. 14 COT).",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Garantía,2
"¿Qué es el Tribunal de Juicio Oral en lo Penal (TOP)?","Tribunal colegiado compuesto por 3 jueces que conoce del juicio oral en materia penal. Dicta sentencia después de la audiencia de juicio oral, pública y contradictoria (art. 17 COT).",DERECHO_ORGANICO,COT,TITULO_III,Del Tribunal de Juicio Oral en lo Penal,1
"¿Cuántos jueces componen la sala del TOP?","3 jueces. Funcionan en sala de 3, nunca unipersonalmente. La sentencia se dicta por mayoría. No pueden integrar la sala jueces que hayan intervenido en la etapa de investigación (art. 17 COT).",DERECHO_ORGANICO,COT,TITULO_III,Del Tribunal de Juicio Oral en lo Penal,1
"¿Cuáles son las principales funciones del TOP?","1) Conocer y juzgar las causas penales en juicio oral, 2) Resolver incidentes durante el juicio oral, 3) Dictar sentencia absolutoria o condenatoria, 4) Conocer de la libertad o prisión del acusado durante el juicio.",DERECHO_ORGANICO,COT,TITULO_III,Del Tribunal de Juicio Oral en lo Penal,2
"¿Qué principios rigen el juicio oral ante el TOP?","1) Oralidad: todo se desarrolla verbalmente, 2) Inmediación: los jueces presencian toda la prueba, 3) Concentración: el juicio se desarrolla en audiencias sucesivas, 4) Publicidad: audiencias abiertas al público, 5) Contradicción: ambas partes argumentan.",DERECHO_ORGANICO,COT,TITULO_III,Del Tribunal de Juicio Oral en lo Penal,2
"¿Qué son los Juzgados de Familia?","Tribunales especializados que conocen de asuntos de familia: divorcio, cuidado personal, alimentos, adopción, violencia intrafamiliar, protección de menores, entre otros. Creados por la Ley 19.968 (art. 8 Ley 19.968).",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Familia,1
"¿Cuáles son las principales materias de los Juzgados de Familia?","1) Divorcio, separación judicial y nulidad de matrimonio, 2) Cuidado personal y relación directa y regular, 3) Alimentos, 4) Adopción, 5) Violencia intrafamiliar, 6) Protección de niños vulnerados, 7) Guardas y tutelas, 8) Autorización para salir del país.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Familia,1
"¿Qué procedimiento se aplica en los Juzgados de Familia?","Procedimiento oral, concentrado y desformalizado. Audiencia preparatoria + audiencia de juicio. Se promueve la mediación obligatoria previa en materias como alimentos, cuidado personal y relación directa y regular (Ley 19.968).",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Familia,2
"¿Es obligatoria la mediación en los Juzgados de Familia?","Es obligatoria como trámite previo en: alimentos, cuidado personal y relación directa y regular. No procede en: violencia intrafamiliar, adopción ni medidas de protección de menores (art. 106 Ley 19.968).",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Familia,2
"¿Qué son los Juzgados de Letras del Trabajo?","Tribunales especializados en conflictos laborales entre empleadores y trabajadores. Conocen de: despidos injustificados, cobro de prestaciones, accidentes del trabajo, prácticas antisindicales, tutela laboral (art. 420 CT).",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados del Trabajo,1
"¿Qué procedimiento se aplica en los Juzgados del Trabajo?","Procedimiento oral en dos audiencias: 1) Audiencia preparatoria (conciliación + fijación de hechos), 2) Audiencia de juicio (prueba + sentencia). Principios: oralidad, inmediación, concentración, impulso procesal de oficio (art. 425 CT).",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados del Trabajo,2
"¿Qué es la tutela laboral?","Procedimiento especial del Código del Trabajo que protege los derechos fundamentales del trabajador en la relación laboral (art. 485 CT). Conoce el Juzgado de Letras del Trabajo. Incluye indicios de lesión con inversión de carga probatoria.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados del Trabajo,2
"¿Qué son los Juzgados de Cobranza Laboral y Previsional?","Tribunales especializados en la ejecución de sentencias laborales y el cobro de cotizaciones previsionales impagas. Existen solo en comunas con alto volumen de causas (art. 416 CT).",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados del Trabajo,2
"¿Qué son los Tribunales Tributarios y Aduaneros?","Tribunales especializados e independientes del SII que conocen de reclamaciones tributarias y aduaneras. Creados por la Ley 20.322 (2009). Reemplazaron al Director Regional del SII como juez tributario.",DERECHO_ORGANICO,COT,TITULO_III,De los Tribunales Tributarios y Aduaneros,1
"¿Cuáles son las principales materias de los TTA?","1) Reclamaciones contra liquidaciones, giros y resoluciones del SII, 2) Reclamaciones aduaneras, 3) Solicitudes de devolución de impuestos, 4) Reclamaciones sobre avalúo de bienes raíces (Ley 20.322).",DERECHO_ORGANICO,COT,TITULO_III,De los Tribunales Tributarios y Aduaneros,2
"¿Qué diferencia a los tribunales de reforma de los ordinarios?","1) Son especializados (solo conocen de su materia), 2) Funcionan con procedimientos orales, 3) Tienen estructura de gestión administrativa propia (administrador de tribunal), 4) Separan funciones jurisdiccionales de administrativas.",DERECHO_ORGANICO,COT,TITULO_III,De los tribunales especiales,2
"¿Qué es el administrador de tribunal en los juzgados de reforma?","Profesional encargado de la gestión administrativa del tribunal. Libera al juez de tareas no jurisdiccionales. Existe en Garantía, TOP, Familia y Trabajo. Es una innovación de las reformas procesales.",DERECHO_ORGANICO,COT,TITULO_III,De los tribunales especiales,2
"¿Puede el Juez de Garantía dictar sentencia en juicio oral?","No. El Juez de Garantía NO conoce del juicio oral: eso le corresponde al TOP. El JG solo conoce de la etapa de investigación, medidas cautelares, procedimiento abreviado y simplificado.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Garantía,2
"¿Qué es el procedimiento monitorio laboral?","Procedimiento especial para causas laborales de menor cuantía (hasta 10 ingresos mínimos). El juez resuelve con la sola demanda; el demandado puede oponerse y se cita a audiencia (art. 496 CT).",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados del Trabajo,2
"¿Qué recurso procede contra la sentencia del TOP?","Recurso de nulidad ante la CA o la CS (arts. 372-387 CPP). NO procede apelación contra la sentencia del juicio oral. La nulidad es por causales taxativas (vicios del juicio o infracción de derecho).",DERECHO_ORGANICO,COT,TITULO_III,Del Tribunal de Juicio Oral en lo Penal,2
"¿Quién dirige la investigación penal?","El Ministerio Público (Fiscalía), no el juez. El Juez de Garantía solo autoriza y controla. Es el sistema acusatorio: separación entre investigar (fiscal) y juzgar (juez/TOP).",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Garantía,1
