afirmacion,respuesta,explicacion,rama,libro,titulo,materia,dificultad
"Las implicancias son de orden público y el juez debe declararse inhabilitado de oficio.",true,"Art. 195 COT: implicancia = grave. Orden público. Obligación de inhabilitarse. Si no lo hace = prevaricación (art. 224 CP).",DERECHO_ORGANICO,COT,TITULO_XII,De las implicancias,1
"Las recusaciones son de orden público y el juez debe inhabilitarse de oficio.",false,"Art. 196 COT: las recusaciones son de ORDEN PRIVADO. El juez puede inhabilitarse voluntariamente, pero la parte debe alegarla si no lo hace.",DERECHO_ORGANICO,COT,TITULO_XII,De las recusaciones,1
"Los receptores judiciales practican las notificaciones y embargos fuera del tribunal.",true,"Art. 390 COT: receptores = ministros de fe que ejecutan diligencias fuera de la sede del tribunal.",DERECHO_ORGANICO,COT,TITULO_XI,De los receptores,1
"Los notarios son funcionarios del Poder Judicial.",false,"Los notarios están regulados por el COT pero ejercen funciones fuera del PJ. Son ministros de fe con funciones propias (art. 399 COT).",DERECHO_ORGANICO,COT,TITULO_XI,De los notarios,2
"El conservador de bienes raíces lleva solo el registro de propiedad.",false,"Lleva TRES registros: 1) Propiedad, 2) Hipotecas y Gravámenes, 3) Interdicciones y Prohibiciones de Enajenar (art. 31 Reglamento CBR).",DERECHO_ORGANICO,COT,TITULO_XI,De los conservadores,2
"Los fiscales judiciales son lo mismo que los fiscales del Ministerio Público.",false,"Son instituciones distintas. Fiscal judicial = auxiliar del PJ (CA/CS). Fiscal del MP = investiga delitos (organismo autónomo, art. 83 CPR).",DERECHO_ORGANICO,COT,TITULO_XI,De los fiscales judiciales,1
"Los relatores exponen oralmente los asuntos ante la sala de la CA mediante la relación.",true,"Art. 372 COT: función principal del relator. Informa a los ministros antes de los alegatos de los abogados.",DERECHO_ORGANICO,COT,TITULO_XI,De los relatores,1
"Si un juez no se inhabilita por una causal de implicancia, puede incurrir en prevaricación.",true,"Art. 195 COT + 224 CP: la implicancia obliga. No inhabilitarse conociendo la causal = falta grave que puede ser prevaricación.",DERECHO_ORGANICO,COT,TITULO_XII,De las implicancias,2
"La recusación sin expresión de causa puede ejercerse contra cualquier juez.",false,"Art. 198 COT: solo procede contra ABOGADOS INTEGRANTES. Cada parte puede ejercerla una vez por recurso. No aplica a jueces titulares.",DERECHO_ORGANICO,COT,TITULO_XII,De las recusaciones,2
"La escritura pública debe ser otorgada ante notario e incorporada a su protocolo.",true,"Art. 403 COT: tres requisitos: 1) ante notario, 2) con solemnidades legales, 3) incorporada al protocolo. Sin esto no es escritura pública.",DERECHO_ORGANICO,COT,TITULO_XI,De los notarios,1
"Ser pariente en 2° grado de consanguinidad de una parte es causal de recusación.",false,"Art. 195 Nº 2 COT: parentesco hasta 2° grado de consanguinidad es causal de IMPLICANCIA (más grave). La recusación es desde el 3° grado.",DERECHO_ORGANICO,COT,TITULO_XII,De las implicancias,2
"Los secretarios de tribunal pueden subrogar al juez si son abogados.",true,"Art. 211-214 COT: el secretario abogado es el primer llamado a subrogar al juez de letras impedido.",DERECHO_ORGANICO,COT,TITULO_XI,De los secretarios,2
"Los defensores públicos del COT defienden a imputados en causas penales.",false,"Art. 365 COT: los defensores públicos del COT protegen a INCAPACES y AUSENTES. La defensa penal la ejerce la Defensoría Penal Pública (DPP, organismo distinto).",DERECHO_ORGANICO,COT,TITULO_XI,De los defensores públicos,2
"Las implicancias y recusaciones aplican solo a los jueces, no a otros funcionarios.",false,"COT: también aplican a secretarios, relatores, peritos y otros funcionarios auxiliares que intervienen en el proceso.",DERECHO_ORGANICO,COT,TITULO_XII,De las implicancias y recusaciones,2
