modelo,id,content_preview,titulo_actual,parrafo_actual,titulo_nuevo,parrafo_nuevo,motivo
Flashcard,cmn3wgq0b001m310z9wxf33gl,"[front] ¿Qué es el dominio público en propiedad intelectual? [back] El estado en que queda una obra cuando expiran los derechos patrimoniales (vida + 70 años). Cualquier persona puede usar, reproducir",LII_T2,,L17336_T1,L17336_T1_P3,Trata sobre plazos de protección y dominio público (expiración de derechos patrimoniales tras vida + 70 años).
Flashcard,cmn3wgppb001g310z51t3hgu9,[front] ¿Cuál es la diferencia entre idea y expresión en propiedad intelectual? [back] Las IDEAS no son protegibles: nadie es dueño de la idea de hacer flashcards de derecho. La EXPRESIÓN sí: la redac,LIV_T1,,L17336_T1,L17336_T1_P1,"Trata la distinción fundamental entre idea y expresión, principio básico de definición y objeto de protección en la ley de propiedad intelectual."
Flashcard,cmn3wgpt1001i310zqrmc0c8t,[front] ¿Se requiere registro para que una obra esté protegida por la Ley 17.336? [back] NO. La protección nace por el solo hecho de la creación (art. 1). El registro en el Departamento de Derechos In,LIV_T1,,L17336_T4,,"Trata sobre registro y formalidades ante el Departamento de Derechos Intelectuales, que es materia del Título IV (Disposiciones Generales y Registro)."
Flashcard,cmn3wgpr4001h310z5bidxbrv,"[front] ¿Qué obras protege la Ley 17.336 según su art. 3? [back] Enumeración NO taxativa: libros, folletos, artículos, composiciones musicales, obras dramáticas, coreográficas, escultóricas, pictórica",LIV_T1,,L17336_T1,L17336_T1_P1,"Define qué obras protege la ley (art. 3), tema central de Naturaleza y objeto de la protección"
Flashcard,cmn3wgqd0001t310ze0t4f0hl,"[front] ¿Las disposiciones del Código Civil son susceptibles de protección de autor? [back] NO. Las normas legales (CC, CPC, COT, CPR), las sentencias judiciales y los actos administrativos son de dom",TP_MAIN,TP_1,L17336_T1,L17336_T1_P1,Definición de obras protegidas y exclusiones: normas legales excluidas de protección de autor por naturaleza.
Flashcard,cmn3wgq9c001r310zb16muq34,[front] ¿Qué es el plagio en derecho de autor chileno? [back] Reproducción total o parcial de una obra ajena presentándola como propia. Es infracción a la Ley 17.336 y puede constituir delito (art. 79,LIV_T35,,L17336_T5,,"El plagio es una infracción penal tipificada en el Art. 79 de la Ley 17.336, que establece sanciones (presidio y multa) por reproducción no autorizada de obras ajenas."
Flashcard,cmn3wgq5q001p310zq0mthr0d,[front] ¿Qué excepciones al derecho de autor contempla la Ley 17.336? [back] Arts. 71A-71Q: 1) Copia privada para uso personal (art. 71A). 2) Derecho de cita con fines educativos o críticos (art. 71B),TITULO_III,,L17336_T3,,"El contenido trata explícitamente sobre excepciones al derecho de autor (copia privada, cita, uso judicial, parodia, acceso para discapacitados), que son reguladas en el Título III (Arts. 71A–71S)."
Flashcard,cmn3wgq23001n310zt106xv8s,[front] ¿Disponible gratis en internet equivale a dominio público? [back] NO. Que una obra esté disponible gratuitamente no la pone en dominio público ni autoriza su uso comercial. El autor mantiene T,LIV_T3,,L17336_T1,L17336_T1_P3,"Trata sobre duración de la protección y dominio público (Arts. 10–12), aclarando cuándo una obra entra en dominio público versus disponibilidad gratuita."
Flashcard,cmn3wgqeu001u310zk0tciwxg,[front] ¿Un profesor puede impedir que se usen sus apuntes para crear contenido comercial? [back] SÍ. Los apuntes de un profesor son obra protegida por la Ley 17.336. Aunque estén disponibles gratis e,LIV_T23,,L17336_T1,L17336_T1_P5,Se trata del derecho patrimonial del autor (aprovechamiento comercial) y sus limitaciones implícitas; el profesor puede controlar el uso comercial de sus apuntes bajo este derecho.
Flashcard,cmn3wgqgp001v310z3tsamxl0,"[front] ¿Qué es una obra derivada según la Ley 17.336? [back] Obra nueva creada a partir de una obra preexistente: traducción, adaptación, resumen, arreglo musical, comentario crítico. Requiere autori",LIV_T3,,L17336_T1,L17336_T1_P5,"Obra derivada es transformación de obra preexistente; requiere autorización del titular del derecho patrimonial (reproducción y transformación), cuyo ejercicio y limitaciones se regulan en Arts. 17–47."
Flashcard,cmn3wgqij001w310zjcf0qsuy,[front] ¿Qué es una obra en colaboración y quién es su titular? [back] Obra creada por dos o más personas que trabajan conjuntamente. Los derechos pertenecen a TODOS los coautores en común. Cada uno p,LIV_T28,,L17336_T1,L17336_T1_P2,"Trata sobre coautoría, titularidad de derechos y sujetos del derecho de autor (Arts. 8–9)."
Flashcard,cmn3wgqkf001x310zsjnr2811,[front] ¿Qué diferencia hay entre autor y titular de derechos patrimoniales? [back] El autor es la persona natural que crea la obra (derechos morales intransferibles le pertenecen siempre). El titular,LIII_T1,,L17336_T1,L17336_T1_P2,Diferencia entre autor y titular de derechos patrimoniales; sujetos del derecho de autor y transferencia de derechos patrimoniales (Arts. 8–9).
Flashcard,cmn3wgqma001y310zyjqfvq3i,[front] ¿Qué es una licencia de uso en propiedad intelectual? [back] Autorización del titular para que un tercero use la obra bajo condiciones específicas. Puede ser exclusiva (solo el licenciatario) ,LIV_T25,,L17336_T1,L17336_T1_P5,"Licencia de uso es ejercicio del derecho patrimonial del autor (autorización para uso de obra bajo condiciones), regulado en Arts. 17–47 sobre derechos patrimoniales y sus limitaciones."
Flashcard,cmn3wgq3w001o310zmgy1iouw,"[front] ¿Qué es el derecho de cita según el art. 71B de la Ley 17.336? [back] Es lícito citar fragmentos breves de una obra protegida sin autorización del autor, siempre que: 1) la cita sea con fines ",LIV_T3,,L17336_T3,,"El derecho de cita es una excepción al derecho de autor regulada en el art. 71B, ubicado en el Título III De las Excepciones al Derecho de Autor."
Flashcard,cmn3wgqpz0020310zapo5zu36,[front] ¿Qué es el Convenio de Berna y cómo afecta a Chile? [back] Tratado internacional sobre protección de obras literarias y artísticas (1886). Chile es miembro. Establece: 1) protección automática,LI_T1,,L17336_T4,,El Convenio de Berna es tratado internacional que establece marcos generales de protección y obligaciones interestatales; su aplicación en Chile se rige por disposiciones generales y principios de integración normativa del Título IV.
Flashcard,cmn3wgqtu0022310zttoj2ric,[front] ¿Qué es el notice and takedown? [back] Mecanismo por el cual una plataforma se compromete a remover contenido infractor dentro de 48-72 horas tras recibir notificación del titular de derechos.,TITULO_V,,L17336_T3,,"Notice and takedown es un mecanismo de excepción/limitación al derecho de autor que protege a plataformas intermediarias; regulado en Título III (Excepciones al Derecho de Autor, Arts. 71A–71S)."
Flashcard,cmn3wgrcp002c310znia2towq,"[front] ¿Pueden los estudiantes publicar contenido académico bajo seudónimo? [back] Sí. El derecho al seudónimo está protegido por la Ley 17.336. En plataformas educativas, el autor puede usar seudóni",LI_T1,,L17336_T1,L17336_T1_P4,"El derecho al seudónimo es un atributo del derecho moral del autor (paternidad y su ejercicio), regulado en los Arts. 14–16 sobre Derecho Moral."
Flashcard,cmn3wgpn5001f310znaiqjzox,"[front] ¿Qué protege la Ley 17.336 sobre Propiedad Intelectual? [back] Las obras literarias, artísticas y científicas. Protege la EXPRESIÓN concreta de las ideas, no las ideas mismas. Otorga al autor ",LIV_T3,,L17336_T1,L17336_T1_P1,"Definición del objeto y naturaleza de la protección: obras literarias, artísticas y científicas, protección automática de la expresión."
Flashcard,cmn3wgpuu001j310zosx0oaaw,"[front] ¿Qué son los derechos morales del autor según la Ley 17.336? [back] Derechos irrenunciables, inalienables e imprescriptibles: 1) Paternidad (art. 14 N°1): ser reconocido como autor. 2) Integri",LIV_T3,,L17336_T1,L17336_T1_P4,"El contenido trata exclusivamente sobre derechos morales del autor (paternidad, integridad, inédito, modificación, retracto) regulados en Arts. 14–16."
Flashcard,cmn3wgqo5001z310zg4wn09lc,[front] ¿Qué es la cesión de derechos patrimoniales? [back] Transferencia total o parcial de los derechos patrimoniales a otra persona. Debe constar por escrito (art. 73 Ley 17.336). El cesionario pas,LIV_T25,LIV_T25_P3,L17336_T1,L17336_T1_P5,La cesión de derechos patrimoniales es un ejercicio y limitación del derecho patrimonial regulado en Arts. 17–47 (§V).
Flashcard,cmn3wgpwp001k310zppdhcywj,"[front] ¿Qué son los derechos patrimoniales del autor? [back] Derechos transferibles y con duración limitada: reproducción, distribución, comunicación pública, transformación, puesta a disposición del",LIV_T3,,L17336_T1,L17336_T1_P5,"Derechos patrimoniales (reproducción, distribución, comunicación pública, transformación) son contenido central de Arts. 17–47 del §V."
Flashcard,cmn3wgpyh001l310zsm6m20nr,[front] ¿Cuánto duran los derechos patrimoniales según el art. 11 de la Ley 17.336? [back] Vida del autor + 70 años contados desde su fallecimiento. Para obras en colaboración: 70 años desde la muerte,LIV_T3,,L17336_T1,L17336_T1_P3,"El contenido trata sobre duración de derechos patrimoniales y dominio público, regulado en Arts. 10–12 §III Duración de la protección."
Flashcard,cmn3wgq7i001q310zd1fxtpco,"[front] ¿La copia privada para uso personal es legal en Chile? [back] SÍ, bajo el art. 71A de la Ley 17.336. Se permite la reproducción de una obra para USO PERSONAL sin autorización ni pago, siempre ",LIII_T5,LIII_T5_P3,L17336_T3,,Copia privada para uso personal es una excepción al derecho de autor regulada en el art. 71A (Título III: Excepciones al Derecho de Autor).
Flashcard,cmn3wgqvx0023310z39p18nzr,"[front] ¿Qué responsabilidad tiene una plataforma por contenido publicado por usuarios? [back] Como regla general, la plataforma habilitante no es editora responsable si publica sin revisión previa. P",LIV_T35,,L17336_T3,,"Regimen de notice-and-takedown y responsabilidad de plataformas por contenido de usuarios, excepciones al derecho de autor (Arts. 71A–71S)."
Flashcard,cmn3wgrgf002e310z5eq3xd4u,[front] ¿Qué es la atribución en publicación académica? [back] Reconocimiento expreso del autor original cuya obra se cita o referencia. Ej: 'Basado en Apuntes del Prof. X' con enlace a su sitio. Es r,LIV_T3,,L17336_T1,L17336_T1_P4,"La atribución es un aspecto del derecho moral de paternidad (Arts. 14-16), que protege el reconocimiento del autor original independientemente del uso autorizado."
Flashcard,cmn3wgqb6001s310zg4wadwg3,"[front] ¿Cuál es la diferencia entre plagio e inspiración? [back] Plagio: copiar la EXPRESIÓN (texto, estructura, redacción) sin atribución. Inspiración: tomar la IDEA general y desarrollarla con pala",LIV_T2,LIV_T2_P1,L17336_T1,L17336_T1_P4,Diferencia entre plagio e inspiración: el plagio viola el derecho moral de paternidad (atribución) e integridad de la obra; la inspiración respeta ambos al usar expresión propia.
MCQ,cmn3wgsab002u310zcg2ji675,,LIV_T35,,L17336_T1,L17336_T1_P5,"Trata sobre el derecho patrimonial del autor, específicamente la reproducción y distribución de obras protegidas."
Flashcard,cmn3wgqrz0021310z919dt9p9,[front] ¿Qué sanciones establece la Ley 17.336 por infracción? [back] Art. 79: presidio menor en su grado mínimo (61 días a 540 días) y multa de 5 a 50 UTM. Art. 85: indemnización de perjuicios (acció,LIV_T12,LIV_T12_P2,L17336_T5,,"El contenido trata sobre sanciones penales, multas, indemnizaciones y acciones civiles por infracción a derechos de autor, materia del Título V (Arts. 79–85)."
MCQ,cmn3wgryt002o310zlq8fmuak,,LIV_T1,,L17336_T1,L17336_T1_P1,"Define qué es una obra literaria y su protección bajo la ley, correspondiente a naturaleza y objeto de la protección."
MCQ,cmn3wgs14002p310z2a5cgfxx,,LIV_T1,,L17336_T1,L17336_T1_P1,Define qué es una obra literaria y establece su protección como objeto de la ley de propiedad intelectual.
MCQ,cmn3wgshs002y310ztxmj983x,,LIV_T3,,L17336_T1,L17336_T1_P1,"Define qué es obra literaria y artística, elemento fundamental de la naturaleza y objeto de protección de la ley."
MCQ,cmn3wgsp50032310z1m5r6g2k,,LIV_T25,,L17336_T1,L17336_T1_P5,"Trata sobre el derecho patrimonial del autor (reproducción, distribución, comunicación pública de la obra)"
MCQ,cmn3wgsnb0031310zza8py5gc,,LIV_T3,,L17336_T1,L17336_T1_P1,"Define qué es una obra literaria y artística, elemento central de la naturaleza y objeto de protección de la ley."
MCQ,cmn3wgsqz0033310zb7timbg5,,LIV_T3,,L17336_T1,L17336_T1_P5,"Trata sobre el derecho patrimonial del autor de reproducir, comunicar públicamente y distribuir una obra (película), ejercicio y limitaciones del derecho de autor."
MCQ,cmn3wgsuo0035310zs6vdzv0j,,LIV_T3,,L17336_T1,L17336_T1_P1,"Define qué es una obra literaria y artística protegida por la ley, clasificándola dentro de las definiciones y naturaleza del objeto de protección."
MCQ,cmn3wgsst0034310zrzuh1noy,,LI_T7,,L17336_T1,L17336_T1_P1,Define qué es una obra literaria y establece el objeto y naturaleza de la protección del derecho de autor.
MCQ,cmn3wgs8h002t310zpi0a1p2l,,TP_MAIN,TP_1,L17336_T1,L17336_T1_P1,Define qué es una obra literaria y establece su protección como objeto de la ley de propiedad intelectual.
MCQ,cmn3wgswi0036310zlydij7d5,,LIV_T1,,L17336_T1,L17336_T1_P1,"Define qué es una obra literaria y artística, estableciendo la naturaleza y objeto de la protección de la Ley 17.336."
MCQ,cmn3wgsya0037310za75vthtp,,LIV_T35,,L17336_T1,L17336_T1_P5,"El ejercicio trata sobre la reproducción de una obra protegida (derecho patrimonial de reproducción), que se regula en los Arts. 17-47 del Título I §V."
MCQ,cmn3wgt3w003a310zqp4l2g51,,LIV_T22,,L17336_T1,L17336_T1_P1,"Define qué es una obra literaria y artística, estableciendo la naturaleza y objeto de protección de la ley"
MCQ,cmn3wgs2y002q310zw87533d5,,LI_T33,,L17336_T4,,"PARSE_ERROR: No veo contenido en tu mensaje. Por favor, proporciona el ejercicio o caso que n"
MCQ,cmn3wgsc6002v310zkajrirw0,,LI_T1,,L17336_T1,L17336_T1_P5,"Trata sobre el derecho patrimonial del autor (reproducción, distribución, comunicación pública de la obra) y sus limitaciones en el ejercicio de estos derechos."
MCQ,cmn3wgs4s002r310zw5wg9f98,,LIII_T2,,L17336_T1,L17336_T1_P5,Trata sobre el derecho patrimonial del autor respecto a la reproducción y comunicación pública de su obra.
MCQ,cmn3wgse1002w310zxuoa1mw8,,LII_T1,,L17336_T1,L17336_T1_P1,Define qué es una obra literaria y establece qué obras están protegidas por la ley de propiedad intelectual.
MCQ,cmn3wgtd4003f310zrh3ympl8,,LIV_T3,,L17336_T1,L17336_T1_P1,"Define qué es una obra literaria y artística, elementos fundamentales de la naturaleza y objeto de protección de la ley."
MCQ,cmn3wgs6o002s310z71diab77,,LIV_T23,,L17336_T1,L17336_T1_P1,"Define la obra literaria y artística como objeto de protección de la Ley 17.336, estableciendo qué se entiende por creación intelectual protegible."
MCQ,cmn3wgsfz002x310ztpembwku,,LIV_T12,LIV_T12_P2,L17336_T1,L17336_T1_P1,Define qué es una obra literaria y su protección como objeto de la Ley 17.336.
TrueFalse,cmn3wgtzb003r310zsz73jfuy,,LIV_T20,,L17336_T1,L17336_T1_P1,Define qué es una obra literaria y establece su protección como objeto de la ley.
TrueFalse,cmn3wgu1f003s310z5fuzxt6j,,LIV_T21,,L17336_T1,L17336_T1_P1,"Define qué es una obra literaria y su protección, materia de naturaleza y objeto de la ley"
TrueFalse,cmn3wguc8003y310zijkfk59y,,LIV_T12,LIV_T12_P2,L17336_T1,L17336_T1_P5,"Trata sobre el derecho patrimonial del autor (reproducción, distribución, comunicación pública de la obra protegida)."
TrueFalse,cmn3wgu37003t310zi4xov23b,,LIV_T42,,L17336_T4,,"PARSE_ERROR: No veo contenido en el ejercicio que compartiste. El campo ""Contenido del ejerci"
TrueFalse,cmn3wguhn0041310zb6961vd6,,LIV_T35,,L17336_T1,L17336_T1_P1,Define y establece la naturaleza de las obras protegidas por la ley de propiedad intelectual.
TrueFalse,cmn3wgue1003z310zzoyvi46m,,LIV_T3,,L17336_T4,,"PARSE_ERROR: No veo contenido del ejercicio en tu mensaje. Por favor, proporciona el texto o "
TrueFalse,cmn3wguox0045310z4yik2xw6,,LIV_T25,,L17336_T1,L17336_T1_P5,"Trata sobre el derecho patrimonial del autor de reproducir, distribuir y comunicar públicamente una obra (derechos de explotación económica)."
TrueFalse,cmn3wgu50003u310zausf9bij,,LIII_T1,,L17336_T1,L17336_T1_P1,"Define qué son las obras literarias y artísticas protegidas por la ley, elemento fundamental de naturaleza y objeto de la protección."
TrueFalse,cmn3wgun50044310zxm4v52ld,,LIV_T3,,L17336_T1,L17336_T1_P1,"Define qué es una obra literaria y su protección, elemento fundamental de la naturaleza y objeto de protección de la ley."
