pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion,rama,libro,titulo,materia,dificultad
"Los auxiliares de la administración de justicia incluyen:","Fiscales judiciales, defensores públicos, relatores, secretarios, receptores, notarios, conservadores y archiveros","Solo jueces y ministros","Solo notarios y conservadores","Solo receptores y secretarios",0,"Art. 350 COT: ocho categorías de auxiliares que colaboran con la función jurisdiccional.",DERECHO_ORGANICO,COT,TITULO_XI,De los auxiliares,1
"Los receptores judiciales son ministros de fe encargados de:","Practicar notificaciones, embargos y diligencias fuera del tribunal (art. 390 COT)","Dictar sentencias","Autorizar escrituras públicas","Custodiar los expedientes",0,"Art. 390 COT: receptores = brazos ejecutores del tribunal fuera de la sede judicial.",DERECHO_ORGANICO,COT,TITULO_XI,De los receptores,1
"Los notarios son ministros de fe que:","Autorizan escrituras públicas, protocolizan documentos y dan fe de hechos (art. 399 COT)","Solo autorizan divorcios","Solo practican notificaciones","Solo custodian expedientes",0,"Art. 399 COT: funciones amplias. La más conocida es autorizar escrituras públicas.",DERECHO_ORGANICO,COT,TITULO_XI,De los notarios,1
"El conservador de bienes raíces lleva:","Registros de Propiedad, Hipotecas y Gravámenes, e Interdicciones y Prohibiciones de Enajenar","Solo el registro de propiedad","Solo el registro de hipotecas","El registro civil de nacimientos",0,"Art. 31 Reglamento CBR: tres registros principales del sistema registral inmobiliario.",DERECHO_ORGANICO,COT,TITULO_XI,De los conservadores,2
"La implicancia es una causal de inhabilidad que:","Es de orden público: el juez DEBE declararse inhabilitado de oficio (art. 195 COT)","Es de orden privado: la parte debe alegarla","Es voluntaria para el juez","Solo aplica a abogados integrantes",0,"Art. 195 COT: la implicancia es grave. El juez está obligado a inhabilitarse. Si no lo hace = prevaricación.",DERECHO_ORGANICO,COT,TITULO_XII,De las implicancias,1
"La recusación se diferencia de la implicancia en que:","Es de orden privado: la parte debe alegarla; si no lo hace, se entiende renunciada (art. 196 COT)","Es más grave que la implicancia","El juez debe inhabilitarse de oficio","Genera prevaricación si no se declara",0,"Art. 196 COT: recusación = menos grave. Orden privado. El juez puede inhabilitarse pero no está obligado.",DERECHO_ORGANICO,COT,TITULO_XII,De las recusaciones,1
"Es causal de implicancia (art. 195 COT):","Ser el juez parte en el juicio o tener interés personal en él","Tener amistad íntima con una parte","Ser acreedor de una parte","Ser pariente en 4° grado de una parte",0,"Art. 195 Nº 1 COT: ser parte o tener interés = implicancia. Las otras opciones son causales de RECUSACIÓN (art. 196).",DERECHO_ORGANICO,COT,TITULO_XII,De las implicancias,2
"Es causal de recusación (art. 196 COT):","Tener amistad íntima o enemistad manifiesta con alguna parte","Ser el juez parte en el juicio","Haber dictado sentencia como juez inferior","Haber sido abogado de alguna parte",0,"Art. 196 Nº 15: amistad íntima/enemistad = recusación. Las otras opciones son causales de IMPLICANCIA (art. 195).",DERECHO_ORGANICO,COT,TITULO_XII,De las recusaciones,2
"Si un juez implicado no se inhabilita y dicta sentencia:","La sentencia puede ser nula y el juez incurre en responsabilidad penal (prevaricación)","No pasa nada: la implicancia es voluntaria","La sentencia es válida pero el juez recibe amonestación","Solo se aplica multa al juez",0,"Art. 195 COT + 224 CP: la implicancia es de orden público. Fallar estando implicado = prevaricación.",DERECHO_ORGANICO,COT,TITULO_XII,De las implicancias,2
"La recusación sin expresión de causa procede contra:","Abogados integrantes: cada parte puede ejercerla una vez sin invocar causal (art. 198 COT)","Todos los jueces del país","Solo ministros de la CS","Solo jueces de letras",0,"Art. 198 COT: mecanismo especial. Solo contra abogados integrantes. Una vez por parte por recurso.",DERECHO_ORGANICO,COT,TITULO_XII,De las recusaciones,2
"Los relatores de la CA cumplen la función de:","Dar cuenta de los asuntos a la sala mediante la relación oral (art. 372 COT)","Dictar sentencias","Notificar a las partes","Custodiar los expedientes",0,"Art. 372 COT: el relator informa a los ministros antes de los alegatos. Es esencial para la vista de la causa.",DERECHO_ORGANICO,COT,TITULO_XI,De los relatores,1
"Los secretarios de tribunal son ministros de fe que:","Autorizan resoluciones, custodian expedientes y dan cuenta de escritos presentados (art. 379 COT)","Solo firman las sentencias","Solo atienden al público","Solo archivan documentos",0,"Art. 379 COT: funciones de fe pública + custodia + despacho. Pueden subrogar al juez si son abogados.",DERECHO_ORGANICO,COT,TITULO_XI,De los secretarios,1
"Los fiscales judiciales NO son lo mismo que:","Los fiscales del Ministerio Público (Fiscalía penal). Los judiciales son del PJ; los del MP son autónomos","Los jueces de letras","Los relatores","Los secretarios",0,"Distinción fundamental: fiscal judicial = auxiliar del PJ (CA/CS). Fiscal del MP = investiga delitos (autónomo del PJ).",DERECHO_ORGANICO,COT,TITULO_XI,De los fiscales judiciales,1
"La escritura pública es:","Instrumento público otorgado ante notario e incorporado a su protocolo, con solemnidades legales (art. 403 COT)","Cualquier documento firmado por un abogado","Un documento privado con firma legalizada","Un certificado del Registro Civil",0,"Art. 403 COT: escritura pública = ante notario + solemnidades + protocolo. Hace plena fe (art. 1699 CC).",DERECHO_ORGANICO,COT,TITULO_XI,De los notarios,1
"El parentesco como causal de inhabilidad:","Es implicancia hasta 2° grado de consanguinidad (art. 195); recusación hasta 4° grado de consanguinidad (art. 196)","Siempre es implicancia","Siempre es recusación","No es causal de inhabilidad",0,"La gravedad varía según el grado: parentesco cercano (hasta 2°) = implicancia. Parentesco más lejano (3°-4°) = recusación.",DERECHO_ORGANICO,COT,TITULO_XII,De las implicancias y recusaciones,2
