front,back,unidad,materia,submateria,tipo,nivel
¿Qué es el ejercicio de un derecho?,Uso de facultades para satisfacer el interés del titular.,DERECHO_CIVIL_1,RELACION_JURIDICA_Y_DERECHOS_SUBJETIVOS,EJERCICIO_Y_LIMITES,CIVIL,BASICO
¿Qué son los límites de los derechos?,Fronteras para evitar daños a otros o al bien común.,DERECHO_CIVIL_1,RELACION_JURIDICA_Y_DERECHOS_SUBJETIVOS,EJERCICIO_Y_LIMITES,CIVIL,BASICO
¿Qué es la buena fe en el ejercicio?,"Actuar con rectitud, lealtad y honestidad.",DERECHO_CIVIL_1,RELACION_JURIDICA_Y_DERECHOS_SUBJETIVOS,EJERCICIO_Y_LIMITES,CIVIL,BASICO
¿Qué es el abuso del derecho?,Ejercicio legal que excede límites de moral o fin social.,DERECHO_CIVIL_1,RELACION_JURIDICA_Y_DERECHOS_SUBJETIVOS,EJERCICIO_Y_LIMITES,CIVIL,BASICO
¿Qué es la teoría de actos propios?,Impide contradecir conductas anteriores para defraudar confianza.,DERECHO_CIVIL_1,RELACION_JURIDICA_Y_DERECHOS_SUBJETIVOS,EJERCICIO_Y_LIMITES,CIVIL,BASICO
Aforismo de actos propios.,'Venire contra factum proprium non valet'.,DERECHO_CIVIL_1,RELACION_JURIDICA_Y_DERECHOS_SUBJETIVOS,EJERCICIO_Y_LIMITES,CIVIL,BASICO
¿Qué es la colisión de derechos?,Ejercicio de un derecho impide el ejercicio de otro ajeno.,DERECHO_CIVIL_1,RELACION_JURIDICA_Y_DERECHOS_SUBJETIVOS,EJERCICIO_Y_LIMITES,CIVIL,BASICO
¿Qué es el límite temporal (prescripción)?,Extinción de facultad de exigir por no uso en tiempo legal.,DERECHO_CIVIL_1,RELACION_JURIDICA_Y_DERECHOS_SUBJETIVOS,EJERCICIO_Y_LIMITES,CIVIL,BASICO
¿Qué es la función social de propiedad?,Obligación de armonizar dominio con intereses colectivos.,DERECHO_CIVIL_1,RELACION_JURIDICA_Y_DERECHOS_SUBJETIVOS,EJERCICIO_Y_LIMITES,CIVIL,BASICO
¿Qué es un límite intrínseco?,Deriva de la naturaleza y finalidad misma del derecho.,DERECHO_CIVIL_1,RELACION_JURIDICA_Y_DERECHOS_SUBJETIVOS,EJERCICIO_Y_LIMITES,CIVIL,BASICO
¿Qué es un límite extrínseco?,Proviene de factores externos: ley o derechos de terceros.,DERECHO_CIVIL_1,RELACION_JURIDICA_Y_DERECHOS_SUBJETIVOS,EJERCICIO_Y_LIMITES,CIVIL,BASICO
