afirmacion,respuesta,explicacion,rama,libro,titulo,materia,dificultad
"La ley, según el art. 1 CC, es una declaración de la voluntad soberana que solo manda y prohíbe.",false,"El art. 1 CC señala que la ley manda, prohíbe O permite. La tercera función (permitir) distingue las leyes permisivas, que autorizan conductas.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_I,De la Ley,1
"En Chile, la costumbre constituye derecho solo en los casos en que la ley se remite a ella.",true,"Art. 2 CC. Es el sistema de costumbre según la ley (secundum legem). A diferencia del Código de Comercio, donde la costumbre tiene mayor amplitud.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_I,De la Ley,1
"Las sentencias judiciales de la Corte Suprema tienen fuerza obligatoria general según el art. 3 CC.",false,"El art. 3 CC establece que las sentencias judiciales no tienen fuerza obligatoria sino respecto de las causas en que actualmente se pronunciaren. No existe en Chile el sistema de precedentes vinculantes.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_I,De la Ley,1
"El Código Civil se aplica con preferencia a los códigos especiales cuando hay contradicción entre ellos.",false,"Art. 4 CC: es al revés. Las disposiciones de los códigos especiales (Comercio, Minería, etc.) se aplican con preferencia al Código Civil. El CC es supletorio, aplicándose solo a falta de norma especial.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_I,De la Ley,2
"La ley obliga desde su promulgación, sin necesidad de publicación.",false,"Art. 6 CC: la ley no obliga sino una vez promulgada Y publicada. La promulgación certifica su existencia; la publicación (inserción en el Diario Oficial, art. 7) la da a conocer y la hace obligatoria.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_II,Promulgación de la Ley,1
"La fecha de la ley, para todos los efectos legales, es la de su publicación en el Diario Oficial.",true,"Art. 7 inc. 2 CC. Aunque la ley se haya aprobado y promulgado antes, su fecha legal es la de publicación en el Diario Oficial, salvo que la propia ley establezca otra regla.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_II,Promulgación de la Ley,1
"Una persona analfabeta puede alegar válidamente la ignorancia de la ley después de su entrada en vigencia.",false,"Art. 8 CC: nadie puede alegar ignorancia de la ley. Es una presunción de derecho que no admite excepciones, ni siquiera por analfabetismo, lejanía u otras circunstancias personales.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_III,Efectos de la Ley,1
"El principio de irretroactividad del art. 9 CC obliga tanto al juez como al legislador.",false,"El art. 9 CC es una ley ordinaria que obliga al juez (no puede aplicar leyes retroactivamente). Pero el legislador, que tiene rango constitucional, puede dictar leyes retroactivas respetando los límites constitucionales (propiedad, garantías individuales).",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_III,Efectos de la Ley,3
"Según el art. 12 CC, todo derecho conferido por las leyes puede renunciarse.",false,"Solo pueden renunciarse cuando se cumplen dos requisitos copulativos: 1) que miren exclusivamente al interés individual del renunciante, y 2) que no esté prohibida su renuncia. Los derechos de orden público y los irrenunciables por ley no pueden renunciarse.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_III,Efectos de la Ley,1
"La ley chilena solo es obligatoria para los ciudadanos chilenos que habitan el territorio nacional.",false,"Art. 14 CC: la ley es obligatoria para todos los habitantes de la República, incluidos los extranjeros. El criterio es la habitación en el territorio, no la nacionalidad.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_III,Efectos de la Ley,1
