pregunta,respuesta,rama,libro,titulo,materia,dificultad
"¿Cuáles son los tribunales ordinarios de justicia en Chile?","1) Corte Suprema, 2) Cortes de Apelaciones (17), 3) Juzgados de Letras. Son tribunales permanentes con competencia general (art. 5 COT).",DERECHO_ORGANICO,COT,TITULO_III,De los tribunales ordinarios,1
"¿Cuántos ministros componen la Corte Suprema?","21 ministros (art. 78 CPR). 16 de carrera judicial + 5 abogados externos con al menos 15 años de título.",DERECHO_ORGANICO,COT,TITULO_III,De la Corte Suprema,1
"¿Cuál es la sede y jurisdicción de la Corte Suprema?","Sede: Santiago. Jurisdicción: todo el territorio de la República (art. 94 COT). Único tribunal con competencia nacional.",DERECHO_ORGANICO,COT,TITULO_III,De la Corte Suprema,1
"¿Cómo funciona la Corte Suprema?","En pleno (mínimo 11 de 21) o en salas especializadas (4 salas de 5 ministros). El funcionamiento en salas es lo ordinario (arts. 95-99 COT).",DERECHO_ORGANICO,COT,TITULO_III,De la Corte Suprema,2
"¿Qué materias conoce la CS en pleno?","Desafueros, amovilidad de ministros de CA, informes al Presidente, Auto Acordados, facultades disciplinarias y económicas (art. 96 COT).",DERECHO_ORGANICO,COT,TITULO_III,De la Corte Suprema,2
"¿Qué materias conoce la CS en sala?","Casación forma y fondo, queja, revisión, apelaciones de protección y amparo, contiendas de competencia entre tribunales de distintas CA (art. 98 COT).",DERECHO_ORGANICO,COT,TITULO_III,De la Corte Suprema,2
"¿Quién preside la CS y cuánto dura?","El Presidente, elegido por los propios ministros. Dura 2 años, no reelegible. Rotación (art. 93 COT).",DERECHO_ORGANICO,COT,TITULO_III,De la Corte Suprema,2
"¿Cuántas Cortes de Apelaciones hay en Chile?","17 CA distribuidas en todo el territorio nacional. Cada una con jurisdicción sobre un territorio determinado (art. 54 COT).",DERECHO_ORGANICO,COT,TITULO_III,De las Cortes de Apelaciones,1
"¿Cómo funcionan las Cortes de Apelaciones?","En pleno o en salas de al menos 3 ministros. Las CA grandes (ej: Santiago, 31 ministros) funcionan en múltiples salas (arts. 61-66 COT).",DERECHO_ORGANICO,COT,TITULO_III,De las Cortes de Apelaciones,2
"¿Cuáles son las principales materias de las CA?","Apelaciones, recurso de protección (art. 20 CPR), amparo (art. 21 CPR), casación en la forma, consultas, recursos de hecho, contiendas de competencia.",DERECHO_ORGANICO,COT,TITULO_III,De las Cortes de Apelaciones,1
"¿Qué es la vista de la causa?","Procedimiento en CA: 1) Relación (relator expone), 2) Alegatos (abogados, máx. 30 min), 3) Acuerdo y fallo. Forma normal de resolver (arts. 163-166 CPC).",DERECHO_ORGANICO,COT,TITULO_III,De las Cortes de Apelaciones,2
"¿Qué son los Juzgados de Letras?","Tribunales ordinarios de 1ª instancia, unipersonales. Competencia civil, comercial, minas y actos no contenciosos (arts. 27-45 COT).",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Letras,1
"¿Qué son los tribunales unipersonales de excepción?","Ministros de Corte actuando como tribunales de 1ª instancia en causas con fuero: ministro de CA, presidente de CA Santiago, ministro de CS, presidente de CS (arts. 50-53 COT).",DERECHO_ORGANICO,COT,TITULO_III,De los tribunales unipersonales de excepción,2
"¿Quiénes son los abogados integrantes?","Abogados externos designados anualmente que integran salas de Cortes cuando faltan ministros para completar quórum (arts. 215-219 COT).",DERECHO_ORGANICO,COT,TITULO_III,De las Cortes de Apelaciones,2
"¿Qué es el funcionamiento extraordinario de las CA?","Cuando hay retardo (acumulación de causas), se crean salas adicionales con fiscales judiciales o abogados integrantes (art. 62 COT).",DERECHO_ORGANICO,COT,TITULO_III,De las Cortes de Apelaciones,2
"¿Qué diferencia hay entre subrogación e integración?","Subrogación: reemplazo del juez en tribunal unipersonal. Integración: completar quórum de ministro faltante en tribunal colegiado (CA/CS).",DERECHO_ORGANICO,COT,TITULO_III,De los tribunales ordinarios,2
"¿Cómo se subroga un juez de letras?","Por el secretario abogado del mismo tribunal o por el juez del tribunal más cercano (arts. 211-214 COT). Es reemplazo automático.",DERECHO_ORGANICO,COT,TITULO_III,De los Juzgados de Letras,2
"¿Cómo se integra una sala de CA?","Con fiscal judicial primero; si no está disponible, con abogado integrante (art. 215 COT). Orden legal estricto.",DERECHO_ORGANICO,COT,TITULO_III,De las Cortes de Apelaciones,2
"¿Cuáles son las 4 salas de la CS?","1ª: Civil. 2ª: Penal. 3ª: Constitucional y Contencioso-Administrativa. 4ª: Mixta (laboral, familia, tributario). Distribución por Auto Acordado.",DERECHO_ORGANICO,COT,TITULO_III,De la Corte Suprema,2
"¿Cómo se adoptan los acuerdos en tribunales colegiados?","Por mayoría absoluta de presentes. Empate: nueva votación → llamado a ausentes → prima el voto del presidente (arts. 72-89 COT).",DERECHO_ORGANICO,COT,TITULO_III,De los tribunales ordinarios,2
"¿Qué es el recurso de hecho?","Recurso ante la CA contra la resolución del tribunal de 1ª instancia que concede o deniega indebidamente una apelación (arts. 196-207 CPC).",DERECHO_ORGANICO,COT,TITULO_III,De las Cortes de Apelaciones,2
"¿Qué es el relator de la CA?","Funcionario del tribunal que expone oralmente los antecedentes del caso ante la sala (relación). Informa a los ministros antes de los alegatos (arts. 372-375 COT).",DERECHO_ORGANICO,COT,TITULO_III,De las Cortes de Apelaciones,2
"¿El presidente de la CA rota anualmente?","Sí, rota por orden de antigüedad entre los ministros de la CA (art. 57 COT). No es elegido como en la CS.",DERECHO_ORGANICO,COT,TITULO_III,De las Cortes de Apelaciones,2
"¿Qué quórum tiene la CS en pleno?","Mínimo 11 de 21 ministros (mayoría absoluta). Si no se alcanza, no puede sesionar válidamente en pleno (art. 95 COT).",DERECHO_ORGANICO,COT,TITULO_III,De la Corte Suprema,2
