termino,definicion,rama,libro,titulo,materia,dificultad
"Implicancia","Causal grave de inhabilidad (art. 195 COT): orden público, el juez DEBE inhabilitarse de oficio. Ej: ser parte, parentesco hasta 2° grado, haber sido abogado de una parte. Si no se inhabilita = prevaricación.",DERECHO_ORGANICO,COT,TITULO_XII,De las implicancias,1
"Recusación","Causal menos grave de inhabilidad (art. 196 COT): orden privado, la parte debe alegarla. Ej: amistad íntima/enemistad, parentesco 3°-4° grado, ser acreedor/deudor de una parte. Renunciable por silencio.",DERECHO_ORGANICO,COT,TITULO_XII,De las recusaciones,1
"Fiscal judicial","Auxiliar del PJ que representa el interés general ante CA/CS. Emite dictámenes. Puede integrar salas. NO confundir con fiscal del Ministerio Público (arts. 350-364 COT).",DERECHO_ORGANICO,COT,TITULO_XI,De los fiscales judiciales,1
"Defensor público","Auxiliar del PJ que representa a incapaces y ausentes sin representante legal. NO confundir con la Defensoría Penal Pública que defiende imputados (arts. 365-371 COT).",DERECHO_ORGANICO,COT,TITULO_XI,De los defensores públicos,1
"Relator","Funcionario de CA/CS que expone oralmente los asuntos ante la sala (relación). Revisa expedientes y certifica hechos procesales. Esencial para la vista de la causa (arts. 372-378 COT).",DERECHO_ORGANICO,COT,TITULO_XI,De los relatores,1
"Secretario de tribunal","Ministro de fe que autoriza resoluciones, custodia expedientes, da cuenta de escritos. Puede subrogar al juez si es abogado (arts. 379-389 COT).",DERECHO_ORGANICO,COT,TITULO_XI,De los secretarios,1
"Receptor judicial","Ministro de fe que practica notificaciones, embargos y diligencias fuera del tribunal. Brazo ejecutor externo del tribunal (arts. 390-393 COT).",DERECHO_ORGANICO,COT,TITULO_XI,De los receptores,1
"Notario","Ministro de fe que autoriza escrituras públicas, protocoliza documentos, da fe de hechos y autoriza firmas. Regulado por el COT pero ejerce fuera del PJ (arts. 399-445 COT).",DERECHO_ORGANICO,COT,TITULO_XI,De los notarios,1
"Conservador de bienes raíces","Ministro de fe que lleva los registros de Propiedad, Hipotecas y Gravámenes, e Interdicciones y Prohibiciones. Sistema registral inmobiliario (arts. 446-452 COT).",DERECHO_ORGANICO,COT,TITULO_XI,De los conservadores,1
"Escritura pública","Instrumento público otorgado ante notario con solemnidades legales e incorporado a su protocolo. Hace plena fe (art. 1699 CC). Es título ejecutivo (art. 434 Nº 2 CPC). Art. 403 COT.",DERECHO_ORGANICO,COT,TITULO_XI,De los notarios,1
"Recusación amistosa","Petición informal al juez para que se inhabilite voluntariamente antes de promover incidente formal. Si acepta, no hay incidente (art. 124 CPC). También llamada de cortesía.",DERECHO_ORGANICO,COT,TITULO_XII,De las recusaciones,2
"Protocolo notarial","Registro cronológico donde el notario inserta escrituras públicas y documentos protocolizados. Se cierra anualmente y se envía al archivero (art. 429 COT).",DERECHO_ORGANICO,COT,TITULO_XI,De los notarios,2
