afirmacion,respuesta,explicacion,rama,libro,titulo,materia,dificultad
"La radicación significa que la competencia no se altera por causa sobreviniente una vez que el tribunal comienza a conocer.",true,"Art. 109 COT: fijeza. Cambio de domicilio, adquisición de fuero posterior, variación de cuantía, etc., no alteran la competencia ya radicada.",DERECHO_ORGANICO,COT,TITULO_VII,De la radicación,1
"La regla del grado permite a las partes elegir el tribunal de segunda instancia.",false,"Art. 110 COT: la determinación del tribunal de alzada es AUTOMÁTICA y de orden público. Las partes no pueden alterarla.",DERECHO_ORGANICO,COT,TITULO_VII,Del grado,1
"La extensión permite al tribunal conocer de los incidentes y la reconvención del asunto principal.",true,"Art. 111 COT: lo accesorio sigue a lo principal. Incidentes, reconvención, compensación y medidas precautorias siguen al tribunal del fondo.",DERECHO_ORGANICO,COT,TITULO_VII,De la extensión,1
"Si dos tribunales son competentes para el mismo asunto, ambos conocen simultáneamente.",false,"Art. 112 COT: prevención. El primero que comienza a conocer EXCLUYE al otro. No hay conocimiento simultáneo del mismo asunto.",DERECHO_ORGANICO,COT,TITULO_VII,De la prevención,1
"La ejecución de las sentencias corresponde al tribunal que las dictó en primera o única instancia.",true,"Art. 113 COT: regla general de ejecución. El mismo tribunal que resolvió ejecuta lo juzgado. Excepciones en art. 114.",DERECHO_ORGANICO,COT,TITULO_VII,De la ejecución,1
"La inhibitoria y la declinatoria pueden usarse simultáneamente.",false,"Art. 101 CPC: son vías EXCLUYENTES. La parte debe elegir una u otra. No pueden promoverse ambas a la vez.",DERECHO_ORGANICO,COT,TITULO_VII,De las cuestiones de competencia,2
"La declinatoria se promueve ante el tribunal que se cree competente.",false,"Art. 101 CPC: la declinatoria se promueve ante el MISMO tribunal que está conociendo. La INHIBITORIA se promueve ante el que se cree competente.",DERECHO_ORGANICO,COT,TITULO_VII,De la declinatoria,1
"La inhibitoria se promueve ante el tribunal que está conociendo del asunto.",false,"Art. 102 CPC: la inhibitoria se promueve ante el tribunal que se CREE COMPETENTE, no ante el que está conociendo. Se le pide que oficie al otro.",DERECHO_ORGANICO,COT,TITULO_VII,De la inhibitoria,1
"Las contiendas de competencia entre tribunales de la misma CA se resuelven por esa CA.",true,"Art. 190 COT: si ambos tribunales dependen de la misma CA, ella resuelve. Si dependen de distintas CA, resuelve la CS.",DERECHO_ORGANICO,COT,TITULO_VII,De las contiendas de competencia,2
"Una contienda negativa significa que ambos tribunales se consideran competentes.",false,"Contienda NEGATIVA = ambos se declaran INCOMPETENTES (nadie quiere conocer). POSITIVA = ambos se consideran competentes.",DERECHO_ORGANICO,COT,TITULO_VII,De las contiendas de competencia,2
"La radicación no tiene excepciones.",false,"Excepciones: 1) Acumulación de autos (art. 92 CPC), 2) Compromiso posterior (arbitraje), 3) Visitas extraordinarias. La radicación es la regla, pero no es absoluta.",DERECHO_ORGANICO,COT,TITULO_VII,De la radicación,2
"La regla de prevención presupone que solo un tribunal es competente.",false,"Art. 112 COT: la prevención presupone competencia ACUMULATIVA (dos o más tribunales competentes). Si solo uno es competente, no hay prevención.",DERECHO_ORGANICO,COT,TITULO_VII,De la prevención,2
"Las cinco reglas generales de competencia se aplican después de determinar la competencia absoluta y relativa.",true,"Son reglas complementarias que operan una vez que ya se sabe qué tribunal es competente. Regulan situaciones posteriores (radicación, alzada, extensión, etc.).",DERECHO_ORGANICO,COT,TITULO_VII,De las reglas de competencia,1
"La regla de ejecución tiene excepciones en materia penal.",true,"Art. 114 COT: en recursos de apelación, casación o nulidad contra sentencias definitivas penales, puede ejecutar el tribunal que conoció del recurso.",DERECHO_ORGANICO,COT,TITULO_VII,De la ejecución,2
