model,id,own_rama,own_hits,target_rama,target_hits,ratio,excerpt,civil_hits,procesal_hits,organico_hits
flashcard,cmnnwzjc705i2540zrlhbeqr0,DERECHO_PROCESAL_CIVIL,1,DERECHO_ORGANICO,6,6.00,"En un litigio civil complejo, ¿en qué orden lógico debe un abogado analizar las instituciones del COT antes de presentar la demanda? Orden: (1) Jurisdicción: ¿es un conflicto justiciable o un equivale",0,1,6
definicion,cmnnwzitk05hs540zlnnaqr1t,DERECHO_PROCESAL_CIVIL,1,DERECHO_ORGANICO,6,6.00,"Análisis orgánico previo a la demanda Proceso intelectual que todo abogado debe realizar antes de presentar una demanda: verificar jurisdicción (¿es justiciable?), competencia absoluta (fuero > materi",0,1,6
flashcard,cmnnwxtuf04l2540z19i6yhe6,DERECHO_PROCESAL_CIVIL,0,DERECHO_ORGANICO,6,0.00,"¿Qué es la integración y cuándo opera? Es el mecanismo para completar el QUÓRUM de un tribunal COLEGIADO (Cortes de Apelaciones, Corte Suprema) cuando faltan ministros para formar sala. Opera cuando: ",0,0,6
flashcard,cmnnww6do03pc540zelskch9r,DERECHO_PROCESAL_CIVIL,1,DERECHO_ORGANICO,5,5.00,¿Cuáles son las excepciones al principio de territorialidad? Casos donde un tribunal puede actuar fuera de su territorio: 1) EXHORTOS: un tribunal pide a otro de distinto territorio que practique dili,0,1,5
flashcard,cmnnwxl7t04gl540znrhfjkv4,DERECHO_PROCESAL_CIVIL,0,DERECHO_ORGANICO,5,0.00,[INTEGRADOR] ¿Qué prepara el Tema 5 para los Temas 6-12? Los Temas 1-5 son el MARCO CONCEPTUAL: bases + jurisdicción + competencia + reglas de operación. Los Temas 6-12 son las INSTITUCIONES CONCRETAS,0,0,5
flashcard,cmnnwxxz204nb540zll2ka49s,DERECHO_ORGANICO,0,DERECHO_CIVIL,5,0.00,"¿Cuál es la competencia de los tribunales de familia? Art. 8 Ley 19.968 — competencia AMPLÍSIMA: 1) ALIMENTOS (fijación, aumento, rebaja, cese). 2) CUIDADO PERSONAL de hijos. 3) RELACIÓN DIRECTA Y REG",5,0,0
flashcard,cmnnwzjfx05i4540z81bx6z8q,DERECHO_PROCESAL_CIVIL,1,DERECHO_ORGANICO,4,4.00,"Cuando un caso transita de primera instancia a segunda instancia y eventualmente a casación, ¿qué reglas del COT operan en cada nivel? Primera instancia: competencia absoluta (fuero, materia, cuantía)",0,1,4
flashcard,cmno43uvh0097os0zx0m4q4er,DERECHO_PROCESAL_CIVIL,1,DERECHO_CIVIL,4,4.00,"¿Qué diferencia hay entre las excepciones del art. 234 CPC (cumplimiento incidental) y las del art. 464 CPC (juicio ejecutivo)? Las del art. 234 son 7 y más restringidas: pago, remisión, esperas, nova",4,1,0
flashcard,cmn3wjx1p01q9310z2frlxk9j,DERECHO_PROCESAL_CIVIL,1,DERECHO_CIVIL,4,4.00,"¿Cuáles son las excepciones del juicio ejecutivo (art. 464)? 18 excepciones taxativas: 1) Incompetencia, 2) Falta capacidad, 3) Litis pendencia, 4) Ineptitud libelo, 5) Beneficio excusión, 6) Falsedad",4,1,0
mcq,cmno43v3f009aos0zhiwwabpi,DERECHO_PROCESAL_CIVIL,1,DERECHO_CIVIL,4,4.00,"Las excepciones del art. 234 CPC en el cumplimiento incidental son: 18 excepciones, igual que en el juicio ejecutivo 7 excepciones taxativas: pago, remisión, esperas, novación, compensación, transacci",4,1,0
mcq,cmnnwylpp0502540zhknebv42,DERECHO_ORGANICO,1,DERECHO_PROCESAL_CIVIL,4,4.00,El receptor en el juicio ejecutivo practica: Solo la demanda El REQUERIMIENTO DE PAGO y el EMBARGO de bienes. Sin receptor → no hay requerimiento válido ni embargo. Materializa la fuerza del juicio ej,0,4,1
