afirmacion,respuesta,explicacion,rama,libro,titulo,materia,dificultad
"Los actos judiciales no contenciosos suponen un conflicto entre partes que el juez debe resolver.",false,"Art. 817 CPC: en los actos no contenciosos NO se promueve contienda alguna entre partes. El juez no resuelve conflictos sino que da certeza o autoriza.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,1
"En los actos no contenciosos la prueba se aprecia según la prueba legal tasada.",false,"Art. 819 CPC: la prueba se aprecia PRUDENCIALMENTE, sin sujeción a la prueba legal tasada. Mayor flexibilidad para el juez.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"Si se formula oposición en un acto no contencioso, el asunto se transforma en contencioso.",true,"Art. 823 CPC: la oposición de legítimo contradictor transforma la naturaleza del asunto. Se tramita bajo reglas contenciosas.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"Las resoluciones negativas en actos no contenciosos pueden modificarse de oficio por el tribunal.",true,"Art. 821 CPC: las negativas son modificables de oficio. Las afirmativas firmes no se modifican sin recurso. Distinción propia del sistema.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"La posesión efectiva de herencias intestadas sigue tramitándose ante el tribunal civil.",false,"Ley 19.903 (desde 2003): las intestadas se tramitan ante el Registro Civil. Solo las TESTAMENTARIAS se tramitan ante tribunal.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_IV,De la posesión efectiva,1
"El inventario solemne tiene valor de instrumento público.",true,"Art. 858 CPC: se practica con solemnidades legales ante ministro de fe. Cumplidas las formalidades, tiene pleno valor probatorio como instrumento público.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_VII,Del inventario solemne,2
"La herencia yacente se declara cuando transcurren 15 días sin aceptación ni albacea.",true,"Art. 1240 CC + 885 CPC: si pasados 15 días desde la apertura de la sucesión nadie acepta y no hay albacea, se declara yacente y se designa curador.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_V,De la herencia yacente,2
"El cambio de nombre puede solicitarse cuantas veces se quiera.",false,"Ley 17.344: por una sola vez en la vida como regla general. Restricción para evitar cambios sucesivos que dificulten la identificación.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,1
"Los actos no contenciosos producen cosa juzgada material.",false,"Producen cosa juzgada FORMAL (no material): la resolución es estable mientras no cambien las circunstancias. No hay verdadera cosa juzgada material.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"La muerte presunta se declara administrativamente por el Registro Civil.",false,"Arts. 80-94 CC: la muerte presunta es DECLARACIÓN JUDICIAL (no administrativa). Requiere procedimiento con publicaciones, plazos y citación.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,1
"El fiscal judicial debe ser oído en todos los actos no contenciosos sin excepción.",false,"Art. 820 CPC: el fiscal judicial interviene solo cuando la ley lo ordene (ej: asuntos de incapaces o interés público). No en todos.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"La información para perpetua memoria sirve para conservar declaraciones de testigos sobre hechos futuros.",false,"Art. 909 CPC: sirve para conservar declaraciones sobre hechos PASADOS o presentes que podrían perderse, no sobre hechos futuros.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_XIII,De la información para perpetua memoria,2
"El cambio de nombre requiere publicación en el Diario Oficial.",true,"Ley 17.344: publicación obligatoria del extracto de la solicitud + 30 días para oposición de terceros. Si hay oposición, se torna contencioso.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
"La rectificación de errores manifiestos en partidas del Registro Civil se hace por vía judicial.",false,"Ley 4.808, art. 17: errores MANIFIESTOS = vía ADMINISTRATIVA (director regional). Solo errores que requieren prueba = vía judicial.",DERECHO_PROCESAL_CIVIL,LIBRO_IV,TITULO_I,De los actos no contenciosos,2
