afirmacion,respuesta,explicacion,rama,libro,titulo,materia,dificultad
"El CPC chileno contempla siete medios de prueba.",false,"Art. 341 CPC: son SEIS medios de prueba: instrumentos, testigos, confesión, inspección personal del tribunal, informe de peritos y presunciones.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De los medios de prueba,1
"El instrumento público hace plena fe respecto de todos (erga omnes).",true,"Art. 1700 CC: hace plena fe en cuanto al hecho de haberse otorgado, su fecha y las declaraciones del funcionario. Su valor es oponible a todos, no solo a las partes.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la prueba instrumental,1
"El instrumento privado tiene valor probatorio desde que se presenta al tribunal.",false,"El instrumento privado no tiene valor hasta ser RECONOCIDO: expresa, tácita o judicialmente (art. 346 CPC). Sin reconocimiento no prueba nada.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la prueba instrumental,2
"Si un instrumento privado no se objeta dentro de 6° día desde que se acompaña con citación, se tiene por reconocido.",true,"Art. 346 Nº 3 CPC: reconocimiento tácito por silencio. La parte debe objetarlo oportunamente; si no lo hace, el documento se tiene por auténtico.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la prueba instrumental,2
"La prueba testimonial siempre es admisible sin restricción alguna.",false,"Art. 1709 CC: no se admite prueba de testigos respecto de obligaciones que debieron consignarse por escrito (actos sobre cosas de más de 2 UTM).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la prueba testimonial,2
"El máximo de testigos por punto de prueba es de 6.",true,"Art. 372 CPC: cada parte puede presentar hasta 6 testigos por cada punto de prueba fijado en el auto de prueba.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la prueba testimonial,1
"La confesión judicial sobre hechos personales constituye plena prueba contra el confesante.",true,"Art. 1713 CC: la confesión judicial es el medio de prueba más fuerte del sistema. No admite prueba en contrario salvo error de hecho.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la confesión de parte,2
"Si la parte citada a absolver posiciones no comparece, no hay consecuencia procesal.",false,"Art. 394 CPC: se le tiene por CONFESA respecto de los hechos categóricamente afirmados en el pliego (confesión ficta). Es una sanción grave.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la confesión de parte,2
"La inspección personal del tribunal constituye plena prueba sobre los hechos materiales constatados.",true,"Art. 408 CPC: prueba directa. El juez percibe los hechos por sus propios sentidos. Valor: plena prueba respecto de circunstancias materiales.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la inspección personal del tribunal,2
"El informe de peritos se valora según las reglas de la prueba legal tasada.",false,"Art. 425 CPC: el peritaje se valora según SANA CRÍTICA (lógica, experiencia, ciencia). Es una excepción al sistema general de prueba tasada del CPC.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,Del informe de peritos,2
"Las presunciones de derecho admiten prueba en contrario.",false,"Art. 47 CC: las presunciones de DERECHO (iuris et de iure) NO admiten prueba en contrario. Las que sí la admiten son las simplemente legales (iuris tantum).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De las presunciones,2
"La carga de probar la existencia de una obligación corresponde al demandante.",true,"Art. 1698 CC: incumbe probar las obligaciones al que alega su existencia. Al demandado le corresponde probar su extinción (pago, prescripción, etc.).",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De los medios de prueba,1
"Una sola presunción judicial puede constituir plena prueba si es suficientemente grave y precisa.",true,"Art. 426 inc. 2 CPC: una sola presunción puede bastar para establecer un hecho, siempre que a juicio del tribunal tenga los caracteres de gravedad y precisión suficientes.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De las presunciones,2
"Los documentos solo pueden acompañarse durante el término probatorio.",false,"Art. 348 CPC: pueden acompañarse en cualquier estado del juicio hasta el vencimiento del probatorio en 1ª instancia y hasta la vista de la causa en 2ª instancia.",DERECHO_PROCESAL_CIVIL,LIBRO_II,TITULO_XI,De la prueba instrumental,2
