front,back,unidad,materia,submateria,tipo,nivel
¿Cómo se definen las normas de derecho público según el texto?,Son aquellas que regulan la organización y actividad del Estado y demás entes públicos menores.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,LA_LEY,CIVIL,BASICO
"En el derecho privado, los sujetos actúan en un plano de ______ o coordinación.",igualdad,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,LA_LEY,CIVIL,AVANZADO
¿Cuál es el principio fundamental que rige el actuar en el Derecho Público chileno (Arts. 6 y 7 CPR)?,El principio de juridicidad (solo pueden hacer lo que está expresamente permitido).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,LA_LEY,CIVIL,BASICO
¿Qué es el orden público?,Conjunto de normas y principios inspirados en el interés de la colectividad esenciales para el funcionamiento social.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,LA_LEY,CIVIL,BASICO
"Las normas de _____ permiten a los particulares introducirlas, modificarlas o derogarlas en sus convenciones.",orden privado,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,LA_LEY,CIVIL,INTERMEDIO
¿Cuál es la función de las normas de derecho común respecto a las de derecho especial?,Suplen los vacíos o lagunas de las normas de derecho especial.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,INTEGRACION,CIVIL,BASICO
Definición: Relación Jurídica (Savigny),Un vínculo de persona a persona determinado por una regla jurídica.,DERECHO_CIVIL_1,PERSONAS_JURIDICAS,NATURALEZA_CLASIFICACION,CIVIL,INTERMEDIO
¿En qué consiste la 'eficacia refleja' o 'efecto expansivo' de la relación jurídica respecto a terceros?,Es el deber de los terceros de reconocer y respetar la existencia de una relación jurídica ajena.,DERECHO_CIVIL_1,PERSONAS_JURIDICAS,NATURALEZA_CLASIFICACION,CIVIL,INTERMEDIO
¿Cuál es el objeto de la relación jurídica?,"La entidad sobre la que recae el interés (bienes, actos de personas, servicios o vínculos familiares).",DERECHO_CIVIL_1,PERSONAS_JURIDICAS,NATURALEZA_CLASIFICACION,CIVIL,BASICO
Las relaciones jurídicas _____ son aquellas donde se presenta un solo derecho del sujeto activo y un solo deber del sujeto pasivo.,simples,DERECHO_CIVIL_1,PERSONAS_JURIDICAS,NATURALEZA_CLASIFICACION,CIVIL,INTERMEDIO
Relaciones jurídicas _____: Son aquellas que se limitan a dejar constancia de la existencia de un derecho y obligación preexistente.,declarativas,DERECHO_CIVIL_1,PERSONAS_JURIDICAS,NATURALEZA_CLASIFICACION,CIVIL,INTERMEDIO
¿Qué diferencia una relación jurídica real de una personal según Ducci?,"La real resuelve un problema de 'tener' (atribución de bienes), mientras la personal uno de cooperación o reparación.",DERECHO_CIVIL_1,PERSONAS_JURIDICAS,NATURALEZA_CLASIFICACION,CIVIL,INTERMEDIO
¿Qué es el deber jurídico general de conducta?,La obligación de abstenerse de realizar actos que perturben el ejercicio de los derechos de los demás.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,LA_LEY,CIVIL,BASICO
Concepto: Carga (en derecho civil),La necesidad de realizar un comportamiento para satisfacer un interés propio (ej. carga de la prueba).,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,LA_LEY,CIVIL,BASICO
¿Cuál es la diferencia esencial entre obligación y carga?,La obligación es un sacrificio en interés ajeno; la carga es un sacrificio en interés propio.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,LA_LEY,CIVIL,BASICO
¿Qué es la responsabilidad civil según el enfoque lógico de Kelsen?,Un juicio normativo que consiste en imputar a una persona una obligación reparatoria por el daño causado.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,INTERPRETACION,CIVIL,BASICO
La secuencia para que se origine la responsabilidad es: deber jurídico $\rightarrow$ _____ $\rightarrow$ responsabilidad $\rightarrow$ indemnización.,incumplimiento,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,LA_LEY,CIVIL,INTERMEDIO
¿Qué es el 'derecho de prenda general' (Art. 2465 CC)?,La garantía genérica que permite al acreedor perseguir todos los bienes presentes o futuros del deudor.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,LA_LEY,CIVIL,BASICO
"En las garantías _____, se afectan bienes determinados (prenda/hipoteca) o la totalidad de bienes de un tercero (fianza) para asegurar una obligación.",específicas,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,LA_LEY,CIVIL,AVANZADO
Definición de Derecho Subjetivo (Bernhard Windscheid):,Un poder de la voluntad otorgado por el ordenamiento jurídico.,DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,TEORIA_GENERAL,CIVIL,AVANZADO
Definición de Derecho Subjetivo (Rudolf von Ihering):,Un interés jurídicamente protegido.,DERECHO_CIVIL_1,PERSONAS_JURIDICAS,NATURALEZA_CLASIFICACION,CIVIL,AVANZADO
¿Qué son las facultades dentro de un derecho subjetivo?,"Las diversas posibilidades de actuación o manifestaciones que integran el contenido del derecho (ej. uso, goce, disposición).",DERECHO_CIVIL_1,TEORIA_DE_LA_LEY,TEORIA_GENERAL,CIVIL,AVANZADO
